author,affiliation
https://dblp.org/pid/02/594,"University at Buffalo, USA"
https://dblp.org/pid/04/4980,"University at Buffalo, USA"
https://dblp.org/pid/05/117,"University at Buffalo, USA"
https://dblp.org/pid/05/8125-2,"University at Buffalo, Center of Excellence for Document Analysis and Recognition (CEDAR), NY, USA"
https://dblp.org/pid/06/4676-12,"University at Buffalo, Civil, Structural and Environmental Engineering Department, NY, USA"
https://dblp.org/pid/07/2757-9,"University at Buffalo, Department of Computer Science and Engineering, Amherst, NY, USA"
https://dblp.org/pid/10/7696,"University at Buffalo, NY, USA"
https://dblp.org/pid/11/5714,"University at Buffalo, USA"
https://dblp.org/pid/11/6409,"University at Buffalo, USA"
https://dblp.org/pid/116/9157,"University at Buffalo, USA"
https://dblp.org/pid/116/9789,"University at Buffalo, USA"
https://dblp.org/pid/122/5107,"University at Buffalo, Department of Geography, NY, USA"
https://dblp.org/pid/13/5716-5,"University at Buffalo, SUNY, Buffalo, NY, USA"
https://dblp.org/pid/133/8559-2,"University at Buffalo, Department of Geography, Buffalo, NY, USA"
https://dblp.org/pid/136/7726,"University at Buffalo, NY, USA"
https://dblp.org/pid/137/4489,University at Buffalo
https://dblp.org/pid/15/3392-7,"State University of New York, University at Buffalo, Buffalo, NY, USA"
https://dblp.org/pid/151/9149,"University at Buffalo, NY, USA"
https://dblp.org/pid/158/2534,"University at Buffalo, NY, USA"
https://dblp.org/pid/159/9419-3,"University of New York - University at Buffalo, Buffalo, NY, USA"
https://dblp.org/pid/16/5938,"University at Buffalo, Department of Pathology and Anatomical Sciences, NY, USA"
https://dblp.org/pid/17/2654-4,"State University of New York, University at Buffalo, Department of Civil, Structural & Environmental Engineering, NY, USA"
https://dblp.org/pid/172/4922,"University at Buffalo, NY, USA"
https://dblp.org/pid/179/5154-1,"University at Buffalo, Buffalo, NY, USA"
https://dblp.org/pid/181/2322,"University at Buffalo, Department of Computer Science & Engineering, NY, USA"
https://dblp.org/pid/181/5702,"University at Buffalo, Buffalo, NY, USA"
https://dblp.org/pid/184/4203,"University at Buffalo, NY, USA"
https://dblp.org/pid/202/3840-2,"University at Buffalo, Buffalo, NY, USA"
https://dblp.org/pid/22/3650-5,"State University of New York, University at Buffalo, Department of Biomedical Engineering, Buffalo, NY, USA"
https://dblp.org/pid/22/4235,"University at Buffalo, NY, USA"
https://dblp.org/pid/23/5178-2,"University at Buffalo, Buffalo, NY, USA"
https://dblp.org/pid/233/6329,"University at Buffalo - North Campus, Department Computer Science and Engineering, Amherst, NY, USA"
https://dblp.org/pid/24/3592-5,"University at Buffalo, Department of Computer Science and Engineering, NY, USA"
https://dblp.org/pid/27/4364-15,"University at Buffalo, SUNY, Jacobs Management Center, Buffalo, NY, USA"
https://dblp.org/pid/270/5223,"University at Buffalo, Canon Stroke and Vascular Research Ctr., USA"
https://dblp.org/pid/29/2846,"University at Buffalo, USA"
https://dblp.org/pid/29/5999-3,"University at Buffalo, Department of Geography, NY, USA"
https://dblp.org/pid/30/4497-5,"University at Buffalo, Department of Industrial and Systems Engineering, NY, USA"
https://dblp.org/pid/30/5730,"University at Buffalo, NY, USA"
https://dblp.org/pid/33/3535-5,"State University of New York, University at Buffalo, NY, USA"
https://dblp.org/pid/35/7092-196,"State University of New York, University at Buffalo, Department of Computer Science and Engineering, NY, USA"
https://dblp.org/pid/38/6740,"University at Buffalo, Department of Mathematics, Buffalo, NY, USA"
https://dblp.org/pid/39/10389,"University at Buffalo, USA"
https://dblp.org/pid/40/11094-6,"University at Buffalo, The State University of New York, Buffalo, NY, USA"
https://dblp.org/pid/40/2448-4,"University at Buffalo, SUNY, NY, USA"
https://dblp.org/pid/42/1000,"University at Buffalo, USA"
https://dblp.org/pid/42/2303,"State University of New York, University at Buffalo, NY, USA"
https://dblp.org/pid/43/4289-4,"University at Buffalo, SUNY, Buffalo, NY, USA"
https://dblp.org/pid/43/656-22,"University at Buffalo, Department of Biochemistry, Buffalo, NY, USA"
https://dblp.org/pid/44/4773-10,"University at Buffalo, New York, USA"
https://dblp.org/pid/48/4792-16,"University at Buffalo, Department of Biostatistics, NY, USA"
https://dblp.org/pid/51/5154,"University at Buffalo, USA"
https://dblp.org/pid/53/5993,"University at Buffalo, USA"
https://dblp.org/pid/54/645,"University at Buffalo, NY, USA"
https://dblp.org/pid/56/1316-2,"University at Buffalo, Department of Geography, College of Arts and Sciences, NY, USA"
https://dblp.org/pid/57/1610,"University at Buffalo, USA"
https://dblp.org/pid/57/7210-1,"University at Buffalo, SUNY, NY, USA"
https://dblp.org/pid/59/6877,"University at Buffalo, NY, USA"
https://dblp.org/pid/62/2726-4,"University at Buffalo, Department of Electrical Engineering, NY, USA"
https://dblp.org/pid/67/2976-7,"University at Buffalo, New York, USA"
https://dblp.org/pid/68/3428-1,"University at Buffalo, Department of Management Science and Systems, NY, USA"
https://dblp.org/pid/70/1852,"University at Buffalo, USA"
https://dblp.org/pid/73/357,"State University of New York, University at Buffalo, NY, USA"
https://dblp.org/pid/74/4440,"University at Buffalo, USA"
https://dblp.org/pid/75/5478,"University at Buffalo, Department of Computer Science and Engineering,"
https://dblp.org/pid/76/4486-1,"University at Buffalo, Department of Industrial and Systems Engineering, NY, USA"
https://dblp.org/pid/80/131,"University at Buffalo, USA"
https://dblp.org/pid/80/1388,University at Buffalo
https://dblp.org/pid/81/1130,"University at Buffalo, Buffalo, NY, USA"
