author,affiliation
https://dblp.org/pid/04/5072-2,"University of Alabama at Birmingham, Birmingham, AL, USA"
https://dblp.org/pid/07/6674-5,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/12/6939,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/12/8780,"University of Alabama at Birmingham, Department of Computer Science, AL, USA"
https://dblp.org/pid/120/6478,"University of Alabama at Birmingham, USA"
https://dblp.org/pid/165/4517,"University of Alabama at Birmingham, USA"
https://dblp.org/pid/176/9169,"University of Alabama at Birmingham, Department of Accounting and Finance, AL, USA"
https://dblp.org/pid/21/2715-11,"University of Alabama at Birmingham, School of Optometry, AL, USA"
https://dblp.org/pid/21/6180-3,"University of Alabama at Birmingham, Department of Computer Science, Birmingham, AL, USA"
https://dblp.org/pid/24/1518-1,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/242/3807,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/256/5531-2,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/259/6180,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/270/9552,"University of Alabama at Birmingham, Department of Civil, Construction, and Environmental Engineering, AL, USA"
https://dblp.org/pid/31/5528,University of Alabama at Birmingham
https://dblp.org/pid/31/7149-3,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/315/0865-4,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/32/1720-8,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/33/6889,"University of Alabama at Birmingham, Collat School of Business, AL, USA"
https://dblp.org/pid/39/2060,"University of Alabama at Birmingham, Department of Computer Science, AL, USA"
https://dblp.org/pid/56/2970,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/56/7326,"University of Alabama at Birmingham, AB, USA"
https://dblp.org/pid/66/94,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/70/737,"University of Alabama at Birmingham, USA"
https://dblp.org/pid/77/80-3,"University of Alabama at Birmingham, Department of Computer Science, Birmingham, AL, USA"
https://dblp.org/pid/79/5671-2,"University of Alabama at Birmingham, Department of Medicine, Birmingham, AL, USA"
https://dblp.org/pid/h/RagibHasan,"University of Alabama at Birmingham, USA"
https://dblp.org/pid/s/AlanPSprague,"University of Alabama at Birmingham, Department of Electrical and Computer Engineering, AL, USA"
https://dblp.org/pid/z/WeiZhao-2,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/z/YuliangZheng,"University of Alabama at Birmingham, AB, USA"
