author,affiliation
https://dblp.org/pid/00/5710,"University of Alabama, Tuscaloosa, USA"
https://dblp.org/pid/00/6640-1,"University of Alabama, Tuscaloosa, AL, USA"
https://dblp.org/pid/04/3805,"University of Alabama, Tuscaloosa, AL, USA"
https://dblp.org/pid/04/5072-2,"University of Alabama at Birmingham, Birmingham, AL, USA"
https://dblp.org/pid/05/7962-2,The University of Alabama
https://dblp.org/pid/06/8952,"University of Alabama, Tuscaloosa, AL, USA"
https://dblp.org/pid/07/6674-5,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/09/0-11,"University of Alabama, Department of Geography, Tuscaloosa, AL, USA"
https://dblp.org/pid/09/10135-1,"University of Alabama in Huntsville, USA"
https://dblp.org/pid/09/1365-59,"University of Alabama, Tuscaloosa, USA"
https://dblp.org/pid/09/2321-4,"University of Alabama, Electrical and Computer Engineering, Tuscaloosa, AL, USA"
https://dblp.org/pid/11/5803-2,"University of Alabama in Huntsville, Information Technology & Systems Center, Huntsville, AL, USA"
https://dblp.org/pid/12/3644,"University of Alabama, Birmingham, AL, USA"
https://dblp.org/pid/12/6939,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/12/8780,"University of Alabama at Birmingham, Department of Computer Science, AL, USA"
https://dblp.org/pid/120/0638,"University of Alabama, Tuscaloosa, AL, USA"
https://dblp.org/pid/120/6478,"University of Alabama at Birmingham, USA"
https://dblp.org/pid/127/1299-1,"University of Alabama, Department of Mathematics, Tuscaloosa, AL, USA"
https://dblp.org/pid/13/2805-2,"University of Alabama, Department of Mechanical Engineering, Tuscaloosa, AL, USA"
https://dblp.org/pid/130/5996,"University of Alabama, Tuscaloosa, AL, USA"
https://dblp.org/pid/130/8502,"University of Alabama, Tuscaloosa, AL, USA"
https://dblp.org/pid/14/7037-5,"University of Alabama, Tuscaloosa, AL, USA"
https://dblp.org/pid/152/6806,"University of Alabama in Huntsville, AL, USA"
https://dblp.org/pid/155/5041,"University of Alabama, Department of Computer Science, Tuscaloosa, AL, USA"
https://dblp.org/pid/159/0373,"University of Alabama, Human Technology Interaction Lab, Tuscaloosa, AL, USA"
https://dblp.org/pid/165/4517,"University of Alabama at Birmingham, USA"
https://dblp.org/pid/175/5974,"The University of Alabama in Huntsville, USA"
https://dblp.org/pid/176/9169,"University of Alabama at Birmingham, Department of Accounting and Finance, AL, USA"
https://dblp.org/pid/18/4118-1,"University of Alabama, USA"
https://dblp.org/pid/181/1848-1,"University of Alabama, Department of Computer Science, Tuscaloosa, AL, USA"
https://dblp.org/pid/21/2715-11,"University of Alabama at Birmingham, School of Optometry, AL, USA"
https://dblp.org/pid/21/6180-3,"University of Alabama at Birmingham, Department of Computer Science, Birmingham, AL, USA"
https://dblp.org/pid/22/2862,"University of Alabama in Birmingham, USA"
https://dblp.org/pid/24/1518-1,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/24/3051,"University of Alabama, Culverhouse School of Accountancy, Tuscaloosa, AL, USA"
https://dblp.org/pid/24/5170,"University of Alabama, Tuscaloosa, AL, USA"
https://dblp.org/pid/242/3807,"University of Alabama at Birmingham, AL, USA"
https://dblp.org/pid/243/0997,"University of Alabama, Tuscaloosa, AL, USA"
https://dblp.org/pid/256/5531-2,"University of Alabama at Birmingham, AL, USA"
