author,affiliation
https://dblp.org/pid/09/10135-1,"University of Alabama in Huntsville, USA"
https://dblp.org/pid/11/5803-2,"University of Alabama in Huntsville, Information Technology & Systems Center, Huntsville, AL, USA"
https://dblp.org/pid/152/6806,"University of Alabama in Huntsville, AL, USA"
https://dblp.org/pid/175/5974,"The University of Alabama in Huntsville, USA"
https://dblp.org/pid/38/4483-5,"University of Alabama in Huntsville, Huntsville, AL, USA"
https://dblp.org/pid/40/1491-43,"University of Alabama in Huntsville, Information Technology and Systems Center, Huntsville, AL, USA"
https://dblp.org/pid/40/3827,"University of Alabama in Huntsville, CO, USA"
https://dblp.org/pid/46/9046,"University of Alabama in Huntsville, Department of Computer Science, AL, USA"
https://dblp.org/pid/82/3331,"University of Alabama in Huntsville, AL, USA"
https://dblp.org/pid/96/1798,"University of Alabama in Huntsville, USA"
https://dblp.org/pid/99/10524,"University of Alabama in Huntsville, USA"
https://dblp.org/pid/a/RamazanSavasAygun,"University of Alabama in Huntsville, AL, USA"
https://dblp.org/pid/m/WaiYinMok,"University of Alabama in Huntsville, Department of Economics and Information Systems"
https://dblp.org/pid/s/RainerSteinwandt,"University of Alabama in Huntsville, USA"
