author,affiliation
https://dblp.org/pid/00/2237-8,"University of Arizona, Department of Computer Science, Tucson, AZ, USA"
https://dblp.org/pid/00/2651-4,"University of Arizona, Department of Computer Science, USA"
https://dblp.org/pid/03/5827-1,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/03/8422,"University of Arizona, Tuscon, AZ, USA"
https://dblp.org/pid/04/3348-19,"University of Arizona, Department of Electrical and Computer Engineering, Tucson, AZ, USA"
https://dblp.org/pid/04/5239-1,"University of Arizona, Tucson, USA,"
https://dblp.org/pid/07/2589,"University of Arizona, School of Information Resources and Library Science, Tucson, AZ, USA"
https://dblp.org/pid/07/3563-4,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/09/1365-108,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/09/3493-7,"University of Arizona, Department of Systems and Industrial Engineering, Tucson, AZ, USA"
https://dblp.org/pid/09/4953-1,"University of Arizona, Tucson, USA"
https://dblp.org/pid/10/2888-1,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/11/3196-5,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/116/1011-66,"University of Arizona Tucson, Department of Electrical and Computer Engineering, Tucson, AZ, USA"
https://dblp.org/pid/116/5945,"University of Arizona in Tucson, USA"
https://dblp.org/pid/118/8373,"University of Arizona, Tucson, USA"
https://dblp.org/pid/119/3764,"University of Arizona, Tucson, Eller College of Management"
https://dblp.org/pid/12/5269,"University of Arizona, Tucson, USA"
https://dblp.org/pid/121/1854-3,"University of Arizona, AME Dept., Tucson, Arizona"
https://dblp.org/pid/126/1745,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/129/5890,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/13/5236-31,"University of Arizona, Department of Management Information Systems, Tucson, AZ, USA"
https://dblp.org/pid/13/9002,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/131/8939-2,"University of Arizona, Department of Mathematics, Tucson, AZ, USA"
https://dblp.org/pid/14/7037-7,"University of Arizona, Udall Foundation, Tucson, AZ, USA"
https://dblp.org/pid/143/0760,"The University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/144/5010,"University of Arizona, School of Information , Tucson, AZ, USA"
https://dblp.org/pid/146/0164-2,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/150/4652,"University of Arizona Tucson, Department of Electrical and Computer Engineering, AZ, USA"
https://dblp.org/pid/153/7002,"University of Arizona, College of Medicine, Tucson, AZ, USA"
https://dblp.org/pid/16/3283-74,"University of Arizona, Tucson, USA"
https://dblp.org/pid/160/0770-2,"University of Arizona, Department of Aerospace and Mechanical Engineering, USA"
https://dblp.org/pid/163/0539,"University of Arizona, Tucson, Department of Linguistics"
https://dblp.org/pid/165/0727,"University of Arizona, Tucson"
https://dblp.org/pid/166/4467-2,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/17/6060-4,"University of Arizona, AZ, USA"
https://dblp.org/pid/17/8995,"University of Arizona, USA"
https://dblp.org/pid/178/6773,"University of Arizona, University Library, Tuscon, AZ, USA"
https://dblp.org/pid/180/3233-4,"University of Arizona, AZ, USA"
https://dblp.org/pid/181/2508,"University of Arizona, Laboratory of Tree-Ring Research"
https://dblp.org/pid/181/2709,"University of Arizona, College of Medicine, Tucson, AZ, USA"
https://dblp.org/pid/188/3408-1,"University of Arizona, AZ, USA"
https://dblp.org/pid/193/9236-1,"University of Arizona, Department of Electrical and Computer Engineering, Tucson, AZ, USA"
https://dblp.org/pid/199/4704-2,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/231/7584,"University of Arizona, Maricopa Agricultural Center, AZ, USA"
https://dblp.org/pid/24/4470-7,"University of Arizona, Department of Electrical and Computer Engineering, Tucson, AZ, USA"
https://dblp.org/pid/252/2537,"University of Arizona, Department of Aerospace and Mechanical Engineering, USA"
https://dblp.org/pid/255/6518-6,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/26/11120,"University of Arizona, Department of Economics, Tucson, AZ, USA"
https://dblp.org/pid/28/2073-20,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/29/39,"University of Arizona, Eller College of Management, Tucson, AZ, USA"
https://dblp.org/pid/308/8567-1,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/315/0823-1,"University of Arizona, College of Engineering, Tucson, AZ, USA"
https://dblp.org/pid/320/4404,"University of Arizona, College of Law, AZ, USA"
https://dblp.org/pid/34/2005-15,"University of Arizona, Department of Electrical and Computer Engineering, Tucson, AZ, USA"
https://dblp.org/pid/35/295-10,"The University of Arizona, Systems and Industrial Engineering Department, Tucson, AZ, USA"
https://dblp.org/pid/35/6893,"University of Arizona, Department of Electrical and Computer Engineering, Tucson, AZ, USA"
https://dblp.org/pid/36/3235-7,"University of Arizona, Tucson, USA"
https://dblp.org/pid/36/6343-2,"University of Arizona, School of Plant Sciences, Tucson, USA"
https://dblp.org/pid/36/8406-2,"University of Arizona, Department of Aerospace and Mechanical Engineering, Bio 5 Institute, Tucson, AZ, USA"
https://dblp.org/pid/37/9569,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/372/5543,"University of Arizona, Aerospace and Mechanical Engineering Department, Tucson, AZ, USA"
https://dblp.org/pid/40/1971,"University of Arizona, Tucson, USA"
https://dblp.org/pid/40/2298,"University of Arizona, Tucson, USA"
https://dblp.org/pid/40/4498-3,"University of Arizona, Department of Electrical and Computer Engineering, Tucson, AZ, USA"
https://dblp.org/pid/42/5459-1,"University of Arizona, College of Optical Sciences, USA"
https://dblp.org/pid/43/3182-2,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/43/3357,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/43/656-17,"University of Arizona, Tucson, USA"
https://dblp.org/pid/44/1428,"University of Arizona, Tucson, USA"
https://dblp.org/pid/44/8352-2,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/44/8832,"University of Arizona, Department of Communication, Tucson, AZ, USA"
https://dblp.org/pid/45/1376,"University of Arizona, Arizona Cancer Center, Tucson, AZ, USA"
https://dblp.org/pid/45/1590,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/45/6843,"University of Arizona, USA"
https://dblp.org/pid/46/4452-3,"University of Arizona, Department of Electrical and Computer Engineering, Tucson, AZ, USA"
https://dblp.org/pid/49/324,"University of Arizona, College of Public Health, Tucson, AZ, USA"
https://dblp.org/pid/50/1921,"University of Arizona, Tucson, USA"
https://dblp.org/pid/50/6759-18,"University of Arizona, School of Information, Tucson, AZ, USA"
https://dblp.org/pid/50/742-1,"University of Arizona Tucson, Department of Electrical and Computer Engineering, AZ, USA"
https://dblp.org/pid/52/1306,"The University of Arizona, Department of Mathematics, Tucson, AZ, USA"
https://dblp.org/pid/52/5246,"University of Arizona, School of Information, Tucson, AZ, USA"
https://dblp.org/pid/53/11027,"University of Arizona, Arizona Research Laboratories, Tucson, AZ, USA"
https://dblp.org/pid/53/2189-77,"University of Arizona, Department of Electrical and Computer Engineering, Tucson, AZ, USA"
https://dblp.org/pid/54/2788-4,"University of Arizona, Electrical and Computer Engineering, Tucson, USA"
https://dblp.org/pid/55/5266-2,"University of Arizona, Tucson, USA"
https://dblp.org/pid/56/2203-5,"University of Arizona, Department of Electrical and Computer Engineering, Tucson, AZ, USA"
https://dblp.org/pid/56/4437-8,"University of Arizona, Tucson, USA"
https://dblp.org/pid/56/9557-2,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/58/9364,"University of Arizona, Tucson, USA"
https://dblp.org/pid/59/3260-4,"The University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/60/2536-14,"University of Arizona, College of Optics, Tucson, AZ, USA"
https://dblp.org/pid/60/2536-35,"University of Arizona, Tucson, USA"
https://dblp.org/pid/61/5375-2,"University of Arizona, Tucson, USA"
https://dblp.org/pid/63/495,"University of Arizona, Tucson, Arizona, USA"
https://dblp.org/pid/64/3781,"University of Arizona, USA"
https://dblp.org/pid/65/4423-120,"University of Arizona, Tucson, USA"
https://dblp.org/pid/67/4056,"The University of Arizona, Tuscon, AZ, USA"
https://dblp.org/pid/71/6959,"University of Arizona, Center for the Management of Information, Tucson, AZ, USA"
https://dblp.org/pid/72/5962,"University of Arizona, AZ, USA"
https://dblp.org/pid/73/2909-7,"University of Arizona, Department of Aerospace and Mechanical Engineering, Tucson, USA"
https://dblp.org/pid/75/5705-10,"University of Arizona, USA"
https://dblp.org/pid/76/1820-35,"University of Arizona, Tucson, USA"
https://dblp.org/pid/77/4673-4,"University of Arizona, Department of Management Information Systems, Tucson, AZ, USA"
https://dblp.org/pid/78/10948,"University of Arizona, Department of Computer Science, Tucson, AZ, USA"
https://dblp.org/pid/78/4081-5,"University of Arizona, Tucson, AZ, USA"
https://dblp.org/pid/81/10383,"University of Arizona, Deptartment of Mathematics, Tucson, AZ, USA"
https://dblp.org/pid/81/3293-1,"University of Arizona, Tucson, AZ, USA"
