author,affiliation
https://dblp.org/pid/04/935,"University of Arkansas at Little Rock, Department of Computer Science, AR, USA"
https://dblp.org/pid/09/11281,"University of Arkansas at Little Rock, Pacific Northwest National Laboratory, Richland, WA, USA"
https://dblp.org/pid/21/10566,"University of Arkansas at Little Rock, AR, USA"
https://dblp.org/pid/27/5678,"University of Arkansas at Little Rock, AR, USA"
https://dblp.org/pid/51/2927m1,"University of Arkansas at Little Rock, AR, USA"
https://dblp.org/pid/51/3476,"University of Arkansas at Little Rock, AR, USA"
https://dblp.org/pid/61/5980,"University of Arkansas at Little Rock, Department of Information Science, AR, USA"
https://dblp.org/pid/83/4555-1,"University of Arkansas at Little Rock, Little Rock, AR, USA"
https://dblp.org/pid/w/RichardYWang,"University of Arkansas at Little Rock, Institute of Chief Data Officers, AR, USA"
https://dblp.org/pid/x/XiaoweiXu,"University of Arkansas at Little Rock, Department of Information Science, Little Rock, AR, USA"
