author,affiliation
https://dblp.org/pid/00/3036,"University of Central Florida, Department of Computer Science, Orlando, FL, USA"
https://dblp.org/pid/01/7054-3,"University of Central Florida, Department of Electrical and Computer Engineering, Orlando, FL, USA"
https://dblp.org/pid/04/5376,"University of Central Florida, Department of Electrical Engineering and Computer Science"
https://dblp.org/pid/05/2602,"University of Central Florida, Orlando, USA"
https://dblp.org/pid/05/4531,"University of Central Florida, Orlando, USA"
https://dblp.org/pid/05/9468,"University of Central Florida, Department of Electrical and Computer Engineering, Orlando, USA"
https://dblp.org/pid/06/1470,"University of Central Florida, Department of Industrial Engineering and Management Systems, Orlando, FL, USA"
https://dblp.org/pid/06/2293-30,"University of Central Florida, Department of Electrical Engineering and Computer Science, Orlando, FL, USA"
https://dblp.org/pid/06/3163,"University of Central Florida, Orlando, USA"
https://dblp.org/pid/06/3224-2,"University of Central Florida, School of Electrical Engineering and Computer Science, USA"
https://dblp.org/pid/06/6785-35,"University of Central Florida, Center for Research in Computer Vision, Orlando, FL, USA"
https://dblp.org/pid/07/10086,"University of Central Florida, Orlando, Department of Electrical Engineering and Computer Science"
https://dblp.org/pid/08/1640,"University of Central Florida, Department of Chemistry, Orlando, FL, USA"
https://dblp.org/pid/09/1365-22,"University of Central Florida, USA"
https://dblp.org/pid/09/5042-24,"University of Central Florida, Department of Electrical and Computer Engineering, Orlando, FL, USA"
https://dblp.org/pid/09/5158-1,"University of Central Florida, Department of Electrical Engineering and Computer Science, Orlando, FL, USA"
https://dblp.org/pid/10/4661-76,"University of Central Florida, Department of Computer Science / Genomics and Bioinformatics Cluster, FL, USA"
https://dblp.org/pid/11/1175,"University of Central Florida, Orlando, FL, USA"
https://dblp.org/pid/119/5674,"University of Central Florida, Department of Health Management and Informatics, Orlando, USA"
https://dblp.org/pid/121/1144,"University of Central Florida, Orlando, FL, USA"
https://dblp.org/pid/124/5587,"University of Central Florida, Orlando, USA"
https://dblp.org/pid/126/8277-3,"University of Central Florida, Department of Mathematics, Orlando, FL, USA"
https://dblp.org/pid/136/1093,"University of Central Florida, Orlando, FL, USA"
https://dblp.org/pid/138/5880,"University of Central Florida, Orlando, USA"
https://dblp.org/pid/142/2314,"University of Central Florida, Orlando, FL, USA"
https://dblp.org/pid/144/3105,"University of Central Florida, Orlando, FL, USA"
https://dblp.org/pid/146/4601,"University of Central Florida, FL, USA"
https://dblp.org/pid/148/2258,"University of Central Florida, Center for Research in Computer Vision, Orlando, FL, USA"
