author,affiliation
https://dblp.org/pid/00/6004,"University of Cincinnati, Lindner College of Business, Cincinnati, Ohio, USA"
https://dblp.org/pid/02/1540,"University of Cincinnati, Department of Electrical Engineering and Computing Systems, OH, USA"
https://dblp.org/pid/02/2587,"University of Cincinnati, Department of Environmental Health, USA"
https://dblp.org/pid/07/4630-15,"University of Cincinnati, Wireless and Mobile Networking Laboratory, OH, USA"
https://dblp.org/pid/08/3144,"University of Cincinnati, USA"
https://dblp.org/pid/115/7873,"University of Cincinnati, OH, USA"
https://dblp.org/pid/132/1052,"University of Cincinnati, School of Computing Sciences and Informatics, OH, USA"
https://dblp.org/pid/132/7252,"University of Cincinnati, Ohio, USA"
https://dblp.org/pid/137/7907,"University of Cincinnati, Physics Department, OH, USA"
https://dblp.org/pid/14/8085,"University of Cincinnati, Department of Aerospace Engineering, OH, USA"
https://dblp.org/pid/157/6232,"University of Cincinnati, Department of Electrical and Computer Engineering, OH, USA"
https://dblp.org/pid/165/9241,"University of Cincinnati, OH, USA"
https://dblp.org/pid/176/0128,"University of Cincinnati, OH, USA"
https://dblp.org/pid/181/2406-5,"University of Cincinnati, OH, USA"
https://dblp.org/pid/187/4102-3,"University of Cincinnati, Cincinnati, OH, USA"
https://dblp.org/pid/21/2715-33,"University of Cincinnati, College of Medicine, OH, USA"
https://dblp.org/pid/21/4084-5,"University of Cincinnati, OH, USA"
https://dblp.org/pid/213/4710-2,"University of Cincinnati, Department of Chemical Engineering, OH, USA"
https://dblp.org/pid/240/8679,"University of Cincinnati, OH, USA"
https://dblp.org/pid/245/6484,"University of Cincinnati, Digital Scholarship Center, OH, USA"
https://dblp.org/pid/256/1682,"University of Cincinnati, OH, USA"
https://dblp.org/pid/26/208,"University of Cincinnati, Department of Psychology, OH, USA"
https://dblp.org/pid/27/4364-21,"University of Cincinnati College of Medicine, Department of Environmental Health, OH, USA"
https://dblp.org/pid/305/3504,"University of Cincinnati, School of Information Technology, OH, USA"
https://dblp.org/pid/315/0824-4,"University of Cincinnati, Department of Mechanical Engineering, OH, USA"
https://dblp.org/pid/33/7373,"University of Cincinnati, Department of Psychology, OH, USA"
https://dblp.org/pid/330/0870,"University of Cincinnati, OH, USA"
https://dblp.org/pid/342/7589,"University of Cincinnati, OH, USA"
https://dblp.org/pid/35/2565-20,"University of Cincinnati, Department of Radiation Oncology, OH, USA"
https://dblp.org/pid/35/4332-6,"University of Cincinnati, Faculty of Mechanical Engineering, Department of Mechanical and Material Engineering, OH, USA"
https://dblp.org/pid/39/7780-11,"University of Cincinnati, Department of Electrical Engineering and Computer Science, Cincinnati, OH, USA"
https://dblp.org/pid/43/2972,"University of Cincinnati, Lindner College of Business, Cincinnati, Ohio, USA"
https://dblp.org/pid/43/6008-10,"University of Cincinnati, School of Electronics and Computing Systems, OH, USA"
https://dblp.org/pid/44/1152-14,"University of Cincinnati, Department of Mathematics, OH, USA"
https://dblp.org/pid/46/695-6,"University of Cincinnati, College of Medicine, Cincinnati, OH, USA"
https://dblp.org/pid/51/1018-1,"The University of Cincinnati, Department of Mathematical Sciences"
https://dblp.org/pid/51/4845-1,"University of Cincinnati, Department of Operations, Business Analytics, and Information Systems, OH, USA"
https://dblp.org/pid/55/2010,"University of Cincinnati, Department of Quantitative Analysis and Operations Management, OH, USA"
