author,affiliation
https://dblp.org/pid/00/9714,"University of Colorado Boulder, USA"
https://dblp.org/pid/06/2266,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/06/5756,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/12/1067,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/121/0037-2,"University of Colorado Boulder, Department of Computer Science, CO, USA"
https://dblp.org/pid/128/2164-2,"University of Colorado Boulder, University Libraries, CO, USA"
https://dblp.org/pid/129/7529,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/135/3569-6,"University of Colorado Boulder, Boulder, CO, USA"
https://dblp.org/pid/16/6884-1,"University of Colorado Boulder, Department of Computer Science, CO, USA"
https://dblp.org/pid/161/3287,"University of Colorado Boulder, Human Centered Computing"
https://dblp.org/pid/162/5699,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/181/2842-72,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/184/2102,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/19/3011-6,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/21/802-5,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/225/9620,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/227/2185,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/231/9786,"University of Colorado Boulder, Earth Lab, CO, USA"
https://dblp.org/pid/234/2153,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/24/2948-2,"University of Colorado Boulder, Department of Electrical, Computer, and Energy Engineering, CO, USA"
https://dblp.org/pid/253/4774,"University of Colorado Boulder, Boulder, CO, USA"
https://dblp.org/pid/254/1574-1,"University of Colorado Boulder, Cooperative Institute for Research in Environmental Sciences, CIRES, CO, USA"
https://dblp.org/pid/267/4683,"University of Colorado Boulder, Smead Aerospace Engineering Sciences Department, CO, USA"
https://dblp.org/pid/289/5688,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/29/5260-1,"University of Colorado Boulder, Smead Aerospace Engineering Sciences Department, USA"
https://dblp.org/pid/299/0529-2,"University of Colorado Boulder, Department of Computer Science, CO, USA"
https://dblp.org/pid/305/3632,"University of Colorado Boulder, Department of Computer Science, CO, USA"
https://dblp.org/pid/32/1213-24,"University of Colorado Boulder, Department of Aerospace Engineering Sciences, CO, USA"
https://dblp.org/pid/32/3820,"University of Colorado Boulder, Department of Computer Science, Boulder, CO, USA"
https://dblp.org/pid/34/9188-1,"University of Colorado Boulder, USA"
https://dblp.org/pid/342/1777,"University of Colorado Boulder, Institute of Cognitive Science, Department of Computer Science, CO, USA"
https://dblp.org/pid/35/2565-22,"University of Colorado Boulder, Department of Computer Science, CO, USA"
https://dblp.org/pid/36/1508-5,"University of Colorado Boulder, Boulder, CO, USA"
https://dblp.org/pid/36/5445,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/37/9799,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/372/4132,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/372/4691,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/40/1491-75,"University of Colorado Boulder, University Libraries, CO, USA"
https://dblp.org/pid/42/11384,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/42/1682,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/46/1455,"University of Colorado Boulder, Leeds School of Business, CO, USA"
https://dblp.org/pid/48/1212,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/52/5285-1,"University of Colorado Boulder, Mobile and Networked Systems Lab, CO, USA"
https://dblp.org/pid/55/3413,"University of Colorado Boulder, USA"
https://dblp.org/pid/60/2536-25,"University of Colorado Boulder, Leeds School of Business, CO, USA"
https://dblp.org/pid/62/10262,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/66/8942,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/66/8999-2,"University of Colorado Boulder, Boulder, CO, USA"
https://dblp.org/pid/70/6258-2,"University of Colorado Boulder, USA"
https://dblp.org/pid/76/4016,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/76/9134,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/78/10941,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/82/1542,"University of Colorado Boulder, USA"
https://dblp.org/pid/88/3668,"University of Colorado Boulder, Department of Information Science"
https://dblp.org/pid/93/7736,"University of Colorado Boulder, CO, USA"
https://dblp.org/pid/d/EllenYiLuenDo,"University of Colorado Boulder, ATLAS Institute, CO, USA"
