author,affiliation
https://dblp.org/pid/12/7478-1,"University of Colorado Denver, Denver, CO, USA"
https://dblp.org/pid/135/3853,"University of Colorado Denver, CO, USA"
https://dblp.org/pid/16/3122,"University of Colorado Denver, Department of Electrical Engineering, Denver, USA"
https://dblp.org/pid/221/7125,"University of Colorado Denver, School of Medicine, Aurora, CO, USA"
https://dblp.org/pid/23/4366,"University of Colorado Denver, CO, USA"
https://dblp.org/pid/24/1519-3,"University of Colorado Denver, Denver, CO, USA"
https://dblp.org/pid/248/1203,"University of Colorado Denver, Department of Civil Engineering, CO, USA"
https://dblp.org/pid/34/508,"University of Colorado Denver, CO, USA"
https://dblp.org/pid/379/9225,"University of Colorado Denver, Department of Mathematical and Statistical Sciences, CO, USA"
https://dblp.org/pid/51/7471,"University of Colorado Denver, Auraria Library, CO, USA"
https://dblp.org/pid/64/8115-1,"University of Colorado Denver, CO, USA"
https://dblp.org/pid/79/1471,"University of Colorado Denver, Department of Mathematical and Statistical Sciences"
https://dblp.org/pid/84/1781-7,"University of Colorado Denver, Department of Chemistry, CO, USA"
https://dblp.org/pid/c/KBretonnelCohen,"University of Colorado Denver, School of Medicine, Aurora, CO, USA"
https://dblp.org/pid/l/JulienLangou,University of Colorado Denver
https://dblp.org/pid/p/PPapantoniKazakos,"University of Colorado Denver, CO, USA"
https://dblp.org/pid/y/JianYang6,"University of Colorado Denver, Business School, CO, USA"
