author,affiliation
https://dblp.org/pid/01/6801-6,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/02/5628,"University of Connecticut, USA"
https://dblp.org/pid/06/10623-1,"University of Connecticut, Department of Statistics, Storrs, CT, USA"
https://dblp.org/pid/06/1909-1,"University of Connecticut, Computer Science and Engineering Department, Storrs, CT, USA"
https://dblp.org/pid/10/4661-210,"University of Connecticut, Department of Civil and Environmental Engineering, Storrs, CT, USA"
https://dblp.org/pid/10/5005,"University of Connecticut, USA"
https://dblp.org/pid/10/5630-23,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/11/1567,"University of Connecticut, USA"
https://dblp.org/pid/11/3270-2,"University of Connecticut, Department of Statistics Storrs, CT, USA"
https://dblp.org/pid/119/1038-2,"University of Connecticut Storrs, Computer Science and Engineering Department, School of Engineering, CT, USA"
https://dblp.org/pid/128/8266-1,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/13/7007-12,"University of Connecticut, Department of Computer Science and Engineering, Storrs, CT, USA"
https://dblp.org/pid/14/10073,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/15/3584,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/15/6146-9,"University of Connecticut, Department of Computer Science and Engineering, Storrs, CT, USA"
https://dblp.org/pid/16/2707,"University of Connecticut, Storrs, USA"
https://dblp.org/pid/16/4804-2,"Department of Electrical and Computer Engineering, University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/17/7209,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/189/5871-1,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/19/3011-1,"University of Connecticut, School of Electrical and Computer Engineering, Storrs, CT, USA"
https://dblp.org/pid/200/9199,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/211/2363,"University of Connecticut, Department of Marine Science, Groton, CT, USA"
https://dblp.org/pid/214/0204,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/218/2884,"University of Connecticut, School of Medicine, Farmington, CT, USA"
https://dblp.org/pid/226/4197,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/228/8851,"University of Connecticut Health Center, Farmington, CT, USA"
https://dblp.org/pid/230/9015-2,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/249/7044,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/264/6420,"University of Connecticut, Department of Statistics, Storrs, CT, USA"
https://dblp.org/pid/29/2367,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/313/7914,"University of Connecticut, Department of Music, Storrs, CT, USA"
https://dblp.org/pid/317/3634-1,"University of Connecticut, CT, USA"
https://dblp.org/pid/320/8428,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/33/2959,"University of Connecticut, USA"
https://dblp.org/pid/35/4137,"University of Connecticut, Storrs, CT, USA"
https://dblp.org/pid/35/5176,"University of Connecticut School of Medicine, Farmington, CT, USA"
https://dblp.org/pid/36/273,"University of Connecticut, Department of Computer Science and Engineering"
https://dblp.org/pid/379/8899,"University of Connecticut, Department of Marketing, Farmington, CT, USA"
https://dblp.org/pid/386/4287,"University of Connecticut, School of Mechanical, Aerospace, and Manufacturing Engineering, Storrs, CT, USA"
https://dblp.org/pid/42/2294-1,"University of Connecticut, Department of Ecology and Evolutionary Biology, USA"
https://dblp.org/pid/44/1622-1,"University of Connecticut, USA"
