author,affiliation
https://dblp.org/pid/01/1190-5,"University of Delaware, Department of Computer and Information Sciences, Newark, DE, USA"
https://dblp.org/pid/03/2511-1,"University of Delaware, USA"
https://dblp.org/pid/03/6624-3,"University of Delaware, Center for Bioinformatics and Computational Biology, Newark, DE, USA"
https://dblp.org/pid/08/3712-3,"University of Delaware, USA"
https://dblp.org/pid/09/1471,"University of Delaware, Newark, USA"
https://dblp.org/pid/09/3714,"University of Delaware, Department of Mechanical Engineering, Newark, DE, USA"
https://dblp.org/pid/10/10956-2,"University of Delaware, Department of Computer and Information Sciences, Newark, DE, USA"
https://dblp.org/pid/118/7794,"University of Delaware, USA"
https://dblp.org/pid/126/6311,"University of Delaware, USA"
https://dblp.org/pid/133/2601,"University of Delaware, USA"
https://dblp.org/pid/137/7914-2,"University of Delaware, Department of Mathematical Sciences, Newark, DE, USA"
https://dblp.org/pid/14/5505-2,"University of Delaware, Department of Electrical and Computer Engineering, Newark, DE, USA"
https://dblp.org/pid/141/3926,"University of Delaware, Newark, USA"
https://dblp.org/pid/149/7762-5,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/150/6565-2,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/151/5397,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/157/0759,"University of Delaware, Computational Biomedicine Lab, Newark, DE, USA"
https://dblp.org/pid/17/1430-7,"University of Delaware, Department of Electrical and Computer Engineering, Newark, DE, USA"
https://dblp.org/pid/17/2358,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/19/1152,"University of Delaware, Newark, Department of Electrical and Computer Engineering"
https://dblp.org/pid/198/8575,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/20/5287,"University of Delaware, Department Mechanical Engineering, Newark, DE, USA"
https://dblp.org/pid/219/2237-1,"University of Delaware, Department of Computer and Information Sciences, DE, USA"
https://dblp.org/pid/22/11036-2,"University of Delaware, Center for Energy and Environmental Policy"
https://dblp.org/pid/22/1280-2,"University of Delaware, Department of Electrical and Computer Engineering, Newark, DE, USA"
https://dblp.org/pid/224/0615,"University of Delaware, USA"
https://dblp.org/pid/24/6114-1,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/248/8111,"University of Delaware, Department of Mechanical Engineering, Newark, DE, USA"
https://dblp.org/pid/289/8023-1,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/304/0794,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/32/10657,"University of Delaware, Newark, DE, United States"
https://dblp.org/pid/327/1919-3,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/329/8218,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/33/4822-37,"University of Delaware, Department of Electrical and Computer Engineering, USA"
https://dblp.org/pid/339/0484,"University of Delaware, Department of Chemical and Biomolecular Engineering, Newark, DE, USA"
https://dblp.org/pid/35/573-17,"University of Delaware, Department of Electrical and Computer Engineering, Newark, DE, USA"
https://dblp.org/pid/368/7676-2,"University of Delaware, Newark, USA"
https://dblp.org/pid/37/4279,"University of Delaware, Department of Mechanical Engineering, Newark, DE, USA"
https://dblp.org/pid/37/5372-6,"University of Delaware, Newark, USA"
https://dblp.org/pid/38/2914,"University of Delaware, Newark, USA"
https://dblp.org/pid/42/469-1,"University of Delaware, Department of Computer and Information Sciences, Newark, DE, USA"
https://dblp.org/pid/44/10956,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/44/4773-7,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/45/3741,"University of Delaware, USA"
https://dblp.org/pid/45/6469-3,"University of Delaware, Department of Chemical and Biomolecular Engineering, Newark, DE, USA"
https://dblp.org/pid/51/1108,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/51/4015-4,"University of Delaware, Human Language Technology Laboratory"
https://dblp.org/pid/57/162-2,"University of Delaware, Department of Chemical Engineering, Newark, DE, USA"
https://dblp.org/pid/58/5458,"University of Delaware, Newark, Department of Chemistry & Biochemistry"
https://dblp.org/pid/60/2536-7,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/61/208,"University of Delaware, Department of Mathematical Sciences, DE, USA"
https://dblp.org/pid/63/5147-3,"University of Delaware, Newark, DE, USA"
https://dblp.org/pid/63/9018,"University of Delaware, Newark, Delaware, USA"
https://dblp.org/pid/64/5725-20,"University of Delaware, Department of Electrical and Computer Engineering, Newark, DE, USA"
https://dblp.org/pid/69/4019-7,"University of Delaware, Department of Mechanical Engineering, Newark, DE, USA"
https://dblp.org/pid/70/1578,University of Delaware
https://dblp.org/pid/70/969,"University of Delaware, Department of Mechanical Engineering"
https://dblp.org/pid/71/5538,University of Delaware
https://dblp.org/pid/72/4250-36,"University of Delaware, Department of Electrical and Computer Engineering, Newark, DE, USA"
https://dblp.org/pid/78/1427,"University of Delaware, Department of Electrical and Computer Engineering"
https://dblp.org/pid/78/2996-6,University of Delaware
