author,affiliation
https://dblp.org/pid/00/5984-3,"University of Denver, Denver, CO, USA"
https://dblp.org/pid/116/7435-3,"University of Denver, Department of Business Information and Analytics, CO, USA"
https://dblp.org/pid/134/5655,"University of Denver, Department of Electrical and Computer Engineering, CO, USA"
https://dblp.org/pid/142/9591,"University of Denver, Denver, CO, USA"
https://dblp.org/pid/145/9532,"University of Denver, Department of Business Information and Analytics, CO, USA"
https://dblp.org/pid/149/3241,"University of Denver, College of Business, CO, USA"
https://dblp.org/pid/242/0716,"University of Denver, Department of Electrical and Computer Engineering, CO, USA"
https://dblp.org/pid/35/2680,"University of Denver, CO, USA"
https://dblp.org/pid/36/7463,"University of Denver, CO, USA"
https://dblp.org/pid/45/2862,"University of Denver, Department of Mathematics, CO, USA"
https://dblp.org/pid/49/4478-3,"University of Denver, Department of Electrical and Computer Engineering, CO, USA"
https://dblp.org/pid/54/4894,"University of Denver, USA"
https://dblp.org/pid/56/2402-1,"University of Denver, Department of Electrical and Computer Engineering, CO, USA"
https://dblp.org/pid/70/10849,"University of Denver, Penrose Library, CO, USA"
https://dblp.org/pid/82/5554-3,"University of Denver, CO, USA"
https://dblp.org/pid/97/3025-4,"University of Denver, University Libraries, CO, USA"
https://dblp.org/pid/a/AnnelieseAmschlerAndrews,"University of Denver, CO, USA"
https://dblp.org/pid/l/JingLi29,"University of Denver, Department of Geography and the Environment, CO, USA"
https://dblp.org/pid/l/MarioALopez,"University of Denver, CO, USA"
https://dblp.org/pid/m/SMartini-4,"University of Denver, Denver, CO, USA"
https://dblp.org/pid/v/KimonPValavanis,"University of Denver, D. F. Ritchie School of Engineering and Computer Science, CO, USA"
