author,affiliation
https://dblp.org/pid/00/5204,"University of Florida, FL, USA"
https://dblp.org/pid/00/6306-4,"University of Florida, Department of Electrical and Computer Engineering, Gainesville, FL, USA"
https://dblp.org/pid/01/4094,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/01/6747,"University of Florida, Gainesville, USA"
https://dblp.org/pid/01/7237,"University of Florida, Department of Biology, Gainesville, FL, USA"
https://dblp.org/pid/02/2673-1,"University of Florida Gainesville, Center for Intelligent Machines and Robotics"
https://dblp.org/pid/03/3520-1,"University of Florida, Department of Computer and Information Science and Engineering, Gainesville, FL, USA"
https://dblp.org/pid/03/3520-6,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/04/1137,"University of Florida, Gainesville"
https://dblp.org/pid/04/4610,"University of Florida, Department of Computer and Information Science and Engineering, Gainesville, FL, USA"
https://dblp.org/pid/04/4637-1,"University of Florida, Department of Computer and Information Science and Engineering, Gainesville, FL, USA"
https://dblp.org/pid/04/6901-7,"University of Florida, Department of Agricultural and Biological Engineering, Gainesville, FL, USA"
https://dblp.org/pid/04/9046,"University of Florida, Agricultural & Biological Engineering Department, Gainesville, FL, USA"
https://dblp.org/pid/07/6095-10,"University of Florida, School of Artificial Intelligence, FL, USA"
https://dblp.org/pid/07/6728-1,"University of Florida, Scalable Software Systems Laboratory, Gainesville, FL, USA"
https://dblp.org/pid/07/869,University of Florida
https://dblp.org/pid/08/8693-2,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/09/2085-9,"University of Florida, Department of Computer and Information Science and Engineering, Gainesville, FL, USA"
https://dblp.org/pid/09/851-1,"University of Florida, Department of Health Outcomes and Biomedical Informatics, Gainesville, FL, USA"
https://dblp.org/pid/10/3099-3,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/10/4661-216,"University of Florida, Department of Mathematics, Gainesville, FL, USA"
https://dblp.org/pid/11/4510,"University of Florida, Gainesville, USA"
https://dblp.org/pid/11/661-2,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/118/5569-1,"University of Florida, Department of Electrical and Computer Engineering, Gainesville, FL, USA"
https://dblp.org/pid/12/3652,"University of Florida, Department of Mathematics, Gainesville, FL, USA"
https://dblp.org/pid/124/9544,"University of Florida, Gainesville, USA"
https://dblp.org/pid/124/9702,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/129/0119,"University of Florida, Department of Computer and Information Science and Engineering"
https://dblp.org/pid/13/1520-15,"University of Florida, Health Outcomes & Biomedical Informatics, Gainesville, FL, USA"
https://dblp.org/pid/136/7026,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/14/278,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/140/7598-15,"University of Florida, Department of Health Outcomes and Biomedical Informatics, Gainesville, FL, USA"
https://dblp.org/pid/140/9652,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/143/2426,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/147/1126-2,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/149/1297-2,"University of Florida, Levin College of Law, Gainesville, FL, USA"
https://dblp.org/pid/15/1212,"University of Florida, USA"
https://dblp.org/pid/15/9746,"University of Florida, Department of Mechanical and Aerospace Engineering, Gainesville, FL, USA"
https://dblp.org/pid/151/5470,"University of Florida, College of Public Health and Health Professions, Gainesville, FL, USA"
https://dblp.org/pid/153/5192,"University of Florida, Florida Museum of Natural History, Gainesville, FL, USA"
https://dblp.org/pid/155/1346,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/158/5328,"University of Florida, FL, USA"
https://dblp.org/pid/159/6346,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/16/10807-3,"Department of Health Outcomes and Policy, University of Florida, USA"
https://dblp.org/pid/16/2599-5,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/16/4505-14,"University of Florida, Gainesville, FL, USA"
https://dblp.org/pid/16/7565-2,"University of Florida, Department of Electrical and Computer Engineering, Gainesville, FL, USA"
https://dblp.org/pid/160/4969,"University of Florida, Gainesville, Department of Electrical and Computer Engineering"
