author,affiliation
https://dblp.org/pid/00/4859-18,"University of Georgia, Bio-sensing and Instrumentation Laboratory, College of Engineering, Athens, GA, USA"
https://dblp.org/pid/02/3721-7,"University of Georgia, Athens, GA, USA"
https://dblp.org/pid/04/3447,"University of Georgia, Athens, USA"
https://dblp.org/pid/04/999-14,"University of Georgia, Athens, GA, USA"
https://dblp.org/pid/06/2123-7,"University of Georgia, Complex Systems Control Laboratory, Athens, GA, USA"
https://dblp.org/pid/06/2271-1,"University of Georgia, Terry College of Business, Athens, GA, USA"
https://dblp.org/pid/06/5438,"University of Georgia, Terry College of Business, Athens, GA, USA"
https://dblp.org/pid/08/869,"University of Georgia, Athens, USA"
https://dblp.org/pid/10/4661-90,"University of Georgia, Department of Computer Science / Bioimaging Research Center, Cortical Architecture Imaging and Discovery Lab, Athens, GA, USA"
https://dblp.org/pid/119/0695-2,"University of Georgia, Terry College of Business, Athens, GA, USA"
https://dblp.org/pid/138/7825,"University of Georgia, Athens, GA, USA"
https://dblp.org/pid/15/91-4,"University of Georgia, Athens, GA, USA"
https://dblp.org/pid/150/5023,"University of Georgia, USA"
https://dblp.org/pid/165/6215,"University of Georgia, Athens, Department of Psychology"
https://dblp.org/pid/17/256-1,"University of Georgia, Athens, GA, USA"
https://dblp.org/pid/178/1355,"University of Georgia, Tifton, GA, USA"
https://dblp.org/pid/18/10034-5,"University of Georgia, Warnell School of Forestry and Natural Resources, Athens, GA, USA"
https://dblp.org/pid/183/9957,"University of Georgia, Department of Computer Science, Athens, GA, USA"
https://dblp.org/pid/185/2651-1,"University of Georgia, School of Computing, Athens, GA, USA"
https://dblp.org/pid/192/0167-2,"University of Georgia, College of Public Health, Athens, GA, USA"
https://dblp.org/pid/199/2977,"University of Georgia, USA"
https://dblp.org/pid/217/9655,"University of Georgia, School of Electrical and Computer Engineering, Athens, USA"
https://dblp.org/pid/22/1495,"University of Georgia, Terry College of Business"
https://dblp.org/pid/236/1586,"University of Georgia, Department of Communication Studies, Athens, GA, USA"
