author,affiliation
https://dblp.org/pid/00/6381-14,"University of Houston, Cullen College of Engineering, Houston, TX, USA"
https://dblp.org/pid/02/1003-26,"University of Houston, Department of Electrical and Computer Engineering, TX, USA"
https://dblp.org/pid/02/1043,"University of Houston, USA"
https://dblp.org/pid/02/5889-122,"University of Houston, Department of Electrical and Computer Engineering, Houston, TX, USA"
https://dblp.org/pid/02/736-7,"University of Houston, TX, USA"
https://dblp.org/pid/03/1099,"University of Houston - Downtown, TX, USA"
https://dblp.org/pid/03/6772-2,"University of Houston, Department of Engineering Technology, Houston, TX, USA"
https://dblp.org/pid/08/1563-2,"University of Houston-Downtown, TX, USA"
https://dblp.org/pid/08/3712-2,"University of Houston, TX, USA"
https://dblp.org/pid/08/4148-2,"University of Houston, Houston, TX, USA"
https://dblp.org/pid/08/5760-11,"University of Houston, TX, USA"
https://dblp.org/pid/08/6982,"University of Houston, TX, USA"
https://dblp.org/pid/09/3084-2,"University of Houston, Department of Computer Science, TX, USA"
https://dblp.org/pid/10/1130-5,"University of Houston, TX, USA"
https://dblp.org/pid/12/1198-12,University of Houston-Victoria
https://dblp.org/pid/12/4444-3,"University of Houston, Department of Computer Science, TX, USA"
https://dblp.org/pid/12/4774-11,"University of Houston, Department of Computer Science, TX, USA"
https://dblp.org/pid/120/5715,"University of Houston, TX, USA"
https://dblp.org/pid/124/1315-1,"University of Houston, TX, USA"
https://dblp.org/pid/125/5587-1,"University of Houston, TX, USA"
https://dblp.org/pid/126/2962-5,"University of Houston, TX, USA"
https://dblp.org/pid/135/8608,"University of Houston, TX, USA"
https://dblp.org/pid/137/3717-1,"University of Houston, Department of Geosciences, Houston, TX, USA"
https://dblp.org/pid/138/4609,"University of Houston, TX, USA"
https://dblp.org/pid/14/1328,"University of Houston, TX, USA"
https://dblp.org/pid/145/9997,"University of Houston, Department of Mechanical Engineering, TX, USA"
https://dblp.org/pid/15/8092-3,"University of Houston, Department of Electrical and Computer Engineering, TX, USA"
https://dblp.org/pid/151/7522,"University of Houston, Department of Computer Science"
https://dblp.org/pid/159/0781,"University of Houston, Department of Mathematics"
https://dblp.org/pid/16/6317-10,"University of Houston, Department of Computer Science, TX, USA"
https://dblp.org/pid/160/0761-2,"University of Houston, Department of Earth and Atmospheric Sciences, Houston, TX, USA"
https://dblp.org/pid/160/6176-1,"University of Houston Clear Lake, Houston, TX, USA"
https://dblp.org/pid/162/6161,"University of Houston, Houston, Texas, USA"
https://dblp.org/pid/165/9126,"University of Houston, TX, USA"
https://dblp.org/pid/175/9625,"University of Houston, Department of Phsycology, TX, USA"
https://dblp.org/pid/18/1763-6,"University of Houston, Department of Computer Sciences, TX, USA"
https://dblp.org/pid/18/3178-2,"University of Houston, Department of Electrical and Computer Engineering, Houston, TX, USA"
https://dblp.org/pid/18/6114-1,"University of Houston, Department of Computer Science, TX, USA"
https://dblp.org/pid/188/4614,"University of Houston, Texas, USA"
https://dblp.org/pid/190/2176,"University of Houston, TX, USA"
https://dblp.org/pid/198/7137,"University of Houston, Department of Electrical and Computer Engineering, TX, USA"
https://dblp.org/pid/202/4317,"University of Houston-Downtown, College of Business, Department of Supply Chain Management, Houston, TX, USA"
https://dblp.org/pid/208/3152,"University of Houston, TX, USA"
https://dblp.org/pid/210/9808,"University of Houston, Texas, USA"
https://dblp.org/pid/22/10674-2,"University of Houston, TX, USA"
https://dblp.org/pid/22/7226,"University of Houston, Department of Biology and Biochemistry, TX, USA"
https://dblp.org/pid/227/7375,"University of Houston, Department of Biomedical Engineering, TX, USA"
https://dblp.org/pid/229/7251,"University of Houston-Victoria, TX, USA"
https://dblp.org/pid/23/1788-7,"University of Houston, Houston, TX, USA"
https://dblp.org/pid/23/2658-1,"University of Houston, TX, USA"
https://dblp.org/pid/236/4146,"University of Houston, Texas, USA"
https://dblp.org/pid/26/1622-4,"University of Houston, TX, USA"
https://dblp.org/pid/266/1518,"University of Houston, TX, USA"
https://dblp.org/pid/28/1549,"University of Houston, TX, USA"
https://dblp.org/pid/29/1088,"University of Houston, Department of Computer Science"
https://dblp.org/pid/29/3081-75,"University of Houston, Department of Computer Science, TX, USA"
https://dblp.org/pid/29/563-27,"University of Houston, Department of Computer Science, Computational Biomedicine Laboratory, Houston, TX, USA"
https://dblp.org/pid/30/1281,"University of Houston, TX, USA"
