author,affiliation
https://dblp.org/pid/193/9636,"University of Idaho, Moscow, ID, USA"
https://dblp.org/pid/21/1079-2,"University of Idaho, Department of Electrical and Computer Engineering, Moscow, ID, USA"
https://dblp.org/pid/227/0952,"University of Idaho, Moscow, ID, USA"
https://dblp.org/pid/236/9496,"University of Idaho, Moscow, USA"
https://dblp.org/pid/330/4581,"University of Idaho, Institute for Modeling Collaboration and Innovation, Moscow, ID, USA"
https://dblp.org/pid/39/11326,"University of Idaho, Moscow, IA, USA"
https://dblp.org/pid/57/2281-4,"University of Idaho, Department of Biological Sciences, Moscow, ID, USA"
https://dblp.org/pid/63/11345-5,"University of Idaho, Idaho, USA"
https://dblp.org/pid/69/10380,"University of Idaho, Moscow, ID, USA"
https://dblp.org/pid/72/1827,"University of Idaho, Moscow, ID, USA"
https://dblp.org/pid/94/2219-6,"University of Idaho, Moscow, Idaho, USA"
https://dblp.org/pid/j/ClintonLJeffery,"University of Idaho, USA"
https://dblp.org/pid/j/HasanMJamil,"University of Idaho, USA"
https://dblp.org/pid/w/HongWang5,"University of Idaho, Department of Mathematics, Moscow, ID, USA"
