author,affiliation
https://dblp.org/pid/02/6128-9,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/05/1539-25,"University of Iowa, Department of Electrical and Computer Engineering, Iowa City, IA, USA"
https://dblp.org/pid/05/6373,"The University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/07/8401,"University of Iowa, Department of PediatricsIowa City, IA, USA"
https://dblp.org/pid/10/217-16,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/10/4661-48,"University of Iowa, IIHR-Hydroscience & Engineering, Iowa City, IO, USA"
https://dblp.org/pid/11/751-8,"University of Iowa, Department of Computer Science, Iowa City, IA, USA"
https://dblp.org/pid/120/1444-3,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/122/7855,"University of Iowa, IA, USA"
https://dblp.org/pid/125/8189-22,"University of Iowa, Center for Global and Regional Environmental Studies, Iowa City, IA, USA"
https://dblp.org/pid/125/8504,"University of Iowa, USA"
https://dblp.org/pid/13/682,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/140/7379,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/141/3950,"University of Iowa, Department of Psychology and Delta Center, USA"
https://dblp.org/pid/141/4293-4,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/143/2518,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/145/3610,"University of Iowa Hospitals and Clinics, Department of neurosurgery, Iowa City, IA"
https://dblp.org/pid/149/7865,"University of Iowa, Iowa City, USA"
https://dblp.org/pid/169/8211,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/17/221-26,"The University of Iowa, Department of Chemical and Biochemical Engineering, Iowa City, IA, USA"
https://dblp.org/pid/17/3842-1,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/181/2806-2,"University of Iowa, College of Business, Department of Finance, Iowa City, IA, USA"
https://dblp.org/pid/181/7828,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/181/8127,"University of Iowa, Department of Industrial and System Engineering, Iowa City, IA, USA"
https://dblp.org/pid/188/7759-98,"University of Iowa, Department of Industrial and Systems Engineering, IA, USA"
https://dblp.org/pid/19/1003,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/19/1800,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/19/4024,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/190/7560-1,"University of Iowa, Iowa City, USA"
https://dblp.org/pid/196/6305,"University of Iowa, USA"
https://dblp.org/pid/198/0304,"University of Iowa, Iowa City, IA, USA"
https://dblp.org/pid/20/8967-2,"University of Iowa, Department of Mathematics, IA, USA"
https://dblp.org/pid/200/7923,"University of Iowa, Department of Computer Science, Iowa City, IA, USA"
https://dblp.org/pid/209/9068,"University of Iowa, Iowa City, IO, USA"
https://dblp.org/pid/21/4084-12,"University of Iowa, USA"
https://dblp.org/pid/21/5941-4,"University of Iowa, Department of Management Sciences, Iowa City, IA, USA"
