author,affiliation
https://dblp.org/pid/00/2118,"University of Kansas, USA"
https://dblp.org/pid/00/5763-1,"University of Kansas School of Business, Lawrence, KS, USA"
https://dblp.org/pid/01/2239,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/02/4556,"University of Kansas, Lawrence, KS, USA"
https://dblp.org/pid/04/641-1,"University of Kansas, Center for Computational Biology, Lawrence, KS, USA"
https://dblp.org/pid/12/2343,"University of Kansas, Lawrence, KS, USA"
https://dblp.org/pid/121/1786,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/134/4025-1,"University of Kansas, USA"
https://dblp.org/pid/136/2725,"University of Kansas, Lawrence, KS, USA"
https://dblp.org/pid/153/0679,"University of Kansas, USA"
https://dblp.org/pid/156/1517-2,"University of Kansas, Lawrence, KS, USA"
https://dblp.org/pid/16/733,"University of Kansas, Lawrence, KS, USA"
https://dblp.org/pid/163/9026,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/177/9849,"University of Kansas, University of Kansas Medical Center, Kansas City, KS, USA"
https://dblp.org/pid/178/5457,"University of Kansas, Department of Geography, Lawrence, KS, USA"
https://dblp.org/pid/181/2832-84,"University of Kansas, School of Business, Lawrence, KS, USA"
https://dblp.org/pid/182/2597-13,"The University of Kansas, Lawrence, KS, USA"
https://dblp.org/pid/194/1245,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/200/2298,"University of Kansas, Department of Electrical Engineering and Computer Science, Lawrence, KS, USA"
https://dblp.org/pid/21/8704,"University of Kansas, Department of Psychology, Lawrence, Kansas, USA"
https://dblp.org/pid/23/6185-1,"University of Kansas, USA"
https://dblp.org/pid/230/9017,"University of Kansas Medical Center, Parkinson's Disease and Movement Disorder Center, Kansas City, KS, USA"
https://dblp.org/pid/259/6372,"University of Kansas, Center for Remote Sensing of Ice Sheets, CReSIS, Lawrence, KS, USA"
https://dblp.org/pid/30/7265,"University of Kansas, Department of Electrical Engineering and Computer Science"
https://dblp.org/pid/303/3853,"University of Kansas, Lawrence, KS, USA"
https://dblp.org/pid/308/1718,"University of Kansas, Department of Electrical Engineering and Computer Science, Lawrence, KS, USA"
https://dblp.org/pid/309/9435,"University of Kansas Medical Center, Kansas City, KS, USA"
https://dblp.org/pid/33/2532,"University of Kansas Medical Center, Medical Informatics, Kansas City, KS, USA"
https://dblp.org/pid/33/5448-19,"University of Kansas, Department of Civil, Environmental, and Architectural Engineering, Lawrence, KS, USA"
https://dblp.org/pid/35/5562-1,University of Kansas
https://dblp.org/pid/36/2552,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/37/3474,"University of Kansas, Department of Electrical Engineering and Computer Science, Lawrence, USA"
https://dblp.org/pid/40/6654-2,"University of Kansas, Department of Geography and Atmospheric Science, Lawrence, KS, USA"
https://dblp.org/pid/43/3166-16,University of Kansas
https://dblp.org/pid/45/9238,"University of Kansas, Department of Linguistics, Lawrence, KS, USA"
https://dblp.org/pid/50/2484-37,"University of Kansas, USA"
https://dblp.org/pid/51/6265,"Department of Speech, Language, and Hearing, University of Kansas, Lawrence, KS, USA"
https://dblp.org/pid/52/9064,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/53/4663-2,"University of Kansas, USA"
https://dblp.org/pid/56/9306,"University of Kansas, Lawrence, KS, US"
https://dblp.org/pid/57/7935,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/58/5341,"University of Kansas, School of Engineering, Lawrence, KS, USA"
https://dblp.org/pid/60/2931-3,"University of Kansas, USA"
https://dblp.org/pid/61/372-4,"University of Kansas, Department of Physical Therapy and Rehabilitation Science, Kansas City, KS, USA"
https://dblp.org/pid/65/6488-1,"University of Kansas, Department of Mathematics, Lawrence, KS, USA"
https://dblp.org/pid/66/11232,"University of Kansas, Medical Center, Kansas City, KS, USA"
https://dblp.org/pid/66/6320-7,"University of Kansas, USA"
https://dblp.org/pid/66/7615,"University of Kansas, Department of Electrical and Computer Science, Lawrence, KS, USA"
https://dblp.org/pid/74/2721-1,"University of Kansas, USA"
https://dblp.org/pid/82/9310,"University of Kansas, Department of Linguistics, Lawrence, KS, USA"
https://dblp.org/pid/86/7128,"University of Kansas, Lawrence, KS, USA"
https://dblp.org/pid/90/6996-6,"University of Kansas, Lawrence, KS, USA"
https://dblp.org/pid/93/4277-2,"University of Kansas, Lawrence, KS, USA"
https://dblp.org/pid/96/11151,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/98/2199,"University of Kansas, USA"
https://dblp.org/pid/98/82,"The University of Kansas, USA"
https://dblp.org/pid/b/MichaelSBranicky,"University of Kansas, USA"
https://dblp.org/pid/e/JBEvans,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/f/VictorSFrost,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/g/JWGrzymalaBusse,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/g/SusanGauch,"University of Kansas, Lawrence, USA"
https://dblp.org/pid/s/HosseinSaiedian,"University of Kansas, Lawrence, USA"
