author,affiliation
https://dblp.org/pid/04/4910-5,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/07/8968,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/116/8282,"University of Louisiana at Lafayette, School of Computing and Informatics, LA, USA"
https://dblp.org/pid/17/899,"University of Louisiana at Lafayette, USA"
https://dblp.org/pid/191/1554,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/195/4765,"University of Louisiana at Lafayette, College of Business, LA, USA"
https://dblp.org/pid/235/5764,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/31/6916-6,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/34/1910-8,"University of Louisiana at Lafayette, USA"
https://dblp.org/pid/37/4356-8,"University of Louisiana at Lafayette, Center of Advanced Computer Studies, Lafayette, LA, USA"
https://dblp.org/pid/38/5099,"University of Louisiana at Lafayette, USA"
https://dblp.org/pid/385/6557,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/43/4833,"University of Louisiana at Lafayette, Institute of Cognitive Science, LA, USA"
https://dblp.org/pid/48/7043-8,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/55/3227-1,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/56/3566,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/78/1033,"University of Louisiana at Lafayette, USA"
https://dblp.org/pid/90/4955,"University of Louisiana at Lafayette, USA"
https://dblp.org/pid/96/1853,"University of Louisiana at Lafayette, School of Computing and Informatics, Lafayette, USA"
https://dblp.org/pid/98/4656,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/99/4568,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/b/MagdyABayoumi,"University of Louisiana at Lafayette, Center for Advanced Computer Studies (CACS), LA, USA"
https://dblp.org/pid/c/CCavanaugh,"University of Louisiana at Lafayette, USA"
https://dblp.org/pid/c/LiChen19,"University of Louisiana at Lafayette, School of Computing and Informatics, Department of Computer Science, Lafayette, LA, USA"
https://dblp.org/pid/f/GuiLiangFeng,"University of Louisiana at Lafayette, USA"
https://dblp.org/pid/l/ArunLakhotia,"University of Louisiana at Lafayette, USA"
https://dblp.org/pid/l/RasiahLoganantharaj,"University of Louisiana at Lafayette, USA"
https://dblp.org/pid/m/MartinMargala,"University of Louisiana at Lafayette, LA, USA"
https://dblp.org/pid/r/TRNRao,"University of Louisiana at Lafayette, USA"
https://dblp.org/pid/r/VVRaghavan1,"University of Louisiana at Lafayette, Center for Advanced Computer Studies (CACS)"
