author,affiliation
https://dblp.org/pid/04/4627,"University of Louisville, KY, USA"
https://dblp.org/pid/08/2489-5,"University of Louisville School of Medicine, Department of Anatomical Sciences and Neurobiology, Louisville, KY, USA"
https://dblp.org/pid/116/4616-1,"University of Louisville, KY, USA"
https://dblp.org/pid/119/9619,"University of Louisville, KY, USA"
https://dblp.org/pid/140/4354-3,"University of Louisville, KBRIN Bioinformatics Core, VA, USA"
https://dblp.org/pid/17/5887,"University of Louisville, School of Medicine, KY, USA"
https://dblp.org/pid/176/3397,"University of Louisville, Department of Psychological and Brain Sciences, KY, USA"
https://dblp.org/pid/180/4930,"University of Louisville, KY, USA"
https://dblp.org/pid/181/2801,"University of Louisville, KY, USA"
https://dblp.org/pid/201/7702,"University of Louisville, Kentucky, USA"
https://dblp.org/pid/211/5096,"University of Louisville, Louisville, KY, USA"
https://dblp.org/pid/214/8656,"University of Louisville, Department of Neurology, KY, USA"
https://dblp.org/pid/217/6498,"University of Louisville, Department of Medicine, KY, USA"
https://dblp.org/pid/231/1850,"University of Louisville, Louisville, KY, USA"
https://dblp.org/pid/234/6931,"University of Louisville, College of Business, KY, USA"
https://dblp.org/pid/24/5117,"University of Louisville, Department of Mathematics, KY, USA"
https://dblp.org/pid/25/1965,University of Louisville
https://dblp.org/pid/28/8212-2,"University of Louisville, Department of Mechanical Engineering, KY, USA"
https://dblp.org/pid/283/2801-1,"University of Louisville, Bioengineering Department, KY, USA"
https://dblp.org/pid/353/5938,"University of Louisville, Department of Mechanical Engineering, KY, USA"
https://dblp.org/pid/40/7590,"University of Louisville, CVIP Lab"
https://dblp.org/pid/42/10697-2,"University of Louisville, BioImaging Laboratory, Bioengineering Department, KY, USA"
https://dblp.org/pid/46/6995,"University of Louisville, Department of Mathematics"
https://dblp.org/pid/50/4769,"University of Louisville, Department of Mathematics"
https://dblp.org/pid/55/10352-1,"University of Louisville, Louisville, KY, USA"
https://dblp.org/pid/55/6410,"University of Louisville, Department of Electrical and Computer Engineering"
https://dblp.org/pid/58/2489-6,"University of Louisville, College of Business, Department of Computer Information Systems, KY, USA"
https://dblp.org/pid/68/6274-2,"University of Louisville, Industrial Engineering, KY, USA"
https://dblp.org/pid/75/261,"University of Louisville, Department of Bioengineering"
https://dblp.org/pid/76/4015-9,"University of Louisville, CECS Department, KY, USA"
https://dblp.org/pid/83/5255,"University of Louisville, Department of Electrical and Computer Engineering, KY, USA"
https://dblp.org/pid/85/10308-7,"University of Louisville, Department of Industrial Engineering, KY, USA"
https://dblp.org/pid/91/4353-3,"University of Louisville, Department of Chemistry, KY, USA"
https://dblp.org/pid/k/MehmedMKantardzic,"University of Louisville, Data Mining Lab, KY, USA"
https://dblp.org/pid/z/HuiZhang6,"University of Louisville, KY, USA"
