author,affiliation
https://dblp.org/pid/117/7276,"University of Maine, Le Mans, France"
https://dblp.org/pid/120/4262,"University of Maine, VEMI Lab, Orono, ME, USA"
https://dblp.org/pid/156/0269,"University of Maine, Orono, ME, USA"
https://dblp.org/pid/171/1128,"University of Maine, Orono, MA, USA"
https://dblp.org/pid/177/5310,"University of Maine, Eastern Maine Medical Center, Bangor, ME, USA"
https://dblp.org/pid/196/8689,"University of Maine, School of Forest Resources, Orono, USA"
https://dblp.org/pid/33/3045,"University of Maine, Orono, ME, USA"
https://dblp.org/pid/63/6134-3,"University of Maine, Orono, USA"
https://dblp.org/pid/83/752,University of Maine
https://dblp.org/pid/87/5800-2,"University of Maine, Orono, ME, USA"
https://dblp.org/pid/91/1927-1,"University of Maine, Le Mans, France"
https://dblp.org/pid/93/10910,"University of Maine, Department of Resource Economics and Policy, Orono, Maine, MN, USA"
https://dblp.org/pid/95/10370,"University of Maine, Department of Intermedia Arts, Orono, ME, USA"
https://dblp.org/pid/99/3281,"University of Maine, Laboratory of Computer Science, Le Mans, France"
https://dblp.org/pid/99/6113,"University of Maine, Le Mans, Computer Science Laboratory (LIUM)"
https://dblp.org/pid/e/MJEgenhofer,University of Maine
