author,affiliation
https://dblp.org/pid/01/5331-2,"University of Memphis, Electrical Engineering and Computer Science, USA"
https://dblp.org/pid/05/6387,"University of Memphis, Department of Computer Science"
https://dblp.org/pid/07/2616-1,"University of Memphis, TN, USA"
https://dblp.org/pid/132/2635,"University of Memphis, Institute for Intelligent Systems, TN, USA"
https://dblp.org/pid/132/4110,University of Memphis
https://dblp.org/pid/142/5652,"University of Memphis, Department of Computer Science, TN, USA"
https://dblp.org/pid/144/6180,"University of Memphis, Memphis, TN, USA"
https://dblp.org/pid/150/5249-4,"University of Memphis, Memphis, TN, USA"
https://dblp.org/pid/194/1247,"University of Memphis, Institute for Intelligent Systems, TN, USA"
https://dblp.org/pid/21/4633-5,"University of Memphis, School of Public Health, TN, USA"
https://dblp.org/pid/22/5977,"University of Memphis, Institute for Intelligent Systems, USA"
https://dblp.org/pid/237/4575,"University of Memphis, Department of Earth Sciences, Memphis, TN, USA"
https://dblp.org/pid/26/6407,"University of Memphis, Department of Computer Science, TN, USA"
https://dblp.org/pid/27/5091-1,"University of Memphis, Department of Computer Science, TN, USA"
https://dblp.org/pid/27/5091-4,"University of Memphis, Department of Electrical and Computer Engineering, TN, USA"
https://dblp.org/pid/27/5091-7,"University of Memphis, Department of Electrical and Computer Engineering, TN, USA"
https://dblp.org/pid/28/6755,"University of Memphis, Department of Mathematical Sciences, TN, USA"
https://dblp.org/pid/32/5207-2,"University of Memphis, Memphis, TN, USA"
https://dblp.org/pid/32/565,"University of Memphis, Department of Business Information and Technology, TN, USA"
https://dblp.org/pid/34/3155,"University of Memphis, Department of Business, TN, USA"
https://dblp.org/pid/38/5037-1,"University of Memphis, Dept. of Mathematical Sciences, TN, USA"
https://dblp.org/pid/48/3904-2,"University of Memphis, TN , USA"
https://dblp.org/pid/55/10758,"University of Memphis, Department of Psychology, Memphis, TN, USA"
https://dblp.org/pid/56/7650-3,"The University of Memphis, The Bioinformatics Program, TN, USA"
https://dblp.org/pid/60/4599,"University of Memphis, Department of Mathematical Sciences, USA"
https://dblp.org/pid/65/4487,"University of Memphis, Department of Mathematical Sciences, TN, USA"
https://dblp.org/pid/67/4132-3,"University of Memphis, TN, USA"
https://dblp.org/pid/70/6502,"University of Memphis, Department of Psychology, TN, USA"
https://dblp.org/pid/77/6105,"University of Memphis, USA"
https://dblp.org/pid/80/1164,"University of Memphis, TN, USA"
https://dblp.org/pid/83/4809-2,"University of Memphis, TN, USA"
https://dblp.org/pid/91/5747,"University of Memphis, Memphis, Tennessee, USA"
https://dblp.org/pid/94/4084-2,"University of Memphis, Memphis, Tennessee, USA"
https://dblp.org/pid/l/IrenaLasiecka,"University of Memphis, USA"
