author,affiliation
https://dblp.org/pid/00/3361-9,"University of Miami, Department of Electrical and Computer Engineering, Coral Gables, FL, USA"
https://dblp.org/pid/06/4633,"University of Miami, Department of Mathematics, USA"
https://dblp.org/pid/121/7814,"University of Miami, Fl, USA"
https://dblp.org/pid/132/3532,"University of Miami, Department of Biochemistry and Molecular Biology, FL, USA"
https://dblp.org/pid/133/0790,University of Miami
https://dblp.org/pid/149/6529,"University of Miami, FL, USA"
https://dblp.org/pid/181/2834-49,"University of Miami, Department of Computer Science, Coral Gables, FL, USA"
https://dblp.org/pid/192/4404,"University of Miami, FL, USA"
https://dblp.org/pid/194/6241,"University of Miami, Rosenstiel School of Marine and Atmospheric Science, FL, USA"
https://dblp.org/pid/213/6666,"University of Miami, Coral Gables, FL, USA"
https://dblp.org/pid/294/6620,"University of Miami, Coral Gables, FL, USA"
https://dblp.org/pid/332/0155,"University of Miami, Cooperative Institute for Marine and Atmospheric Studies, FL, USA"
https://dblp.org/pid/35/4878-2,"University of Miami, Miami, FL, USA"
https://dblp.org/pid/36/8238,"University of Miami, Coral Gables, FL, USA"
https://dblp.org/pid/367/5487,"University of Miami, Department of Psychology, Coral Gables, FL, USA"
https://dblp.org/pid/37/5126-1,"University of Miami, Department of Electrical and Computer Engineering, Miami, FL, USA"
https://dblp.org/pid/58/2389-6,"University of Miami, Department of Electrical Engineering, FL, USA"
https://dblp.org/pid/60/4297-2,"University of Miami, FL, USA"
https://dblp.org/pid/60/5568,"University of Miami, Department of Mathematics, Coral Gables, FL, USA"
https://dblp.org/pid/61/6904-2,"University of Miami, Coral Gables, FL, USA"
https://dblp.org/pid/62/5558-2,University of Miami
https://dblp.org/pid/66/3019-14,"University of Miami, Coral Gables, FL, USA"
https://dblp.org/pid/67/7672-2,"University of Miami, Coral Gables, FL, USA"
https://dblp.org/pid/71/5398-2,"University of Miami, Department of Physics, FL, USA"
https://dblp.org/pid/75/3931-4,"University of Miami, Department of Computer Science, Institute of Data Science and Computing, Coral Gables, FL, USA"
https://dblp.org/pid/96/6594,"University of Miami, USA"
https://dblp.org/pid/o/MitsunoriOgihara,"University of Miami, Department of Computer Science, Coral Gables, FL, USA"
https://dblp.org/pid/s/GeoffSutcliffe,"University of Miami, Coral Gables, USA"
