author,affiliation
https://dblp.org/pid/03/2611-10,"University of Michigan-Dearborn, College of Business, MI, USA"
https://dblp.org/pid/06/4925-1,University of Michigan-Dearborn
https://dblp.org/pid/06/5185-4,"University of Michigan-Dearborn, Dearborn, MI, USA"
https://dblp.org/pid/12/10840-3,"University of Michigan-Dearborn, College of Engineering and Computer Science, Dearborn, MI, USA"
https://dblp.org/pid/16/3283-8,"University of Michigan-Dearborn, Department of Industrial & Manufacturing Systems Engineering, MI, USA"
https://dblp.org/pid/180/1598,"University of Michigan-Dearborn, Dearborn, MI, USA"
https://dblp.org/pid/23/6860,"University of Michigan-Dearborn, Department of Computer and Information Science, MI, USA"
https://dblp.org/pid/250/6948,"University of Michigan-Dearborn, Dearborn, MI, USA"
https://dblp.org/pid/32/1203-9,"University of Michigan-Dearborn, USA"
https://dblp.org/pid/37/4317,"University of Michigan-Dearborn, MI, USA"
https://dblp.org/pid/75/5705-11,"University of Michigan-Dearborn, USA"
https://dblp.org/pid/g/WilliamIGrosky,"University of Michigan-Dearborn, USA"
