author,affiliation
https://dblp.org/pid/00/1330,"University of Michigan, Department of Nuclear Engineering, Ann Arbor, MI, USA"
https://dblp.org/pid/00/4868-1,"University of Michigan, Department of Statistics, Ann Arbor, MI, USA"
https://dblp.org/pid/00/6921-2,"University of Michigan, Department of Civil and Environmental Engineering, Ann Arbor, MI, USA"
https://dblp.org/pid/00/7916,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/01/1282,University of Michigan
https://dblp.org/pid/01/4496,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/01/5657,"University of Michigan, Department of Mathematics"
https://dblp.org/pid/02/5451,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/02/5505-5,University of Michigan
https://dblp.org/pid/02/5889-144,"University of Michigan, Department of Statistics, Ann Arbor, MI, USA"
https://dblp.org/pid/03/1935,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/03/2134-45,"University of Michigan, Department of Computational Medicine and Bioinformatics, Electrical Engineering and Computer Science, MI, USA"
https://dblp.org/pid/03/2611-10,"University of Michigan-Dearborn, College of Business, MI, USA"
https://dblp.org/pid/03/4230-2,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/03/5594,"University of Michigan, USA"
https://dblp.org/pid/04/10991,"University of Michigan, Ann Arbor, Department of Ecology & Evolutionary Biology"
https://dblp.org/pid/04/3396-1,"University of Michigan, USA"
https://dblp.org/pid/04/3794-5,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/04/934-1,"University of Michigan, Department of Civil and Environmental Engineering, Ann Arbor, MI, USA"
https://dblp.org/pid/05/1084-2,"University of Michigan, Department of Electrical Engineering and Computer Science, Ann Arbor, MI, USA"
https://dblp.org/pid/05/2159,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/05/3499-27,"University of Michigan, Department of Electrical Engineering and Computer Science, Ann Arbor, MI, USA"
https://dblp.org/pid/05/3499-87,"University of Michigan, Computer Science and Engineering, MI, USA"
https://dblp.org/pid/05/4127,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/05/6957-5,"University of Michigan, Department of Chemical Engineering, Ann Arbor, MI, USA"
https://dblp.org/pid/06/4240-14,"University of Michigan, USA"
https://dblp.org/pid/06/4925-1,University of Michigan-Dearborn
https://dblp.org/pid/06/5185-4,"University of Michigan-Dearborn, Dearborn, MI, USA"
https://dblp.org/pid/06/6785-40,"University of Michigan, Department of Computational Medicine and Bioinformatics, Ann Arbor, MI, USA"
https://dblp.org/pid/06/6785-65,"University of Michigan, Department of Nuclear Engineering and Radiological Sciences, Ann Arbor, MI, USA"
https://dblp.org/pid/07/1484,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/07/3483-2,"University of Michigan at Ann Arbor, Advanced Computer Architecture Laboratory, MI, USA"
https://dblp.org/pid/07/3829,University of Michigan
https://dblp.org/pid/07/6946-1,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/08/7562,"University of Michigan, School of Information, Ann Arbor, MI, USA"
https://dblp.org/pid/09/2744,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/09/2955,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/09/5035-1,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/09/6484-1,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/10/1448-6,"University of Michigan, Ann Arbor, Michigan, USA"
https://dblp.org/pid/10/4404,"University of Michigan, Department of Mathematics, Ann Arbor, MI, USA"
https://dblp.org/pid/10/4661-108,"University of Michigan, Department of Biomedical Engineering, Ann Arbor, MI, USA"
https://dblp.org/pid/10/4777-3,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/11/4320,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/11/5006,"University of Michigan, School of Information, Ann Arbor, MI, USA"
https://dblp.org/pid/116/1011-49,"University of Michigan, Ross School of Business, Ann Arbor, MI, USA"
https://dblp.org/pid/119/0594,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/119/1841-4,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/119/6990,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/12/10840-3,"University of Michigan-Dearborn, College of Engineering and Computer Science, Dearborn, MI, USA"
https://dblp.org/pid/12/10927,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/12/2106-1,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/12/4426-2,"University of Michigan, Department of Statistics"
https://dblp.org/pid/12/590,"University of Michigan, Department of Psychology"
https://dblp.org/pid/120/9868-2,"University of Michigan, USA"
https://dblp.org/pid/122/1746,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/123/4694,"University of Michigan, USA"
https://dblp.org/pid/124/6623,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/125/3613,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/125/5587-2,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/126/1817,"University of Michigan, Department of Economics, MI, USA"
https://dblp.org/pid/126/1867,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/126/5855,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/126/9697,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/127/5245,"University of Michigan, Department of Family Medicine, Ann Arbor, MI, USA"
https://dblp.org/pid/127/6874-1,"University of Michigan, Department of Electrical Engineering and Computer Science, Ann Arbor, MI, USA"
https://dblp.org/pid/129/0498,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/129/5624,"University of Michigan, USA"
https://dblp.org/pid/129/7874,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/134/2004,"University of Michigan, Medical School, Center for Health Communications Research, Ann Arbour, USA"
https://dblp.org/pid/135/6020,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/136/9554-5,"University of Michigan, USA"
https://dblp.org/pid/139/1009,"University of Michigan, Ann Arbor, MI, USA"
https://dblp.org/pid/14/3214,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/14/4547,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/140/0883,"University of Michigan, Ann Arbor, USA"
https://dblp.org/pid/140/5858,"University of Michigan, School of Public Health, Ann Arbor, MI, USA"
https://dblp.org/pid/142/2640,"University of Michigan, USA"
