author,affiliation
https://dblp.org/pid/00/1730,"University of Minnesota, Minneapolis, MN, USA"
https://dblp.org/pid/00/5364,"University of Minnesota, USA"
https://dblp.org/pid/01/3680-1,"University of Minnesota, Minneapolis, MN, USA"
https://dblp.org/pid/02/10377-19,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
https://dblp.org/pid/02/736-12,"University of Minnesota, Minneapolis, MN, USA"
https://dblp.org/pid/03/5105,"University of Minnesota, School of Mathematics, USA"
https://dblp.org/pid/04/1613,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
https://dblp.org/pid/04/4072,"University of Minnesota, USA"
https://dblp.org/pid/04/9299,"University of Minnesota, Department of Computer Science and Engineering"
https://dblp.org/pid/05/490-1,"University of Minnesota, Department of Computer Science & Engineering, Minneapolis, MN, USA"
https://dblp.org/pid/06/2061-2,"University of Minnesota, Department of Computer Science, Duluth, MN, USA"
https://dblp.org/pid/06/4489-17,"University of Minnesota, Minneapolis, MN, USA"
https://dblp.org/pid/06/6785-6,"University of Minnesota, Minneapolis, USA"
https://dblp.org/pid/06/6785-74,"University of Minnesota-Twin Cities, Department of Computer Science, Minneapolis, MN, USA"
https://dblp.org/pid/07/6819-4,"University of Minnesota, Department of Electrical and Computer Engineering, Minneapolis, MN, USA"
https://dblp.org/pid/08/2489-18,"University of Minnesota, Department of Genetics, Cell Biology and Development, Center for Genome Engineering, Minneapolis, MN, USA"
https://dblp.org/pid/09/1365-20,"University of Minnesota, Minneapolis, Department of Electrical and Computer Engineering, USA"
https://dblp.org/pid/09/2729,"University of Minnesota, USA"
https://dblp.org/pid/09/3004,"University of Minnesota, USA"
https://dblp.org/pid/09/5394-9,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
https://dblp.org/pid/10/3416-2,"University of Minnesota, Department of Electrical and Computer Engineering, Minneapolis, MN, USA"
https://dblp.org/pid/10/3878-2,"University of Minnesota, Department of Electrical Engineering, MN, USA"
https://dblp.org/pid/10/4661-32,"University of Minnesota, Minneapolis, MN, USA"
https://dblp.org/pid/11/11087-3,"University of Minnesota, Minnesota Population Center, Twin Cities, MN, USA"
https://dblp.org/pid/11/5469,"University of Minnesota, USA"
https://dblp.org/pid/116/9689,"University of Minnesota, Center for Magnetic Resonance Research, USA"
https://dblp.org/pid/118/3935,"University of Minnesota, Minneapolis, MN, USA"
https://dblp.org/pid/118/7156,"University of Minnesota, Department of Computer Science and Engineering, GroupLens Research Lab, Twin Cities, USA"
https://dblp.org/pid/12/1499-11,"University of Minnesota, Department of Electrical and Computer Engineering, Minneapolis, MN, USA"
https://dblp.org/pid/120/3870,"University of Minnesota, Minneapolis, MN, USA"
https://dblp.org/pid/122/5424-2,"University of Minnesota, MN, USA"
https://dblp.org/pid/123/7664,"University of Minnesota, USA"
https://dblp.org/pid/125/8501,"University of Minnesota, Minneapolis, MN, USA"
https://dblp.org/pid/132/3876,"University of Minnesota, Minneapolis, USA"
https://dblp.org/pid/132/4905,"University of Minnesota, Minneapolis, USa"
