author,affiliation
https://dblp.org/pid/134/7165,"University of Mississippi, Oxford, MS, USA"
https://dblp.org/pid/136/2604,"University of Mississippi, Department of Physiology and Biophysics, Jackson, MS, USA"
https://dblp.org/pid/156/9528-2,"University of Mississippi, Department of Electrical and Computer Engineering, University, MS, USA"
https://dblp.org/pid/17/6060-1,"University of Mississippi, Oxford, MS, USA"
https://dblp.org/pid/218/8996,"University of Mississippi, MS, Oxford, USA"
https://dblp.org/pid/257/1372-2,"University of Mississippi Medical Center, Jackson, MS, USA"
https://dblp.org/pid/28/3707-1,"University of Mississippi Medical Center, Department of Obstetrics and Gynecology, Jackson, MS, USA"
https://dblp.org/pid/29/6490,"University of Mississippi, Oxford, MS, USA"
https://dblp.org/pid/49/10705,"University of Mississippi, Oxford, MS, USA"
https://dblp.org/pid/49/4478-22,"University of Mississippi Medical Center, Department of Neurobiology, Jackson, MS, USA"
https://dblp.org/pid/50/683,"The University of Mississippi, Department of Mathematics, USA"
https://dblp.org/pid/51/1824-2,"University of Mississippi, Electrical Engineering Department, MS, USA"
https://dblp.org/pid/58/1390-1,"University of Mississippi, Department of Mathematics, University, MS, USA"
https://dblp.org/pid/59/983-2,"University of Mississippi, Department of Computer and Information Science, MS, USA"
https://dblp.org/pid/66/9718,"University of Mississippi, USA"
https://dblp.org/pid/90/4225-1,"The University of Mississippi, Department of Computer and Information Science, Oxford, MS, USA"
https://dblp.org/pid/98/3754,University of Mississippi
https://dblp.org/pid/v/JeffreyScottVitter,"University of Mississippi, Oxford, USA"
