author,affiliation
https://dblp.org/pid/02/536,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/02/736-76,"University of Missouri, College of Business, Columbia, MO, USA"
https://dblp.org/pid/06/1313,University of Missouri-Columbia
https://dblp.org/pid/06/4941,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/06/6785-44,"University of Missouri, Department of Electrical Engineering and Computer Science, Columbia, MO, USA"
https://dblp.org/pid/09/3493-2,"University of Missouri, Department of Computer Science / C.S. Bond Life Sciences Center, Columbia, MO, USA"
https://dblp.org/pid/09/5513,"University of Missouri-St. Louis, College of Business Administration, MO, USA"
https://dblp.org/pid/118/2154,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/12/4363,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/128/1614,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/13/5407-2,"University of Missouri-Kansas City, Department of Computer Science Electrical Engineering, MO, USA"
https://dblp.org/pid/13/5830-1,"University of Missouri-Kansas City, School of Computing and Engineering, MO, USA"
https://dblp.org/pid/13/6794-5,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/138/4485,"University of Missouri Columbia, MO, USA"
https://dblp.org/pid/139/6266,"University of Missouri-Kansas City, MO, USA"
https://dblp.org/pid/14/1589,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/141/6072,"University of Missouri-Columbia, Electrical and Computer Engineering Department"
https://dblp.org/pid/145/2814-4,"University of Missouri-Kansas City, Department of Computer Science Electrical Engineering, Kansas City, MO, USA"
https://dblp.org/pid/147/6424,"University of Missouri, Department of Electrical and Computer Engineering, Columbia, MO, USA"
https://dblp.org/pid/153/6048,"University of Missouri-Kansas City, MO, USA"
https://dblp.org/pid/166/6663-2,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/171/8104,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/171/9499,"University of Missouri, Columbia, USA"
https://dblp.org/pid/172/3540-2,"University of Missouri, Department of Statistics, CO, USA"
https://dblp.org/pid/178/4939,"University of Missouri, Department of Radiology, Columbia, MO, USA"
https://dblp.org/pid/18/11298,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/18/2190-5,"University of Missouri, Kansas City, MO, USA"
https://dblp.org/pid/18/813-9,"University of Missouri Columbia, School of Information Science and Learning Technologies, MO, USA"
https://dblp.org/pid/182/2597-12,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/182/6254,"University of Missouri, Sinclair School of Nursing, Columbia, MO, USA"
https://dblp.org/pid/19/6162,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/200/8775-2,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/203/5836,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/215/6935-1,"University of Missouri, Division of Plant Science and Technology, Columbia, MO, USA"
https://dblp.org/pid/215/7043,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/22/3500,"University of Missouri-St. Louis, USA"
https://dblp.org/pid/222/1354,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/223/4641,"University of Missouri, Kansas City, USA"
https://dblp.org/pid/24/394,"University of Missouri Kansas City, Department of English, USA"
https://dblp.org/pid/249/7546,"University of Missouri, Columbia, Missouri, USA"
https://dblp.org/pid/28/4203-3,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/28/6580,"University of Missouri Columbia, MO, USA"
https://dblp.org/pid/29/4232,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/29/5847-8,"University of Missouri, College of Business Administration, Supply Chain & Analytics Department, St. Louis, MO, USA"
https://dblp.org/pid/31/4242,"University of Missouri, Department of Mathematics, USA"
https://dblp.org/pid/31/6966,University of Missouri-Rolla
https://dblp.org/pid/311/0241,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/312/3673,"University of Missouri-Columbia, Center for Geospatial Intelligence, Columbia, MO, USA"
https://dblp.org/pid/315/0828-2,"University of Missouri-St. Louis, College of Nursing, St. Louis, MO, USA"
https://dblp.org/pid/32/4544,"Department of Educational Psychology and Learning Technologies, University of Missouri-Columbia, Missouri, USA"
https://dblp.org/pid/32/4587,"University of Missouri-St. Louis, MO, USA"
https://dblp.org/pid/33/4822-22,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/34/3955-1,"University of Missouri, School of Information Science and Learning Technologies, Columbia, MO, USA"
https://dblp.org/pid/34/753,"University of Missouri,  Columbia, MO, USA"
https://dblp.org/pid/343/5237,"University of Missouri Columbia, Department of Electrical Engineering and Computer Science, MO, USA"
https://dblp.org/pid/353/5806,"University of Missouri, Department of Electrical Engineer and Computer Science, Columbia, USA"
https://dblp.org/pid/37/4190-91,"University of Missouri, Columbia, MO, USA"
https://dblp.org/pid/37/4346,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/370/3877,"University of Missouri, Department of Electrical Engineering and Computer Science, Columbia, MO, USA"
https://dblp.org/pid/384/1088,"University of Missouri, Department of Electrical Engineering and Computer Science, Columbia, MO, USA"
