author,affiliation
https://dblp.org/pid/06/4941,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/118/2154,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/128/1614,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/13/5407-2,"University of Missouri-Kansas City, Department of Computer Science Electrical Engineering, MO, USA"
https://dblp.org/pid/13/5830-1,"University of Missouri-Kansas City, School of Computing and Engineering, MO, USA"
https://dblp.org/pid/139/6266,"University of Missouri-Kansas City, MO, USA"
https://dblp.org/pid/14/1589,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/145/2814-4,"University of Missouri-Kansas City, Department of Computer Science Electrical Engineering, Kansas City, MO, USA"
https://dblp.org/pid/153/6048,"University of Missouri-Kansas City, MO, USA"
https://dblp.org/pid/215/7043,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/29/4232,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/37/4346,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/53/2189-40,"University of Missouri-Kansas City, School of Computing and Engineering, MO, USA"
https://dblp.org/pid/53/6096-1,"University of Missouri-Kansas City, MO, USA"
https://dblp.org/pid/93/6637,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/b/CoryCBeard,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/h/LeinHarn,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/k/VijayKumar-2,"University of Missouri-Kansas City, MO, USA"
