author,affiliation
https://dblp.org/pid/04/3001-18,"University of Nebraska at Omaha, College of Information Science and Technology, NE, USA"
https://dblp.org/pid/08/5166,"University of Nebraska at Omaha, Department of Mathematics, NE, USA"
https://dblp.org/pid/143/2974,"University of Nebraska at Omaha, Department of Economics, NE, USA"
https://dblp.org/pid/182/8029,"University of Nebraska at Omaha, School of Communication, NE, USA"
https://dblp.org/pid/218/8902,"University of Nebraska at Omaha, NE, USA"
https://dblp.org/pid/26/2578-5,"University of Nebraska at Omaha, NE, USA"
https://dblp.org/pid/274/6059,"University of Nebraska at Omaha, Aviation Institute, Omaha, NE, USA"
https://dblp.org/pid/45/2535-3,"University of Nebraska at Omaha, Department of Computer Science, NE, USA"
https://dblp.org/pid/51/792,University of Nebraska at Omaha
https://dblp.org/pid/75/6843-4,"University of Nebraska at Omaha, USA"
https://dblp.org/pid/85/2806,"University of Nebraska at Omaha, Department of Computer Science, NE, USA"
https://dblp.org/pid/c/WeiChen22,University of Nebraska at Omaha
https://dblp.org/pid/l/YLierler,"University of Nebraska at Omaha, USA"
