author,affiliation
https://dblp.org/pid/00/890-5,"University of Nebraska-Lincoln, NE, USA"
https://dblp.org/pid/01/1190-2,"University of Nebraska, Department of Food Science and Technology, Lincoln, NE, USA"
https://dblp.org/pid/01/4679,"University of Nebraska-Lincoln, Department of Mathematics, NE, USA"
https://dblp.org/pid/03/2879,"University of Nebraska, Omaha, Nebraska, USA"
https://dblp.org/pid/04/3001-18,"University of Nebraska at Omaha, College of Information Science and Technology, NE, USA"
https://dblp.org/pid/04/3810,"University of Nebraska at Kearney, NE, USA"
https://dblp.org/pid/05/6497-2,"University of Nebraska Omaha, Department of Geography and Geology, NE, USA"
https://dblp.org/pid/07/4163,"University of Nebraska-Lincoln, NE, USA"
https://dblp.org/pid/08/3315,"University of Nebraska, Department of Computer Science and Engineering, Lincol, NE, USA"
https://dblp.org/pid/08/5166,"University of Nebraska at Omaha, Department of Mathematics, NE, USA"
https://dblp.org/pid/09/5042-44,"University of Nebraska-Lincoln, Department of Computer Science and Engineering, Lincoln, NE, USA"
https://dblp.org/pid/117/7615,"University of Nebraska Omaha, USA"
https://dblp.org/pid/119/7794,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/12/5469-1,"University of Nebraska-Lincoln, Lincoln, NE, USA"
https://dblp.org/pid/12/6523-3,"University of Nebraska-Lincoln, Department of Earth and Atmospheric Sciences, Lincoln, NE, USA"
https://dblp.org/pid/125/8189-146,"University of Nebraska-Lincoln, Department of Electrical and Computer Engineering, Lincoln, NE, USA"
https://dblp.org/pid/125/8189-26,"University of Nebraska-Lincoln, Power and Energy Systems Laboratory, NE, USA"
https://dblp.org/pid/13/6348,"University of Nebraska, Lincoln, NE, USA"
https://dblp.org/pid/138/8634,"Department of Mathematics, University of Nebraska-Lincoln, USA"
https://dblp.org/pid/14/3833-2,"University of Nebraska - Lincoln, Center for Biotechnology, NE, USA"
https://dblp.org/pid/141/4001,"University of Nebraska Omaha, NE, USA"
https://dblp.org/pid/143/2974,"University of Nebraska at Omaha, Department of Economics, NE, USA"
https://dblp.org/pid/15/3496,"University of Nebraska Omaha, USA"
https://dblp.org/pid/159/5226,"University of Nebraska, Lincoln, NE, USA"
https://dblp.org/pid/16/5441,"University of Nebraska-Lincoln, Department of Mathematics, USA"
https://dblp.org/pid/165/0954-1,"University of Nebraska, Lincoln, USA"
https://dblp.org/pid/165/9206,"University of Nebraska-Lincoln, NE, USA"
https://dblp.org/pid/166/3102,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/167/8801,"University of Nebraska Omaha, USA"
https://dblp.org/pid/170/1496-3,"University of Nebraska - Lincoln, USA"
https://dblp.org/pid/176/4415-1,"University of Nebraska-Lincoln, Department of Psychology, Lincoln, NE, USA"
https://dblp.org/pid/178/1333,"University of Nebraska-Lincoln, NE, USA"
https://dblp.org/pid/18/2508-2,"University of Nebraska, Lincoln, Department of Mathematics"
https://dblp.org/pid/180/1598-2,"University of Nebraska Medical Center, Omaha, NE, USA"
https://dblp.org/pid/180/5115,"University of Nebraska-Lincoln, School of Natural Resources, Lincoln, NE, USA"
https://dblp.org/pid/182/8029,"University of Nebraska at Omaha, School of Communication, NE, USA"
https://dblp.org/pid/19/360-38,"University of Nebraska, Department of Computer Science and Engineering, Lincoln, NE, USA"
https://dblp.org/pid/192/0196-6,"University of Nebraska, Omaha, NE, USA"
https://dblp.org/pid/194/6830,"University of Nebraska at Lincoln, NE, USA"
https://dblp.org/pid/206/0693,"University of Nebraska at Kearney, NE, USA"
https://dblp.org/pid/218/8902,"University of Nebraska at Omaha, NE, USA"
https://dblp.org/pid/23/3868,"University of Nebraska-Lincoln, NE, USA"
https://dblp.org/pid/24/10653,"University of Nebraska - Lincoln, USA"
https://dblp.org/pid/24/4926,"University of Nebraska, Department of Computer Science and Engineering, Lincoln, NE, USA"
https://dblp.org/pid/24/7003-5,"University of Nebraska-Lincoln, Department of Computer Science and Engineering, Lincoln, NE, USA"
https://dblp.org/pid/25/3798,"University of Nebraska, Department of Cyber Systems, Kearney, NE, USA"
https://dblp.org/pid/25/5679-2,"University of Nebraska, Medical Center, Omaha, NE, USA"
https://dblp.org/pid/25/6796,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/25/7257-8,University of Nebraska-Lincoln
https://dblp.org/pid/258/4670,"University of Nebraska-Lincoln, Department of Computer Science and Engineering, Systems Biology and Biomedical Informatics Laboratory, NE, USA"
https://dblp.org/pid/26/2578-5,"University of Nebraska at Omaha, NE, USA"
https://dblp.org/pid/260/2845,"University of Nebraska-Lincoln, Lincoln, USA"
https://dblp.org/pid/274/6059,"University of Nebraska at Omaha, Aviation Institute, Omaha, NE, USA"
https://dblp.org/pid/276/1461,"University of Nebraska, Omaha, USA"
https://dblp.org/pid/29/6566-2,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/29/7359,"University of Nebraska, USA"
https://dblp.org/pid/308/0096,"University of Nebraska Omaha, USA"
https://dblp.org/pid/32/544,"University of Nebraska, Omaha, USA"
https://dblp.org/pid/33/3337,"University of Nebraska-Lincoln, NE, USA"
https://dblp.org/pid/336/9941,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/36/1984,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/36/6643-1,"University of Nebraska Medical Center, Omaha, NE, USA"
https://dblp.org/pid/37/170-5,"University of Nebraska Medical Center, Omaha, NE, USA"
https://dblp.org/pid/376/6566,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/381/9938,"University of Nebraska Lincoln, NE, USA"
https://dblp.org/pid/40/1478-1,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/40/8111,"University of Nebraska, Omaha, NE, USA"
https://dblp.org/pid/41/7268,University of Nebraska-Lincoln
https://dblp.org/pid/42/963-2,"University of Nebraska Lincoln, School of Computing, Lincoln, NE, USA"
https://dblp.org/pid/44/7201-1,"University of Nebraska-Lincoln, Department of Statistics, NE, USA"
https://dblp.org/pid/45/2535-3,"University of Nebraska at Omaha, Department of Computer Science, NE, USA"
https://dblp.org/pid/48/5870,"University of Nebraska-Lincoln, NE, USA"
https://dblp.org/pid/49/502,"University of Nebraska, Lincoln, Department of Computer Science and Engineering"
https://dblp.org/pid/50/7115-2,"University of Nebraska-Lincoln, NE, USA"
https://dblp.org/pid/50/7188-1,"University of Nebraska-Lincoln, Lincoln, NE, USA"
https://dblp.org/pid/51/792,University of Nebraska at Omaha
https://dblp.org/pid/52/4454,"University of Nebraska-Lincoln, Lincoln, NE, USA"
https://dblp.org/pid/53/122,"University of Nebraska, Lincoln"
https://dblp.org/pid/54/9258,"University of Nebraska Medical Center, Department of Emergency Medicine"
https://dblp.org/pid/58/2670-25,"University of Nebraska-Lincoln, Power and Energy Systems Laboratory, Lincoln, NE, USA"
https://dblp.org/pid/60/197,"University of Nebraska Omaha, USA"
https://dblp.org/pid/61/3234-13,"University of Nebraska-Lincoln, NE, USA"
https://dblp.org/pid/62/2443-3,"University of Nebraska-Lincoln, School of Biological Sciences, NE, USA"
https://dblp.org/pid/63/6360,"University of Nebraska-Lincoln, Department of Industrial and Management Systems Engineering, NE, USA"
https://dblp.org/pid/64/5725-11,"University of Nebraska-Lincoln, Department of Biological Systems Engineering, NE, USA"
https://dblp.org/pid/65/5635,"University of Nebraska-Lincoln, NE, USA"
https://dblp.org/pid/66/3061-2,"University of Nebraska, Lincoln"
https://dblp.org/pid/66/3387-59,"University of Nebraska-Lincoln, Department of Chemistry, NE, USA"
https://dblp.org/pid/67/5007-1,"University of Nebraska-Lincoln, Lincoln, NE, USA"
https://dblp.org/pid/70/574,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/71/2824-2,"University of Nebraska-Lincoln, Department of Sociology, Lincoln, NE, USA"
https://dblp.org/pid/71/6357-1,"University of Nebraska-Lincoln, Department of Electrical and Computer Engineering, NE, USA"
https://dblp.org/pid/75/6843-4,"University of Nebraska at Omaha, USA"
https://dblp.org/pid/75/8250,"University of Nebraska-Lincoln, Department of Statistics, Lincoln, NE, USA"
https://dblp.org/pid/76/1503-7,"University of Nebraska-Lincoln, Department of Biological System Engineering, Lincoln, NE, USA"
https://dblp.org/pid/77/1325,"University of Nebraska Omaha, USA"
https://dblp.org/pid/79/2024-3,"University of Nebraska-Lincoln, Lincoln, NE, USA"
https://dblp.org/pid/80/5294-6,"University of Nebraska-Lincoln, Department of Computer Science and Engineering, NE, USA"
https://dblp.org/pid/82/1518,University of Nebraska-Lincoln
https://dblp.org/pid/83/2535-10,"University of Nebraska-Lincoln, Statistics and Economics, NE, USA"
https://dblp.org/pid/84/3705,"University of Nebraska Omaha, NE, USA"
https://dblp.org/pid/84/4625-1,"University of Nebraska-Lincoln, Omaha, NE, USA"
https://dblp.org/pid/85/2806,"University of Nebraska at Omaha, Department of Computer Science, NE, USA"
https://dblp.org/pid/85/6777-2,"University of Nebraska-Lincoln, UNL, Department of Computer and Electronics Engineering, CEEN, USA"
https://dblp.org/pid/87/5809-3,"University of Nebraska-Lincoln, Department of Computer Science and Engineering, Holland Computing Center, Lincoln, NE, USA"
https://dblp.org/pid/88/4930,"University of Nebraska Omaha, USA"
https://dblp.org/pid/91/195-13,"University of Nebraska-Lincoln, School of Biological Sciences, Lincoln, NE, USA"
https://dblp.org/pid/91/195-72,"University of Nebraska Medical Center, Omaha, NE, USA"
https://dblp.org/pid/91/9004,"University of Nebraska Omaha, USA"
https://dblp.org/pid/94/4562,"University of Nebraska, Omaha, Nebraska, USA"
https://dblp.org/pid/98/453,"University of Nebraska-Omaha, NE, USA"
https://dblp.org/pid/98/6690-3,"University of Nebraska-Lincoln, Department of Civil Engineering, NE, USA"
https://dblp.org/pid/99/7971,"University of Nebraska-Lincoln, Department of Statistics, NE, USA"
https://dblp.org/pid/a/HHAli,"University of Nebraska Omaha, USA"
https://dblp.org/pid/c/WeiChen22,University of Nebraska at Omaha
https://dblp.org/pid/c/XiaofengChen6,"University of Nebraska-Lincoln, NE, USA"
https://dblp.org/pid/d/JitenderSDeogun,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/l/YingLu0002,"University of Nebraska-Lincoln, Department of Computer Science and Engineering, NE, USA"
https://dblp.org/pid/l/YLierler,"University of Nebraska at Omaha, USA"
https://dblp.org/pid/r/PZRevesz,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/s/KhalidSayood,"University of Nebraska-Lincoln, USA"
https://dblp.org/pid/s/MSubramaniam,"University of Nebraska Omaha, USA"
https://dblp.org/pid/w/YangWang4,"University of Nebraska, Lincoln, NE, USA"
