author,affiliation
https://dblp.org/pid/00/5147-5,"University of Nevada, Reno, USA"
https://dblp.org/pid/03/6212,"University of Nevada, Reno, USA"
https://dblp.org/pid/05/461,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/06/1152,"University of Nevada, Las Vegas, Department of Computer Science, NV, USA"
https://dblp.org/pid/06/3244-1,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/07/1190,"University of Nevada, Las Vegas, Department of Electrical and Computer Engineering"
https://dblp.org/pid/08/476,"University of Nevada, Reno, USA"
https://dblp.org/pid/09/1365-19,"University of Nevada, Las Vegas, Department of Mathematical Sciences"
https://dblp.org/pid/09/139,"University of Nevada, Department of Electrical Engineering, Reno, NV, USA"
https://dblp.org/pid/09/2005-3,"University of Nevada, Mathematics Department, Reno, NV, USA"
https://dblp.org/pid/09/425,"University of Nevada, Las Vegas, USA"
https://dblp.org/pid/11/4370,"University of Nevada, Reno, Nevada, USA"
https://dblp.org/pid/115/7445,"University of Nevada School of Medicine, Reno, USA"
https://dblp.org/pid/116/2342,"University of Nevada School of Medicine, Las Vegas, NV, USA"
https://dblp.org/pid/124/5318,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/13/10677,"University of Nevada, Reno, USA"
https://dblp.org/pid/13/1440-1,"University of Nevada Las Vegas, Department of Mathematical Sciences, NV, uSA"
https://dblp.org/pid/13/6746,"University of Nevada, Reno, USA"
https://dblp.org/pid/135/6887,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/135/8656,"University of Nevada, Department of Mechanical Engineering, Reno, NV, USA"
https://dblp.org/pid/136/3569,"University of Nevada, Reno, USA"
https://dblp.org/pid/139/2847,"University of Nevada, Reno, USA"
https://dblp.org/pid/14/10138-1,"University of Nevada, Reno, USA"
https://dblp.org/pid/14/6710,"University of Nevada, Reno, Department of Mathematics and Statistics, USA"
https://dblp.org/pid/142/2586,"University of Nevada, Reno, Department of Mathematics and Statistics, NV. USA"
https://dblp.org/pid/142/8046,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/143/6401,"University of Nevada, Reno, USA"
https://dblp.org/pid/148/1188,"University of Nevada, Reno"
https://dblp.org/pid/148/2824,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/148/2926,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/149/6167,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/15/1367-3,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/15/1731,"University of Nevada, Las Vegas, Lee Business School, NV, USA"
https://dblp.org/pid/152/1827,"University of Nevada-Reno, Reno, NV, USA"
https://dblp.org/pid/155/6634,"University of Nevada, Reno, USA"
https://dblp.org/pid/159/3619,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/159/5084,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/162/5293,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/162/7496,"University of Nevada, Reno, School of Medicine, NV, USA"
https://dblp.org/pid/166/6957,"University of Nevada, Las Vegas, NV, USA"
https://dblp.org/pid/167/0272,"University of Nevada, Las Vegas, NV, USA"
https://dblp.org/pid/175/7060,"University of Nevada, Reno, USA"
https://dblp.org/pid/177/7434,"University of Nevada, Reno, USA"
https://dblp.org/pid/177/7499,"University of Nevada, Reno, USA"
https://dblp.org/pid/179/2009,"University of Nevada, Reno, Electrical and Biomedical Engineering Department, NV, USA"
https://dblp.org/pid/183/2637,"University of Nevada, Department of Computer Science, Las Vegas, NV, USA"
https://dblp.org/pid/183/3252,"University of Nevada, Reno, Department of Mathematics, NV, USA"
https://dblp.org/pid/183/7484,"University of Nevada, Reno, Department of Mathematics, USA"
https://dblp.org/pid/188/6604,"University of Nevada, Geological Sciences and Engineering, Reno, NV, USA"
https://dblp.org/pid/195/4225,"University of Nevada, Reno, USA"
https://dblp.org/pid/196/3062,"University of Nevada Reno, Department of Chemical & Materials and Engineering, USA"
https://dblp.org/pid/196/7412,"University of Nevada, Reno, USA"
https://dblp.org/pid/197/2289,"University of Nevada, Reno, USA"
https://dblp.org/pid/204/1697-1,"UNITE/University of Nevada, Las Vegas, USA"
https://dblp.org/pid/212/3826,"University of Nevada, Reno, Department of Computer Science and Engineering, NV, USA"
https://dblp.org/pid/217/2959,"University of Nevada Reno, NV, USA"
https://dblp.org/pid/218/1900,"University of Nevada, Department of Philosophy, Las Vegas, NV, USA"
https://dblp.org/pid/22/3122,"University of Nevada Las Vegas, NV, USA"
https://dblp.org/pid/22/8865,"University of Nevada at Reno, USA"
https://dblp.org/pid/220/0673,"University of Nevada, Reno, USA"
https://dblp.org/pid/220/9797,"University of Nevada, Department of Philosophy, USA"
https://dblp.org/pid/230/3375,"University of Nevada, Department of Physics, Reno, NV, USA"
https://dblp.org/pid/236/7735,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/237/4771,"University of Nevada, College of Agriculture, Biotechnology and Natural Resources (CABNR), Reno, NV, USA"
https://dblp.org/pid/24/9386,"University of Nevada, Reno, Department of Electrical and Biomedical Engineering, NV, USA"
https://dblp.org/pid/25/518,"University of Nevada, Department of Mathematical Sciences, Las Vegas, NV, USA"
https://dblp.org/pid/251/3086,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/252/1159-3,"University of Nevada, Department of Electrical and Biomedical Engineering, Reno, NV, USA"
https://dblp.org/pid/26/2737-10,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/28/4575-2,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/29/4190-25,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/31/5655,"University of Nevada, Reno, USA"
https://dblp.org/pid/322/4162,"University of Nevada, Reno, Department of Computer Science and Engineering, NV, USA"
https://dblp.org/pid/34/188-4,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/35/3393-8,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/35/408-6,"University of Nevada, Department of Electrical and Biomedical Engineering, NV, USA"
https://dblp.org/pid/359/9665,"University of Nevada Reno, NV, USA"
https://dblp.org/pid/369/7508,"University of Nevada Las Vegas, NV, USA"
https://dblp.org/pid/37/3547,"University of Nevada, Reno, Department of Psychology, USA"
https://dblp.org/pid/38/4786,"University of Nevada, Reno, USA"
https://dblp.org/pid/38/6201,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/39/721-46,"University of Nevada, Medical Physics Program, Las Vegas, NV, USA"
https://dblp.org/pid/41/533,"University of Nevada, Las Vegas, Department of Mechanical Engineering, NV, USA"
https://dblp.org/pid/43/6008-2,"University of Nevada Reno, Department of Electrical and Biomedical Engineering, NV, USA"
https://dblp.org/pid/43/6008-4,"University of Nevada Reno, Department of Civil and Environmental Engineering, NV, USA"
https://dblp.org/pid/44/8369,"University of Nevada, Reno, USA"
https://dblp.org/pid/50/2484-1,"University of Nevada, Reno, Department of Computer Science and Engineering, NV, USA"
https://dblp.org/pid/52/7944-1,"University of Nevada Reno, Department of Civil and Environmental Engineering, NV, USA"
https://dblp.org/pid/52/8571,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/56/1030,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/56/5153,"University of Nevada Las Vegas, NV, USA"
https://dblp.org/pid/56/7389,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/56/8502,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/57/5106,"University of Nevada, Reno, Department of Electrical and Biomedical Engineering, NV, USA"
https://dblp.org/pid/58/2782,"University of Nevada, Reno, USA"
https://dblp.org/pid/61/2355,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/61/5157,"University of Nevada, Reno, USA"
https://dblp.org/pid/62/3898,"University of Nevada, Reno, USA"
https://dblp.org/pid/63/10655,"University of Nevada Reno, NV, USA"
https://dblp.org/pid/63/713-4,"University of Nevada, Las Vegas, NV, USA"
https://dblp.org/pid/64/6143-17,"University of Nevada Las Vegas, Department of Electrical and Computer Engineering, NV, USA"
https://dblp.org/pid/68/2139,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/68/4593,"University of Nevada, Reno, Department of Mathematics and Statistics, USA"
https://dblp.org/pid/70/2977,"University of Nevada, Reno, Robotics Research Laboratory, NV, USA"
https://dblp.org/pid/71/4292-24,"University of Nevada, Department of Electrical and Biomedical Engineering, Robotics and Biomimetics Laboratory, Reno, NV, USA"
https://dblp.org/pid/73/9961,"University of Nevada, Reno, USA"
https://dblp.org/pid/75/1965,"University of Nevada, Reno, USA"
https://dblp.org/pid/76/9251,"University of Nevada, School of Community Health Sciences, Reno, NV, USA"
https://dblp.org/pid/79/1834,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/82/2444,"University of Nevada, Reno, College of Business, NV, USA"
https://dblp.org/pid/86/3372-1,"University of Nevada, Department of Electrical & Biomedical Engineering, NV, USA"
https://dblp.org/pid/87/424,"University of Nevada, Reno, USA"
https://dblp.org/pid/90/10642,"University of Nevada, Las Vegas, NV, USA"
https://dblp.org/pid/93/6448,"University of Nevada, Reno, USA"
https://dblp.org/pid/94/10786,"University of Nevada, Reno, USA"
https://dblp.org/pid/97/329,"University of Nevada, Reno, USA"
https://dblp.org/pid/98/449-4,"University of Nevada, Las Vegas, NV, USA"
https://dblp.org/pid/98/7735,"University of Nevada, Reno, NV, USA"
https://dblp.org/pid/99/8219,"University of Nevada, Reno, NV, USA"
