author,affiliation
https://dblp.org/pid/01/3907-2,"University of New Hampshire, Durham, NH, USA"
https://dblp.org/pid/02/736-74,"University of New Hampshire, College of Business and Economics, Department of Decision Sciences, Durham, NH, USA"
https://dblp.org/pid/04/1160-4,"University of New Hampshire, Ocean Process Analysis Lab, Durham, NH, USA"
https://dblp.org/pid/09/6476,"University of New Hampshire, Manchester, NH, USA"
https://dblp.org/pid/10/6598,"University of New Hampshire, Durham, NH, USA"
https://dblp.org/pid/11/3291-1,"University of New Hampshire, USA"
https://dblp.org/pid/122/4309-2,"University of New Hampshire, Durham, Department of Electrical and Computer Engineering"
https://dblp.org/pid/158/2764,"University of New Hampshire, Durham, NH, USA"
https://dblp.org/pid/170/1635,"University of New Hampshire, Center for Coastal and Ocean Mapping, NH, USA"
https://dblp.org/pid/171/6659-1,"University of New Hampshire, Department of Computer Science, Durham, NH, USA"
https://dblp.org/pid/21/4153,"University of New Hampshire, Department of Electrical & Computer Engineering"
https://dblp.org/pid/227/3550,"University of New Hampshire, Earth System Research Center, Durham, USA"
https://dblp.org/pid/302/1050,"University of New Hampshire, USA"
https://dblp.org/pid/304/0482,"University of New Hampshire, Durham, NH, USA"
https://dblp.org/pid/305/4735-2,"University of New Hampshire, Durham, NH, USA"
https://dblp.org/pid/34/808-14,"University of New Hampshire, Water Systems Analysis Group, Durham, NH, USA"
https://dblp.org/pid/38/2314-4,"University of New Hampshire, Computer Science Department, NH, USA"
https://dblp.org/pid/51/9889,"University of New Hampshire, Center of Coastal and Ocean Mapping (CCOM), Durham, NH, USA"
https://dblp.org/pid/58/9620,"University of New Hampshire, Department of Civil and Environmental Engineering, Durham, USA"
https://dblp.org/pid/67/5453-2,"University of New Hampshire, Durham, NH, USA"
https://dblp.org/pid/69/1930,"University of New Hampshire, Department of Electrical and Computer Engineering, Durham, NH, USA"
https://dblp.org/pid/80/5790,"University of New Hampshire, USA"
https://dblp.org/pid/82/8088-2,"University of New Hampshire, Durham, USA"
https://dblp.org/pid/85/5754,"University of New Hampshire, NH, USA"
https://dblp.org/pid/98/6746-1,"University of New Hampshire, Department of Earth Sciences"
https://dblp.org/pid/b/MomotazBegum,"University of New Hampshire, NH, USA"
