author,affiliation
https://dblp.org/pid/03/1589,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/07/1429-1,"University of New Mexico, Anderson School of Management, Albuquerque, NM, USA"
https://dblp.org/pid/120/2706,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/13/1586-2,"University of New Mexico, Department of Geography and Environmental Studies, ASPIRE, Albuquerque, NM, USA"
https://dblp.org/pid/130/8418-3,"University of New Mexico, USA"
https://dblp.org/pid/135/6597-2,"University of New Mexico, NM, USA"
https://dblp.org/pid/145/2831,"University of New Mexico, Department of Computer Science, Albuquerque, NM, USA"
https://dblp.org/pid/146/1022,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/157/9133,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/159/6698,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/162/9034,"University of New Mexico, USA"
https://dblp.org/pid/165/6243-1,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/17/10376,"University of New Mexico, Department of Geography, Albuquerque, NM, USA"
https://dblp.org/pid/170/3166,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/18/813-2,"University of New Mexico, Department of Electrical and Computer Engineering, Albuquerque, NM, USA"
https://dblp.org/pid/181/2309,"University of New Mexico, Department of Internal Medicine, USA"
https://dblp.org/pid/20/6272,"University of New Mexico, NM, USA"
https://dblp.org/pid/23/684,"University of New Mexico - Gallup, Department of Mathematics, NM, USA"
https://dblp.org/pid/230/7127-2,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/24/1518-2,"University of New Mexico: Albuquerque, NM, USA"
https://dblp.org/pid/27/6313,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/291/3136,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/37/4190-4,"University of New Mexico, Department of Electrical and Computer Engineering, Albuquerque, NM, USA"
https://dblp.org/pid/37/6251,"University of New Mexico, Department of Linguistics, Albuquerque, NM USA"
https://dblp.org/pid/38/3066-3,"University of New Mexico, Department of Civil Engineering, Albuquerque, NM, USA"
https://dblp.org/pid/42/1989,"University of New Mexico, Department of Electrical & Computer Engineering, Albuquerque, USA"
https://dblp.org/pid/43/8284,"University of New Mexico, Department of Economics, Albuquerque, NM, USA"
https://dblp.org/pid/44/1625,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/48/3821,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/53/2189-30,"University of New Mexico, Department of Mathematics and Statistics, Albuquerque, NM, USA"
https://dblp.org/pid/53/2535,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/53/4506-5,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/55/3642,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/60/3286-1,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/61/9133,"University of New Mexico, School of Management, Albuquerque, NM, USA"
https://dblp.org/pid/62/2234,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/63/7047,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/64/1350-21,"University of New Mexico, USA"
https://dblp.org/pid/65/3936-1,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/68/45,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/69/175,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/74/6012-1,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/76/4724,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/82/2850-1,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/83/5844,"University of New Mexico, NASA Center for Autonomous Control Engineering, Albuquerque, NM, USA"
https://dblp.org/pid/84/4290,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/84/541,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/85/3953,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/88/2827-27,"University of New Mexico, Albuquerque, NW, USA"
https://dblp.org/pid/93/7996,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/94/2640-1,"University of New Mexico, Albuquerque, NM, USA"
https://dblp.org/pid/95/403,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/95/7132-2,"University of New Mexico, Department of Electrical and Computer Engineering, Albuquerque, NM, USA"
https://dblp.org/pid/96/1287-3,"University of New Mexico Albuquerque, NM, USA"
https://dblp.org/pid/c/JRCrandall,"University of New Mexico, USA"
https://dblp.org/pid/h/MajeedMHayat,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/k/DeepakKapur,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/m/ArthurBMaccabe,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/m/WilliamMcCune,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/p/JPlusquellic,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/r/RolfRiesen,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/s/DarkoStefanovic,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/v/RobertVeroff,"University of New Mexico, Albuquerque, USA"
https://dblp.org/pid/z/CGZarba,"University of New Mexico, Albuquerque, USA"
