author,affiliation
https://dblp.org/pid/01/2082-11,"University of North Carolina at Charlotte, Department of Computer Science, NC, USA"
https://dblp.org/pid/01/9736,"University of North Carolina at Charlotte, Computer Science Department, NC, USA"
https://dblp.org/pid/04/2110-3,"University of North Carolina at Charlotte, Electrical and Computer Engineering Department, NC, USA"
https://dblp.org/pid/08/11469,"University of North Carolina at Charlotte, William States Lee College of Engineering, NC, USA"
https://dblp.org/pid/09/3925-9,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/11/936,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/116/6617,University of North Carolina at Charlotte
https://dblp.org/pid/125/2470,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/15/4476-1,"University of North Carolina at Charlotte, USA"
https://dblp.org/pid/158/0886,"University of North Carolina at Charlotte, USA"
https://dblp.org/pid/165/0826,"University of North Carolina at Charlotte, Department of Bioinformatics and Genomics, Charlotte, NC, USA"
https://dblp.org/pid/176/3082-1,"University of North Carolina at Charlotte, Charlotte, NC, USA"
https://dblp.org/pid/18/9386,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/181/2319,"University of North Carolina at Charlotte, Department of Political Science and Public Administration, NC, USA"
https://dblp.org/pid/183/5614,"University of North Carolina at Charlotte, USA"
https://dblp.org/pid/207/0333-1,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/227/2126,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/243/3662,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/25/432-3,"University of North Carolina at Charlotte, Energy Production and Infrastructure Center, NC, USA"
https://dblp.org/pid/252/1001,"University of North Carolina at Charlotte, Department of Mathematics and Statistics, NC, USA"
https://dblp.org/pid/27/1275,"University of North Carolina at Charlotte, USA"
https://dblp.org/pid/27/7215,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/28/9850,"University of North Carolina at Charlotte, Department of Electrical and Computer Engineering, NC, USA"
https://dblp.org/pid/32/2948-11,"University of North Carolina at Charlotte, Department of Electrical and Computer Engineering, Charlotte, NC, USA"
https://dblp.org/pid/33/4822-9,"University of North Carolina at Charlotte, College of Computing and Informatics, NC, USA"
https://dblp.org/pid/354/7015-1,"University of North Carolina at Charlotte, Power, Energy and Intelligent Systems Laboratory, Charlotte, NC, USA"
https://dblp.org/pid/37/8786-1,"University of North Carolina at Charlotte (UNCC), Department of Computer Science, NC, USA"
https://dblp.org/pid/39/7203,"University of North Carolina at Charlotte, USA"
https://dblp.org/pid/40/3212,"University of North Carolina at Charlotte, College of Computing, NC, USA"
https://dblp.org/pid/50/2644-2,"University of North Carolina at Charlotte, Charlotte, NC, USA"
https://dblp.org/pid/54/3488-6,"University of North Carolina at Charlotte, Department of Civil and Environmental Engineering, NC, USA"
https://dblp.org/pid/55/6260-1,"University of North Carolina at Charlotte, Department of Computer Science, Charlotte, NC, USA"
https://dblp.org/pid/56/2373-11,"University of North Carolina at Charlotte, Charlotte, NC, USA"
https://dblp.org/pid/58/2521-4,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/60/11481,"University of North Carolina at Charlotte, Department of Mechanical Engineering, NC, USA"
https://dblp.org/pid/61/8603,"University of North Carolina at Charlotte, Department of Electrical and Computer Engineering, USA"
https://dblp.org/pid/62/3653-4,"University of North Carolina at Charlotte, Department of Computer Science, NC, USA"
https://dblp.org/pid/62/5839-1,"University of North Carolina at Charlotte (UNCC), Department of Computer Science, NC, USA"
https://dblp.org/pid/63/1303-10,"University of North Carolina at Charlotte, Department of Computer Science, Charlotte, NC, USA"
https://dblp.org/pid/65/203,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/66/3579,"University of North Carolina at Charlotte, Department of Mathematics and Statistics, USA"
https://dblp.org/pid/67/341,"University of North Carolina at Charlotte, Department of Computer Science, Charlotte, NC, USA"
https://dblp.org/pid/67/6383-15,"The University of North Carolina at Charlotte, Department of Geography and Earth Sciences, NC, USA"
https://dblp.org/pid/69/2360,"University of North Carolina at Charlotte, Department of Computer Science, Charlotte, NC, USA"
https://dblp.org/pid/78/744-2,"University of North Carolina at Charlotte, Department Electrical and Computer Engineering, NC, USA"
https://dblp.org/pid/80/8727,"University of North Carolina at Charlotte, Department of Mathematics and Statistics, USA"
https://dblp.org/pid/84/19-3,"University of North Carolina at Charlotte, Department of Mathematics and Statistics, NC, USA"
https://dblp.org/pid/84/5999-1,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/88/8244,"University of North Carolina at Charlotte, Department of Bioinformatics and Genomics, NC, USA"
https://dblp.org/pid/91/4353-12,"University of North Carolina at Charlotte, Department of Computer Science, NC, USA"
https://dblp.org/pid/93/5356-1,"University of North Carolina at Charlotte, Charlotte, NC, USA"
https://dblp.org/pid/97/4299,"The University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/m/MaryLouMaher,"University of North Carolina at Charlotte, USA"
https://dblp.org/pid/r/HeatherRichter,"University of North Carolina at Charlotte, Charlotte, NC, USA"
https://dblp.org/pid/x/JXie-1,"University of North Carolina at Charlotte, Department of Electrical and Computer Engineering, Charlotte, NC, USA"
