author,affiliation
https://dblp.org/pid/01/452-4,"University of North Carolina at Greensboro, NC, USA"
https://dblp.org/pid/06/6599-1,"University of North Carolina at Greensboro, Department of Computer Science, NC, USA"
https://dblp.org/pid/08/7473,"University of North Carolina at Greensboro, NC, USA"
https://dblp.org/pid/123/7707,"University of North Carolina at Greensboro, Department of Computer Science, NC, USA"
https://dblp.org/pid/16/1438-1,"The University of North Carolina at Greensboro, NC, USA"
https://dblp.org/pid/283/4367,"University of North Carolina at Greensboro (UNCG), Department of Family and Community Nursing, Greensboro, NC, USA"
https://dblp.org/pid/65/6488-2,"University of North Carolina at Greensboro, Department of Mathematics and Statistics, NC, USA"
https://dblp.org/pid/75/11142-5,"University of North Carolina at Greensboro, Department of Economics, Greensboro, NC, USA"
https://dblp.org/pid/p/PrashantPalvia,"University of North Carolina at Greensboro, Bryan School of Business and Economics, NC, USA"
https://dblp.org/pid/s/FereidoonSadri,"University of North Carolina at Greensboro, NC, USA"
