author,affiliation
https://dblp.org/pid/01/2082-11,"University of North Carolina at Charlotte, Department of Computer Science, NC, USA"
https://dblp.org/pid/01/2142-1,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/01/452-4,"University of North Carolina at Greensboro, NC, USA"
https://dblp.org/pid/01/9736,"University of North Carolina at Charlotte, Computer Science Department, NC, USA"
https://dblp.org/pid/03/3954,"University of North Carolina Wilmington, NC, USA"
https://dblp.org/pid/03/5225-1,"University of North Carolina (UNC), Chapel Hill, NC, USA"
https://dblp.org/pid/03/7272-1,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/04/2024-66,"University of North Carolina, Chapel Hill, NC, USA"
https://dblp.org/pid/04/2110-3,"University of North Carolina at Charlotte, Electrical and Computer Engineering Department, NC, USA"
https://dblp.org/pid/04/4433,"University of North Carolina at Chapel Hill, USA"
https://dblp.org/pid/04/8067-1,"University of North Carolina at Chapel Hill, Department of Computer Science, NC, USA"
https://dblp.org/pid/04/9577-3,"University of North Carolina, Chapel Hill, NC, USA"
https://dblp.org/pid/06/2123-8,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/06/2293-71,"University of North Carolina, Chapel Hill, USA"
https://dblp.org/pid/06/6599-1,"University of North Carolina at Greensboro, Department of Computer Science, NC, USA"
https://dblp.org/pid/07/8657,"University of North Carolina, Department of Radiology and BRIC, Chapel Hill, NC, USA"
https://dblp.org/pid/08/11469,"University of North Carolina at Charlotte, William States Lee College of Engineering, NC, USA"
https://dblp.org/pid/08/3571-13,"University of North Carolina at Chapel Hill, School of Information and Library Science, NC, USA"
https://dblp.org/pid/08/4732,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/08/7473,"University of North Carolina at Greensboro, NC, USA"
https://dblp.org/pid/09/3925-9,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/09/5042-6,"University of North Carolina at Chapel Hill, Department of Biostatistics, NC, USA"
https://dblp.org/pid/11/936,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/116/6617,University of North Carolina at Charlotte
https://dblp.org/pid/118/6735-4,"University of North Carolina at Chapel Hill, Department of Radiology and BRIC, Chapel Hill, NC, USA"
https://dblp.org/pid/12/5407-2,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/121/5512,"The University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/123/7707,"University of North Carolina at Greensboro, Department of Computer Science, NC, USA"
https://dblp.org/pid/124/7766,"University of North Carolina, Chapel Hill, USA"
https://dblp.org/pid/125/2470,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/127/5903,"University of North Carolina at Chapel Hill, Cecil G. Sheps Center for Health Services Research, Chapel Hill, NC, USA"
https://dblp.org/pid/13/1611,"University of North Carolina, Chapel Hill, Department of Radiology"
https://dblp.org/pid/13/6043-2,"University of North Carolina at Chapel Hill, Department of Psychology and Neuroscience, NC, USA"
https://dblp.org/pid/13/9147,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/134/5622,"University of North Carolina, Charlotte, NC, USA"
https://dblp.org/pid/14/2190-5,"University of North Carolina-Chapel Hill, Joint Department of Biomedical Engineering, Raleigh, NC, USA"
https://dblp.org/pid/14/388-2,"University of North Carolina, Chapel Hill, USA,"
https://dblp.org/pid/14/5057-3,"University of North Carolina Asheville, Ashevile, NC, USA"
https://dblp.org/pid/14/5580-6,"University of North Carolina, Chapel Hill, USA"
https://dblp.org/pid/14/6061,University of North Carolina at Chapel Hill
https://dblp.org/pid/143/1790-2,"University of North Carolina, Chapel Hill, NC, USA"
https://dblp.org/pid/148/3761,"University of North Carolina, School of Information and Library Science (SILS), Chapel Hill, NC, USA"
https://dblp.org/pid/15/4476-1,"University of North Carolina at Charlotte, USA"
https://dblp.org/pid/15/4777-45,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/150/3134-4,"University of North Carolina, Charlotte, NC, USA"
https://dblp.org/pid/154/2966,"University of North Carolina, Chapel Hill, NC, USA"
https://dblp.org/pid/158/0886,"University of North Carolina at Charlotte, USA"
https://dblp.org/pid/16/1438-1,"The University of North Carolina at Greensboro, NC, USA"
https://dblp.org/pid/16/8322,"University of North Carolina, Chapel Hill, NC, USA"
https://dblp.org/pid/162/5547,"University of North Carolina at Chapel Hill, USA"
https://dblp.org/pid/165/0826,"University of North Carolina at Charlotte, Department of Bioinformatics and Genomics, Charlotte, NC, USA"
https://dblp.org/pid/168/4558-8,"University of North Carolina, Department of Computer Science, Chapel Hill, USA"
https://dblp.org/pid/169/0968,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/17/995-6,"University of North Carolina, Charlotte, NC, USA"
https://dblp.org/pid/170/9953,"University of North Carolina, Wilmington, NC, USA"
https://dblp.org/pid/175/9938-3,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/176/1465-1,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/176/3082-1,"University of North Carolina at Charlotte, Charlotte, NC, USA"
https://dblp.org/pid/176/7629-2,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/178/8638-10,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/18/1762-5,"University of North Carolina, Charlotte, NC, USA"
https://dblp.org/pid/18/2771-14,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/18/9386,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/181/2319,"University of North Carolina at Charlotte, Department of Political Science and Public Administration, NC, USA"
https://dblp.org/pid/181/2613-21,"University of North Carolina, Department of Computer Science, Chapel Hill, NC, USA"
https://dblp.org/pid/181/2781,"University of North Carolina, Odum Institute for Research in Social Science, Chapel Hill, NC, USA"
https://dblp.org/pid/183/5614,"University of North Carolina at Charlotte, USA"
https://dblp.org/pid/188/7759-8,"University of North Carolina System, Department of Geological Sciences, Chapel Hill, NC, USA"
https://dblp.org/pid/19/3011-9,"University of North Carolina at Chapel Hill, UNC, Department of Computer Science, USA"
https://dblp.org/pid/19/3110-2,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/20/1397-1,"University of North Carolina at Chapel Hill, USA"
https://dblp.org/pid/202/3902-7,"University of North Carolina at Chapel Hill, School of Information and Library Science, NC, USA"
https://dblp.org/pid/207/0333-1,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/21/3433,"University of North Carolina at Chapel Hill, Department of Computer Science"
https://dblp.org/pid/21/8229-9,"University of North Carolina at Chapel Hill, Business School, NC, USA"
https://dblp.org/pid/22/9200-4,"University of North Carolina, Charlotte, NC, USA"
https://dblp.org/pid/227/2126,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/229/5478,"University of North Carolina, Chapel Hill, NC, USA"
https://dblp.org/pid/24/1518-42,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/24/4470-19,"University of North Carolina at Wilmington, Department of Computer Science, NC, USA"
https://dblp.org/pid/243/3662,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/246/1582,"University of North Carolina, Chapel Hill, NC, USA"
https://dblp.org/pid/25/3405,"University of North Carolina at Chapel Hill, School of Information and Library Science, Chapel Hill, NC, USA"
https://dblp.org/pid/25/432-3,"University of North Carolina at Charlotte, Energy Production and Infrastructure Center, NC, USA"
https://dblp.org/pid/25/531-1,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/25/730,"University of North Carolina, Department of Mathematics and Statistics, USA"
https://dblp.org/pid/252/1001,"University of North Carolina at Charlotte, Department of Mathematics and Statistics, NC, USA"
https://dblp.org/pid/252/3910,"University of North Carolina, Bowles Center for Alcohol Studies, Chapel Hill, NC, USA"
https://dblp.org/pid/26/5371-10,"University of North Carolina, Chapel Hill, USA"
https://dblp.org/pid/26/5924-4,"Department of Mathematics, University of North Carolina"
https://dblp.org/pid/266/7020,"University of North Carolina at Chapel Hill, School of Medicine, Chapel Hill, NC, USA"
https://dblp.org/pid/269/0209,"University of North Carolina, Center for Pharmacogenomics and Individualized Therapy, Chapel Hill, NC, USA"
https://dblp.org/pid/27/1275,"University of North Carolina at Charlotte, USA"
https://dblp.org/pid/27/2633,"The University of North Carolina at Chapel Hill, Department of Biochemistry and Biophysics, NC, USA"
https://dblp.org/pid/27/7215,"University of North Carolina at Charlotte, NC, USA"
https://dblp.org/pid/277/6094,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/28/9850,"University of North Carolina at Charlotte, Department of Electrical and Computer Engineering, NC, USA"
https://dblp.org/pid/283/4367,"University of North Carolina at Greensboro (UNCG), Department of Family and Community Nursing, Greensboro, NC, USA"
https://dblp.org/pid/29/9820,University of North Carolina Wilmington
https://dblp.org/pid/297/5177-2,"University of North Carolina, Chapel Hill, NC, USA"
https://dblp.org/pid/30/10782-1,"University of North Carolina, Chapel Hill, USA"
https://dblp.org/pid/30/4233-3,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/315/0827-3,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/315/9673,"University of North Carolina, Asheville, NC, USA"
https://dblp.org/pid/318/1926,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/32/11008-1,"University of North Carolina, Chapel Hill, NC, USA"
https://dblp.org/pid/32/2948-11,"University of North Carolina at Charlotte, Department of Electrical and Computer Engineering, Charlotte, NC, USA"
https://dblp.org/pid/33/4822-35,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/33/4822-66,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/33/4822-9,"University of North Carolina at Charlotte, College of Computing and Informatics, NC, USA"
https://dblp.org/pid/34/5370,"University of North Carolina at Chapel Hill, School of Information and Library Science, NC, USA"
https://dblp.org/pid/34/8156-5,"University of North Carolina, Gillings School of Global Public Health, NC, USA"
https://dblp.org/pid/35/3494-4,"University of North Carolina at Chapel Hill, NC, USA"
https://dblp.org/pid/35/6415,"University of North Carolina-Charlotte, Charlotte, NC, USA"
https://dblp.org/pid/354/7015-1,"University of North Carolina at Charlotte, Power, Energy and Intelligent Systems Laboratory, Charlotte, NC, USA"
https://dblp.org/pid/358/5736,"University of North Carolina Charlotte, NC, USA"
