author,affiliation
https://dblp.org/pid/00/3361-6,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/01/2537-5,"University of North Texas Health Science Center, Department of Pharmaceutical Sciences, Fort Worth, TX, USA"
https://dblp.org/pid/04/5985,"University of North Texas, Denton, USA"
https://dblp.org/pid/05/1432,"Business Computer Information Systems Department, University of North Texas, Denton, Texas, USA"
https://dblp.org/pid/122/9191,"University of North Texas, Health Science Center, Fort Worth, Texas"
https://dblp.org/pid/123/4241-1,"University of North Texas, Department of Geography and Environment, Denton, TX, USA"
https://dblp.org/pid/125/0542,"University of North Texas, TX, USA"
https://dblp.org/pid/13/5613,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/130/3540,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/162/9176,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/178/8668,"University of North Texas, Denton, Department of Computer Science and Engineering"
https://dblp.org/pid/19/568,"College of Business, University of North Texas, Denton, TX, United States"
https://dblp.org/pid/190/8821,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/20/10120-1,"University of North Texas, Department of Computer Science and Engineering, Denton, TX, USA"
https://dblp.org/pid/202/1093,"University of North Texas, Denton, USA"
https://dblp.org/pid/21/3626-8,"University of North Texas Health Science Center, Fort Worth, TX, USA"
https://dblp.org/pid/217/8876,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/26/3737,"University of North Texas, USA"
https://dblp.org/pid/27/7017-12,University of North Texas
https://dblp.org/pid/270/0148,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/270/1673,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/271/6076,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/291/3992,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/30/3041,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/31/6702,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/315/0877-2,"University of North Texas (UNT), TX, USA"
https://dblp.org/pid/316/1616,"University of North Texas, Department of Materials Science and Engineering, Denton, TX, USA"
https://dblp.org/pid/33/10567-1,"University of North Texas, Department of Computer Science and Engineering, USA"
https://dblp.org/pid/337/4517,"University of North Texas, Department of Computer Science and Engineering, Denton, TX, USA"
https://dblp.org/pid/344/7313,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/362/8981,"University of North Texas Health Science Center, Fort Worth, TX, USA"
https://dblp.org/pid/39/6153-13,"University of North Texas, TX, USA"
https://dblp.org/pid/41/5697-3,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/42/1653-1,"University of North Texas, Department of Information Science, Denton, TX, USA"
https://dblp.org/pid/42/5608,"University of North Texas, Department of Information Technology and Decision Sciences, Denton, TX, USA"
https://dblp.org/pid/43/211,"University of North Texas (UNT), Department of Mathematics, Denton, USA"
https://dblp.org/pid/43/3892-1,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/44/5378-1,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/45/2947,"University of North Texas, Department of Learning Technologies, Denton, TX, USA"
https://dblp.org/pid/47/3749-3,"University of North Texas, Department of Computer Science and Engineering, Denton, TX, USA"
https://dblp.org/pid/49/7050-2,"University of North Texas, Department of Information Science, Denton, TX, USA"
https://dblp.org/pid/55/2325-1,"University of North Texas, Department of Electrical Engineering, Denton, TX, USA"
https://dblp.org/pid/55/508,"University of North Texas, Department of Information Science, Denton, TX, USA"
https://dblp.org/pid/57/5553-2,"University of North Texas, TX, USA"
https://dblp.org/pid/57/5723,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/58/2526,"University of North Texas, Denton, USA"
https://dblp.org/pid/58/3375,"University of North Texas, TX, USA"
https://dblp.org/pid/58/5935,"University of North Texas, Denton, USA"
https://dblp.org/pid/59/9516,"University of North Texas, Denton, TX, USA"
https://dblp.org/pid/60/1455,"School of Library and Information Sciences, University of North Texas"
https://dblp.org/pid/61/623-1,"University of North Texas, Department of Science and Engineering, Denton, TX, USA"
