author,affiliation
https://dblp.org/pid/02/2025-4,"University of Notre Dame, Department of Computer Science and Engineering, Notre Dame IN, USA"
https://dblp.org/pid/02/4374,"University of Notre Dame, IN, USA"
https://dblp.org/pid/02/5906-3,"University of Notre Dame, Departmentof Electrical Engineering, IN, USA"
https://dblp.org/pid/02/929-7,"University of Notre Dame, Notre Dame, IN, USA"
https://dblp.org/pid/03/2134-18,"University of Notre Dame, Department of Electrical Engineering, Notre Dame, IN, USA"
https://dblp.org/pid/03/5274-3,"University of Notre Dame, Department of Psychology, IN, USA"
https://dblp.org/pid/03/5595-3,"University of Notre Dame, IN, USA"
https://dblp.org/pid/03/9439-2,"University of Notre Dame, IN, USA"
https://dblp.org/pid/05/627-2,"University of Notre Dame, Hesburgh Library, IN, USA"
https://dblp.org/pid/07/4509,"University of Notre Dame, IN, USA"
https://dblp.org/pid/08/6794-1,"University of Notre Dame, Department of Computer Science and Engineering, IN, USA"
https://dblp.org/pid/09/6355,"University of Notre Dame, Department of Electrical Engineering, IN, USA"
https://dblp.org/pid/10/4661-175,"University of Notre Dame, Department of Computer Science and Engineering, IN, USA"
https://dblp.org/pid/10/5161,"University of Notre Dame, IN, USA"
https://dblp.org/pid/11/375,"University of Notre Dame, USA"
https://dblp.org/pid/115/4772,"University of Notre Dame, IN, USA"
https://dblp.org/pid/116/1011-52,"University of Notre Dame, Department of Applied and Computational Mathematics and Statistics, IN, USA"
https://dblp.org/pid/128/0397-1,"University of Notre Dame, Department of Computer Science and Engineering, IN, USA"
https://dblp.org/pid/129/9513,University of Notre Dame
https://dblp.org/pid/130/8418-6,"University of Notre Dame, IN, USA"
https://dblp.org/pid/132/4978,"University of Notre Dame, IN, USA"
https://dblp.org/pid/145/4361,"University of Notre Dame, USA"
https://dblp.org/pid/15/5440,"University of Notre Dame, Indiana, USA"
https://dblp.org/pid/151/6660,"University of Notre Dame, USA"
https://dblp.org/pid/158/9197,"University of Notre Dame, USA"
https://dblp.org/pid/159/0111,"University of Notre Dame, IN, USA"
https://dblp.org/pid/159/8117-2,"University of Notre Dame, Department of Computer Science and Engineering, IN, USA"
https://dblp.org/pid/16/2908-1,"University of Notre Dame, Department of Computer Science and Engineering, IN, USA"
https://dblp.org/pid/163/0686,"University of Notre Dame, IN, USA"
https://dblp.org/pid/164/8807-5,"University of Notre Dame, Department of Electrical Engineering, IN, USA"
https://dblp.org/pid/17/7620-6,"University of Notre Dame, Indiana, USA"
https://dblp.org/pid/18/266-3,"University of Notre Dame, IN, USA"
https://dblp.org/pid/181/2621-43,"University of Notre Dame, IN, USA"
https://dblp.org/pid/181/2688-16,"University of Notre Dame, IN, USA"
https://dblp.org/pid/186/8125,"University of Notre Dame, South Bend, IN, USA"
https://dblp.org/pid/187/3844,"University of Notre Dame, Department of Electrical Engineering, USA"
https://dblp.org/pid/190/3392-1,"University of Notre Dame, Notre Dame, IN, USA"
https://dblp.org/pid/191/0249-10,"University of Notre Dame, IN, USA"
https://dblp.org/pid/194/7739,"University of Notre Dame, IN, USA"
https://dblp.org/pid/20/2970-3,"University of Notre Dame, IN, USA"
https://dblp.org/pid/21/2176,"University of Notre Dame, USA"
https://dblp.org/pid/21/2715-7,"University of Notre Dame, Department of Electrical Engineering, IN, USA"
https://dblp.org/pid/227/9051,"University of Notre Dame, IN, USA"
https://dblp.org/pid/229/2395,"University of Notre Dame, IN, USA"
https://dblp.org/pid/234/9123-1,"University of Notre Dame, IN, USA"
https://dblp.org/pid/239/8981,"University of Notre Dame, IN, USA"
https://dblp.org/pid/305/3826,"University of Notre Dame, IN, USA"
https://dblp.org/pid/31/1378-4,"University of Notre Dame, USA"
https://dblp.org/pid/330/3847-2,"University of Notre Dame, Notre Dame, IN, USA"
https://dblp.org/pid/339/6604,"University of Notre Dame, IN, USA"
https://dblp.org/pid/37/2109-25,"University of Notre Dame, Department of Computer Science and Engineering, IN, USA"
https://dblp.org/pid/370/0542,"University of Notre Dame, Physics Department, IN, USA"
https://dblp.org/pid/372/1400,"University of Notre Dame, USA"
https://dblp.org/pid/42/6870,"University of Notre Dame, Department of Computer Science and Engineering, Notre Dame, IN, USA"
https://dblp.org/pid/47/6529-20,"University of Notre Dame, IN, USA"
https://dblp.org/pid/48/3404-2,"University of Notre Dame, Department of Electrical Engineering, IN, USA"
https://dblp.org/pid/48/450-8,"University of Notre Dame, Mendoza College of Business, Notre Dame, IN, USA"
https://dblp.org/pid/49/3683,"University of Notre Dame, IN, USA"
https://dblp.org/pid/53/10336-7,"University of Notre Dame, Computational Mechanics & Scientific AI Lab, Department of Aerospace and Mechanical Engineering, IN, USA"
https://dblp.org/pid/53/6559,"University of Notre Dame, Department of Psychology, IN, USA"
https://dblp.org/pid/54/4536-4,"University of Notre Dame, Department of Psychology, IN, USA"
https://dblp.org/pid/54/7001-5,"University of Notre Dame, Notre Dame, IN, USA"
https://dblp.org/pid/54/7951,"University of Notre Dame, USA"
https://dblp.org/pid/55/1332-6,"University of Notre Dame, MINE Lab, Notre Dame, IN, USA"
