author,affiliation
https://dblp.org/pid/00/340,"University of Oklahoma, School of Electrical and Computer Engineering, Tulsa, OK, USA"
https://dblp.org/pid/04/3348-11,"University of Oklahoma, Radar Innovations Laboratory, Norman, OK, USA"
https://dblp.org/pid/04/5465-16,"University of Oklahoma, USA"
https://dblp.org/pid/09/5042-32,"University of Oklahoma, School of Aerospace and Mechanical Engineering, Norman, OK, USA"
https://dblp.org/pid/09/605,"University of Oklahoma, USA"
https://dblp.org/pid/12/9459,University of Oklahoma
https://dblp.org/pid/120/1877-2,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/139/6423,"University of Oklahoma, Department of Geography and Environmental Sustainability, Norman, OK, USA"
https://dblp.org/pid/142/8325,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/15/5735-1,"The University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/150/3139-1,"University of Oklahoma, School of Computer Science, Norman, OK, USA"
https://dblp.org/pid/151/3215-11,"University of Oklahoma, School of Industrial Engineering, Norman, OK, USA"
https://dblp.org/pid/163/5043,"University of Oklahoma, School of Library and Information Studies, Norman, USA"
https://dblp.org/pid/167/1888,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/17/3724,"University of Oklahoma, Norman, USA"
https://dblp.org/pid/17/5705-5,"University of Oklahoma, Mewbourne School of Petroleum and Geological Engineering, Norman, OK, USA"
https://dblp.org/pid/180/6263,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/195/5990,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/197/2963,"University of Oklahoma, Oklahoma Biological Survey, Norman, OK, USA"
https://dblp.org/pid/198/0060-2,"University of Oklahoma, School of Electrical and Computer Engineering, USA"
https://dblp.org/pid/202/4933,"University of Oklahoma, Cooperative Institute for Mesoscale Meteorological Studies, Norman, OK, USA"
https://dblp.org/pid/203/8208,"University of Oklahoma, USA"
https://dblp.org/pid/21/3047-35,"University of Oklahoma, School of Electrical and Computer Engineering, Tulsa, OK, USA"
https://dblp.org/pid/21/7071-2,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/221/8358,"University of Oklahoma, USA"
https://dblp.org/pid/23/8570-3,University of Oklahoma
https://dblp.org/pid/257/4324,"University of Oklahoma, School of Electrical and Computer Engineering, Norman, USA"
https://dblp.org/pid/267/7657,"University of Oklahoma, School of Computer Science, Norman, OK, USA"
https://dblp.org/pid/28/435-7,"University of Oklahoma, School of Civil Engineering and Environmental Science, Hydrometeorology and Remote Sensing Laboratory, , Norman, OK, USA"
https://dblp.org/pid/289/2837,"University of Oklahoma, Health Sciences Center, Oklahoma City, OK, USA"
https://dblp.org/pid/29/5010-3,"University of Oklahoma, School of Electrical and Computer Engineering, Norman, OK, USA"
https://dblp.org/pid/342/6106,"University of Oklahoma, School of Industrial and Systems Engineering, Norman, OK, USA"
https://dblp.org/pid/35/7092-69,"The University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/351/7365,"University of Oklahoma, Department of Biology, Norman, OK, USA"
https://dblp.org/pid/36/2768-3,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/39/3851-1,"University of Oklahoma, School of Computer Science, Norman, OK, USA"
https://dblp.org/pid/39/6191-10,"University of Oklahoma, School of Computer Science, OK, USA"
https://dblp.org/pid/43/7973,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/44/1894-1,"The University of Oklahoma, OK, USA"
https://dblp.org/pid/45/2310,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/45/6607-6,"University of Oklahoma-Tulsa, School of Electrical and Computer Engineering, OK, USA"
https://dblp.org/pid/46/1838-1,"University of Oklahoma, School of Computer Science, Norman, OK, USA"
https://dblp.org/pid/46/927-1,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/52/328-26,"University of Oklahoma, School of Electrical and Computer Engineering, USA"
https://dblp.org/pid/53/208,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/53/448-3,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/53/5843-3,"University of Oklahoma, USA"
https://dblp.org/pid/55/2270-55,"University of Oklahoma, Department of Aerospace and Mechanical Engineering, Norman, OK, USA"
https://dblp.org/pid/57/1381-9,"University of Oklahoma, Norman, Oklahoma, USA"
https://dblp.org/pid/57/8397-4,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/59/2353-4,"University of Oklahoma, Stephenson School of Biomedical Engineering, Norman, OK, USA"
https://dblp.org/pid/62/6533-1,"University of Oklahoma, School of Electrical and Computer Engineering, Norman, OK, USA"
https://dblp.org/pid/63/4075,"The University of Oklahoma, USA"
https://dblp.org/pid/65/2401,"University of Oklahoma, Norman, USA"
https://dblp.org/pid/67/7672-9,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/68/3245-11,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/71/6601-7,"University of Oklahoma, School of Computer Science, Norman, OK, USA"
https://dblp.org/pid/72/6887-1,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/74/2478-3,"University of Oklahoma, Norman, OK, USA"
https://dblp.org/pid/82/7324,"University of Oklahoma, School of Meteorology and School of Civil Engineering and Environmental Science, OK, USA"
https://dblp.org/pid/86/521-4,"University of Oklahoma, School of Computer Science, Norman, OK, USA"
https://dblp.org/pid/97/9154-1,"University of Oklahoma, Department of Psychology, Norman, OK, USA"
https://dblp.org/pid/a/JohnKAntonio,"University of Oklahoma, Norman, USA"
https://dblp.org/pid/a/MAtiquzzaman,"University of Oklahoma, Norman, USA"
https://dblp.org/pid/g/LeGruenwald,"University of Oklahoma, Norman, USA"
https://dblp.org/pid/h/JosephPHavlicek,"University of Oklahoma, Norman, USA"
https://dblp.org/pid/l/SLakshmivarahan,"University of Oklahoma, Norman, USA"
https://dblp.org/pid/p/PPadmanabhan,"University of Oklahoma, Norman, USA"
https://dblp.org/pid/p/RexLPage,"University of Oklahoma, Norman, USA"
