author,affiliation
https://dblp.org/pid/02/1673,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/02/5889-160,"University of Oregon, Department of Computer Science, Eugene, OR, USA"
https://dblp.org/pid/06/3873,"University of Oregon, Eugene, USA"
https://dblp.org/pid/06/5715,"University of Oregon, Eugene, USA"
https://dblp.org/pid/08/7638-4,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/128/2629,"University of Oregon, USA"
https://dblp.org/pid/136/5662,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/139/8629,"University of Oregon, Department of Human Physiology, Eugene, OR, USA"
https://dblp.org/pid/14/1356-2,"University of Oregon, College of Education, OR, USA"
https://dblp.org/pid/161/3760,"University of Oregon, USA"
https://dblp.org/pid/176/2782,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/181/2812-64,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/19/1129,"University of Oregon, Department of Computer and Information Science"
https://dblp.org/pid/200/7260-2,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/21/2843,"University of Oregon, Eugene, USA"
https://dblp.org/pid/22/6575,"University of Oregon, Eugene, USA"
https://dblp.org/pid/250/9292-1,"University of Oregon, USA"
https://dblp.org/pid/26/2854,"University of Oregon, Eugene, USA"
https://dblp.org/pid/270/6076,"University of Oregon, Computer and Information Science, Eugene, OR, USA"
https://dblp.org/pid/274/1736,"University of Oregon, Department of Computer and Information Science, Eugene, OR, USA"
https://dblp.org/pid/290/1579-1,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/35/4761,"University of Oregon, Eugene, USA"
https://dblp.org/pid/44/5942,"University of Oregon, Eugene, USA"
https://dblp.org/pid/46/6957-4,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/47/91-2,"University of Oregon, Department of Computer and Information Science, Eugene, OR, USA"
https://dblp.org/pid/49/10052-4,"University of Oregon, Charles H. Lundquist School of Business, Eugene, OR, USA"
https://dblp.org/pid/49/9042,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/53/2189-20,"University of Oregon, Eugene"
https://dblp.org/pid/66/3206,"University of Oregon, Eugene, USA"
https://dblp.org/pid/71/1707,"University of Oregon, Department of Mathematics, Eugene, USA"
https://dblp.org/pid/76/2207,"University of Oregon, Eugene, USA"
https://dblp.org/pid/77/6324-11,"University of Oregon, OR, USA"
https://dblp.org/pid/78/2022-58,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/79/9880,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/80/3901,"University of Oregon, Eugene, USA"
https://dblp.org/pid/82/4367,"University of Oregon, Eugene, USA"
https://dblp.org/pid/83/4954-2,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/89/3127-5,"University of Oregon, Department of Mathematics, Eugene, USA"
https://dblp.org/pid/f/StephenFickas,"University of Oregon, Eugene, USA"
https://dblp.org/pid/l/JunLi1,"University of Oregon, Eugene, OR, USA"
https://dblp.org/pid/l/VMLo,"University of Oregon, Eugene, USA"
