author,affiliation
https://dblp.org/pid/02/41-4,"University of Pittsburgh, PA, USA"
https://dblp.org/pid/03/4597,"University of Pittsburgh, PA, USA"
https://dblp.org/pid/03/4702-2,"University of Pittsburgh School of Medicine, PA, USA"
https://dblp.org/pid/03/4755-5,"University of Pittsburgh, Computer Science Department, PA, USA"
https://dblp.org/pid/04/4189-1,"University of Pittsburgh, Pittsburgh, PA, USA"
https://dblp.org/pid/05/5307,"University of Pittsburgh, Department of Biomedical Informatics, PA, USA"
https://dblp.org/pid/07/11244-2,"University of Pittsburgh, Department of Computer Science, PA, USA"
https://dblp.org/pid/07/7335,"University of Pittsburgh, School of Nursing, PA, USA"
https://dblp.org/pid/08/3370,"University of Pittsburgh, Department of Biomedical Informatics, PA, USA"
https://dblp.org/pid/11/3386,"University of Pittsburgh at Johnstown, PA, USA"
https://dblp.org/pid/11/5853,"University of Pittsburgh, PA, USA"
https://dblp.org/pid/11/748,"University of Pittsburgh, Pennsylvania, USA"
https://dblp.org/pid/116/9558,"University of Pittsburgh, Learning Research and Development Center"
https://dblp.org/pid/117/3290-2,"University of Pittsburgh, USA"
https://dblp.org/pid/12/2633-3,"University of Pittsburgh, Department of Pediatrics, PA, USA"
https://dblp.org/pid/12/277,"University of Pittsburgh, Pennsylvania, USA"
https://dblp.org/pid/122/6017,"University of Pittsburgh, Pennsylvania, USA"
https://dblp.org/pid/13/9959-8,"University of Pittsburgh, PA, USA"
https://dblp.org/pid/132/3392,"University of Pittsburgh, Department of Biostatistics, PA, USA"
https://dblp.org/pid/14/2127-2,"University of Pittsburgh, School of Information Sciences, PA, USA"
https://dblp.org/pid/142/7802,"University of Pittsburgh, USA"
https://dblp.org/pid/144/3577,"University of Pittsburgh, Swanson School of Engineering, PA, USA"
https://dblp.org/pid/146/5459,"University of Pittsburgh, PA, USA"
https://dblp.org/pid/152/8888,"University of Pittsburgh, PA, USA"
https://dblp.org/pid/155/3540,"University of Pittsburgh, PA, USA"
https://dblp.org/pid/157/1102,"University of Pittsburgh, PA, USA"
https://dblp.org/pid/158/2615,"University of Pittsburgh, Department of Physical Medicine & Rehabilitationm, PA, USA"
https://dblp.org/pid/16/1518-7,"University of Pittsburgh, Department of Pharmaceutical Sciences, PA, USA"
https://dblp.org/pid/16/4001,University of Pittsburgh
https://dblp.org/pid/16/9843-2,"University of Pittsburgh, Department of Psychiatry, PA, USA"
https://dblp.org/pid/160/4470,"University of Pittsburgh, PA, USA"
https://dblp.org/pid/162/9969,"University of Pittsburgh, ECE Department, PA, USA"
https://dblp.org/pid/166/4420,"University of Pittsburgh, Department of Computer Science, PA, USA"
https://dblp.org/pid/169/1787,"University of Pittsburgh, USA"
https://dblp.org/pid/17/10841,"University of Pittsburgh, Department of Biomedical Informatics"
https://dblp.org/pid/17/4306-2,"University of Pittsburgh, PA, USA"
https://dblp.org/pid/181/2688-15,"University of Pittsburgh, Department of Mechanical Engineering and Materials Science, PA, USA"
https://dblp.org/pid/181/2832-74,"University of Pittsburgh, UPMC Children's Hospital, School of Medicine, Department of Pediatrics, Pittsburgh, PA, USA"
https://dblp.org/pid/183/6954,"University of Pittsburgh, Graduate School of Public Health, PA, USA"
https://dblp.org/pid/199/8346,"University of Pittsburgh, PA, USA"
https://dblp.org/pid/200/4258,"University of Pittsburgh School of Medicine, Division of Pediatric Health Informatics, PA, USA"
https://dblp.org/pid/21/11449,"University of Pittsburgh, Medical Center"
