author,affiliation
https://dblp.org/pid/00/5378,"University of Rhode Island, Kingston, RI, USA"
https://dblp.org/pid/00/7420,"University of Rhode Island, Kingston, RI, USA"
https://dblp.org/pid/05/3403-10,"University of Rhode Island, Department of Electrical, Computer, and Biomedical Engineering, Kingston, RI, USA"
https://dblp.org/pid/11/1266-2,"University of Rhode Island, Kingston, RI, USA"
https://dblp.org/pid/13/6769-4,"University of Rhode Island, Department of Cell and Molecular Biology, Kingston, RI, USA"
https://dblp.org/pid/17/2703-24,"University of Rhode Island, Department of Electrical, Computer, and Biomedical Engineering, Kingston, RI, USA"
https://dblp.org/pid/28/4933,"University of Rhode Island, USA"
https://dblp.org/pid/30/3790-4,"University of Rhode Island, Kingston, USA"
https://dblp.org/pid/343/6252,"University of Rhode Island, Kingston, RI, USA"
https://dblp.org/pid/43/4244,"University of Rhode Island, Kingston, RI, USA"
https://dblp.org/pid/47/3749-1,"University of Rhode Island, Kingston, RI, USA"
https://dblp.org/pid/47/864,"University of Rhode Island, Narragansett, RI, USA"
https://dblp.org/pid/61/9959-1,"University of Rhode Island, Kingston, RI, USA"
https://dblp.org/pid/67/4033,"University of Rhode Island, Kingston, RI, USA"
https://dblp.org/pid/74/2674-8,"University of Rhode Island, Department of Computer Science and Statistics, Kingston, RI, USA"
https://dblp.org/pid/80/6995,"University of Rhode Island, Kingston, RI, USA"
https://dblp.org/pid/h/LutzHamel,"University of Rhode Island, Department of Computer Science and Statistics, Kingston, RI, USA"
https://dblp.org/pid/s/YanLindsaySun,"University of Rhode Island, Department of Electrical, Computer and Biomedical Engineering, Kingston, RI, USA"
