author,affiliation
https://dblp.org/pid/00/3605,"University of Rochester, Department of Computer Science"
https://dblp.org/pid/00/5012-22,"University of Rochester, Department of Computer Science, Rochester, NY, USA"
https://dblp.org/pid/04/3572-13,"University of Rochester, NY, US"
https://dblp.org/pid/04/6716,"University of Rochester, USA"
https://dblp.org/pid/06/5399,"University of Rochester, USA"
https://dblp.org/pid/07/6095-1,"University of Rochester, NY, USA"
https://dblp.org/pid/08/3712-4,"University of Rochester, Rochester, NY, USA"
https://dblp.org/pid/10/2355-2,"University of Rochester, NY, USA"
https://dblp.org/pid/116/3236,"University of Rochester, Department of Imaging Sciences, USA"
https://dblp.org/pid/120/5486-2,"University of Rochester, NY, USA"
https://dblp.org/pid/133/2007,"University of Rochester, Department of Computer Science, NY, USA"
https://dblp.org/pid/145/0655-2,"University of Rochester, Department of Computer Science, NY, USA"
https://dblp.org/pid/16/6465-11,"University of Rochester, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/160/4950,University of Rochester
https://dblp.org/pid/161/7819,"University of Rochester, Department of Biostatistics and Computational Biology, USA"
https://dblp.org/pid/17/4297-5,"University of Rochester, NY, USA"
https://dblp.org/pid/17/995-7,"University of Rochester, Rochester, NY, USA"
https://dblp.org/pid/174/7086-2,"University of Rochester, NY, USA"
https://dblp.org/pid/190/7762-1,"University of Rochester, NY, USA"
https://dblp.org/pid/198/0649,"University of Rochester, NY, USA"
https://dblp.org/pid/22/2798,"University of Rochester, Rochester, NY, USA"
https://dblp.org/pid/226/5688-4,"University of Rochester, Rochester, NY, USA"
https://dblp.org/pid/25/5545,"University of Rochester, Department of Computer Science, NY, USA"
https://dblp.org/pid/250/2699-1,"University of Rochester, New York, NY, USA"
https://dblp.org/pid/26/1236,"University of Rochester, NY, USA"
https://dblp.org/pid/26/3166-1,"University of Rochester, Rochester, NY, USA"
https://dblp.org/pid/263/2317,"University of Rochester Medical Center, School of Nursing / School of Medicine and Dentistry / Department of Brain and Cognitive Sciences, USA"
https://dblp.org/pid/31/3472-1,"University of Rochester, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/31/9828-7,"University of Rochester, Rochester, NY, USA"
https://dblp.org/pid/33/4054-8,"University of Rochester, Department of Computer Science, NY, USA"
https://dblp.org/pid/352/3194,"University of Rochester, USA"
https://dblp.org/pid/357/8040,"University of Rochester, School of Art and Science, NY, USA"
https://dblp.org/pid/36/1747,"Institute for Human and Machine Intelligence, University of Rochester, USA"
https://dblp.org/pid/37/4190-149,"University of Rochester, Department of Electrical and Computer Engineering, Rochester, NY, USA"
https://dblp.org/pid/383/1953,"University of Rochester, Institute of Optics, NY, USA"
https://dblp.org/pid/40/1854,"University of Rochester, NY, USA"
https://dblp.org/pid/41/5401-3,"University of Rochester Medical Center, NY, USA"
https://dblp.org/pid/47/6907,"University of Rochester, NY, USA"
https://dblp.org/pid/48/10270,University of Rochester
https://dblp.org/pid/55/8146,"University of Rochester, New York, USA"
https://dblp.org/pid/57/1240-8,"University of Rochester, NY, USA"
https://dblp.org/pid/58/4543-9,"University of Rochester, Rochester, NY, USA"
https://dblp.org/pid/58/9357,"University of Rochester, NY, USA"
https://dblp.org/pid/59/3896,"University of Rochester, NY, USA"
https://dblp.org/pid/60/5966-1,"University of Rochester, USA"
https://dblp.org/pid/64/10957-2,"University of Rochester, Rochester, NY, USA"
https://dblp.org/pid/64/2529-3,"University of Rochester, Department of Computer Science, USA"
https://dblp.org/pid/71/4799,"University of Rochester, NY, USA"
https://dblp.org/pid/72/8314-1,"University of Rochester, Rochester, NY, USA"
https://dblp.org/pid/82/4206-3,"University of Rochester, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/83/2822-1,"University of Rochester, NY, USA"
https://dblp.org/pid/83/4805-15,"University of Rochester, Department of Computer Science, NY, USA"
https://dblp.org/pid/83/5007-1,"University of Rochester, Department of Computer Science, NY, USA"
https://dblp.org/pid/84/2694-26,"University of Rochester, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/84/4991-2,"University of Rochester, School of Medicine and Dentistry, Flaum Eye Institute, NY, USA"
https://dblp.org/pid/86/7054-8,"University of Rochester, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/89/6935-2,"University of Rochester, Rochester, NY, USA"
https://dblp.org/pid/95/8210,"University of Rochester, Department of Mathematics, NY, USA"
https://dblp.org/pid/98/4839-9,"University of Rochester, Department of Computer Science, Rochester, NY, USA"
https://dblp.org/pid/98/7612-1,"University of Rochester, Department of Electrical and Computer Engineering, Rochester, NY, USA"
https://dblp.org/pid/a/JFAllen,"University of Rochester, New York, USA"
https://dblp.org/pid/c/MUCelik,"University of Rochester, New York, USA"
https://dblp.org/pid/d/RMDewan,"University of Rochester, New York, USA"
https://dblp.org/pid/d/StevenGDropsho,"University of Rochester, New York, USA"
https://dblp.org/pid/h/LaneAHemaspaandra,"University of Rochester, New York, USA"
https://dblp.org/pid/h/WendiRabinerHeinzelman,"University of Rochester, Department of Electrical and Computer Engineering"
https://dblp.org/pid/k/HenryAKautz,"University of Rochester, New York, USA"
https://dblp.org/pid/n/RandalCNelson,"University of Rochester, New York, USA"
https://dblp.org/pid/s/GauravSharma1,"University of Rochester, Department of Electrical and Computer Engineering, NY, USA"
https://dblp.org/pid/s/JoelISeiferas,"University of Rochester, New York, USA"
https://dblp.org/pid/s/LenhartKSchubert,"University of Rochester, New York, USA"
https://dblp.org/pid/s/MichaelLScott,"University of Rochester, New York, USA"
