author,affiliation
https://dblp.org/pid/02/609,"University of South Carolina, Department of Psychology, Columbia, USA"
https://dblp.org/pid/03/6588-3,"University of South Carolina, Department of Mathematics, Columbia, SC, USA"
https://dblp.org/pid/05/6758,"Department of Mathematics, University of South Carolina, USA"
https://dblp.org/pid/10/2453-3,"University of South Carolina, Department of Mathematics, Columbia, SC, USA"
https://dblp.org/pid/10/3878-5,"University of South Carolina, Department of Computer Science and Engineering, Columbia, SC, USA"
https://dblp.org/pid/11/5912-1,"University of South Carolina at Aiken, Department of Mathematical Sciences, SC, USA"
https://dblp.org/pid/116/0208,"Moore School of Business, University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/12/4907-11,"University of South Carolina, College of Engineering and Computing, Columbia, SC, USA"
https://dblp.org/pid/124/7818,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/128/3377,"University of South Carolina, USA"
https://dblp.org/pid/13/5236-8,"University of South Carolina, Department of Electrical Engineering, Columbia, SC, USA"
https://dblp.org/pid/135/3713,"University of South Carolina, Department of Sociology, USA"
https://dblp.org/pid/14/1356-14,"University of South Carolina, Department of Computer Science and Engineering, Columbia, SC, USA"
https://dblp.org/pid/146/0105,"University of South Carolina, Department of Computer Science and Engineering, Columbia, SC, USA"
https://dblp.org/pid/154/2695,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/165/6103,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/17/221-70,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/179/5081,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/183/5157-9,"University of South Carolina, Department of computer science, AI Institute, Columbia, SC, USA"
https://dblp.org/pid/203/8861,"University of South Carolina, Department of Computer Science & Engineering, Columbia, SC, USA"
https://dblp.org/pid/206/1589,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/21/3839-17,"University of South Carolina, Department of Electrical Engineering, Columbia, SC, USA"
https://dblp.org/pid/212/7542-1,"University of South Carolina, Artificial Intelligence Institute, Columbia, SC, USA"
https://dblp.org/pid/23/1270,"University of South Carolina, Department of Computer Science and Engineering, Columbia, SC, USA"
https://dblp.org/pid/23/2763,"University of South Carolina, Department of Mathematics, Columbia, SC, USA"
https://dblp.org/pid/230/7832,"University of South Carolina, SC, USA"
https://dblp.org/pid/239/7400,"University of South Carolina, Department of Computer Science and Engineering, Columbia, SC, USA"
https://dblp.org/pid/26/2673-7,"University of South Carolina, Sumpter, SC, USA"
https://dblp.org/pid/26/4014-1,"University of South Carolina, Department of Economics, Columbia, SC, USA"
https://dblp.org/pid/281/3386,"Medical University of South Carolina, Charleston, SC, USA"
https://dblp.org/pid/29/5999-2,"University of South Carolina, Department of Geography, Columbia, SC, USA"
https://dblp.org/pid/30/3008-7,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/33/2303,"University of South Carolina, Interdisciplinary Mathematics Institute, Columbia, SC, USA"
https://dblp.org/pid/34/4799-12,"University of South Carolina, Department of Electrical Engineering, Columbia, SC, USA"
https://dblp.org/pid/35/295-31,"University of South Carolina, Department of Computer Science and Engineering, Columbia, SC, USA"
https://dblp.org/pid/35/3221-5,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/36/4168-8,"University of South Carolina, Department of Computer Science and Engineering, Columbia, SC, USA"
https://dblp.org/pid/39/7780-6,"University of South Carolina, Department of Computer Science and Engineering, Columbia, SC, USA"
https://dblp.org/pid/45/1827-1,"University of South Carolina, Department of Computer Science, Columbia, SC, USA"
https://dblp.org/pid/46/7619,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/50/4306,"University of South Carolina, Department of Mathematics, Columbia, SC, USA"
https://dblp.org/pid/51/4516-3,"University of South Carolina, Department of Electrical Engineering, Columbia, SC, USA"
https://dblp.org/pid/52/323-38,"University of South Carolina, SC, USA"
https://dblp.org/pid/53/6497,University of South Carolina
https://dblp.org/pid/58/6853,"Moore School of Business, University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/60/921,"Medical University of South Carolina, College of Medicine"
https://dblp.org/pid/62/3151-2,"University of South Carolina, Department of Computer Science and Engineering, Columbia, SC, USA"
https://dblp.org/pid/68/3870,"University of South Carolina, Department of Electrical Engineering, Columbia, SC, USA"
https://dblp.org/pid/75/5723-6,"University of South Carolina, Department of Chemistry and Biochemistry, Columbia, SC, USA"
https://dblp.org/pid/83/4594,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/83/5522-18,"University of South Carolina, Department of Mathematics, USA"
https://dblp.org/pid/86/2176-3,"University of South Carolina, Department of Epidemiology and Biostatistics, Columbia, SC, USA"
https://dblp.org/pid/88/2827-28,"University of South Carolina, Department of Electrical Engineering, Columbia, SC, USA"
https://dblp.org/pid/92/1942-1,"University of South Carolina, Columbia, SC, US"
https://dblp.org/pid/93/5177-5,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/96/2570-1,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/97/3499-2,"University of South Carolina, Department of Computer Science and Engineering, Columbia, SC, USA"
https://dblp.org/pid/98/4156-5,"University of South Carolina, Department of Geography, Columbia, SC, USA"
https://dblp.org/pid/98/5609-1,"University of South Carolina, SC, USA"
https://dblp.org/pid/99/2479-7,"University of South Carolina, Department of Electrical Engineering, Columbia, SC, USA"
https://dblp.org/pid/b/DuncanABuell,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/c/KarelCulikII,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/e/CarolineMEastman,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/f/CsillaFarkas,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/f/SAFenner,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/h/MichaelNHuhns,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/n/SrihariNelakuditi,"University of South Carolina, Columbia, SC, USA"
https://dblp.org/pid/s/AmitPSheth,"University of South Carolina, SC, USA"
https://dblp.org/pid/v/JoseMVidal,"University of South Carolina, Columbia, SC, USA"
