author,affiliation
https://dblp.org/pid/01/2086-7,"University of South Florida, Department of Mathematics and Statistics, Tampa, FL, USA"
https://dblp.org/pid/02/5889-84,"University of South Florida, USA"
https://dblp.org/pid/02/736-11,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/02/736-48,"University of South Florida, Department of Electrical Engineering, Tampa, FL, USA"
https://dblp.org/pid/04/3348-8,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/05/5910,"University of South Florida, USA"
https://dblp.org/pid/05/6302-2,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/07/10896,"University of South Florida, School of Information Systems and Management, Tampa, USA"
https://dblp.org/pid/11/2636-1,"University of South Florida, Department of Electrical Engineering, Smart Grid Power Systems Lab , Tampa, FL, USA"
https://dblp.org/pid/119/1223-8,"University of South Florida, Department of Computer Science and Engineering, Tampa, FL, USA"
https://dblp.org/pid/12/5838-26,"University of South Florida, Department of Computer Science and Engineering, Tampa, FL, USA"
https://dblp.org/pid/12/5838-38,"University of South Florida, Center for Research and Education in Nanobioengineering, Tampa, FL, USA"
https://dblp.org/pid/121/0037-3,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/136/7797,"University of South Florida, Tampa, USA"
https://dblp.org/pid/161/1007-2,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/17/5705-71,"University of South Florida, Tampa, USA"
https://dblp.org/pid/170/4694,"University of South Florida, Tampa, USA"
https://dblp.org/pid/18/6739-2,"University of South Florida, Center for Urban Transportation Research, Tampa, FL, USA"
https://dblp.org/pid/181/2325-1,"University of South Florida, Department of Civil and Environmental Engineering, Tampa, FL, USA"
https://dblp.org/pid/186/1092,"University of South Florida, Department of Computer Science and Engineering, Tampa, USA"
https://dblp.org/pid/186/3735,"University of South Florida, School of Information, Tampa, FL, USA"
https://dblp.org/pid/20/1028-1,"University of South Florida, Computer Science and Engineering Department, Tampa, FL, USA"
https://dblp.org/pid/223/9894-2,"University of South Florida, Department of Mathematics and Statistics, Tampa, FL, USA"
https://dblp.org/pid/228/3540,"University of South Florida, Tampa, USA"
https://dblp.org/pid/228/3797,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/234/2934-1,"University of South Florida, Department of Mathematics & Statistics, Tampa, FL, USA"
https://dblp.org/pid/249/2830,"University of South Florida, Department of Computer Science and Engineering, Tampa, FL , USA"
https://dblp.org/pid/25/5030-6,"University of South Florida, FL, USA"
https://dblp.org/pid/255/9699,"University of South Florida, Tampa, USA"
https://dblp.org/pid/260/1944,"University of South Florida, St. Petersburg, USA"
https://dblp.org/pid/275/7272,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/28/5912-1,"University of South Florida, Tampa, USA"
https://dblp.org/pid/28/9860,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/30/3984,"University of South Florida, Department of Electrical Engineering, Tampa, FL, USA"
https://dblp.org/pid/31/5401,"University of South Florida, Muma College of Business, Tampa, FL, USA"
https://dblp.org/pid/31/6916-1,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/33/1786,"University of South Florida, Electrical Engineering Department, Tampa, USA"
https://dblp.org/pid/336/2596,"University of South Florida, Department of Electrical Engineering, Tampa, FL, USA"
https://dblp.org/pid/336/4893,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/34/9150,"University of South Florida, Department of Psychology, Tampa, FL, USA"
https://dblp.org/pid/342/5149-2,"University of South Florida, Department of Computer Science and Engineering, Tampa, FL, USA"
https://dblp.org/pid/346/9074,"University of South Florida, Department of Mechanical Engineering, Tampa, FL, USA"
https://dblp.org/pid/35/3973,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/35/5600,"University of South Florida, Tampa, USA"
https://dblp.org/pid/40/1989,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/40/7018-3,"University of South Florida, Department of Mathematics and Statistics, Tampa, FL, USA"
https://dblp.org/pid/47/2130,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/47/6264-3,"University of South Florida, Department of Electrical Engineering, Tampa, FL, USA"
https://dblp.org/pid/50/10676,"University of South Florida, Tampa, Florida, USA"
https://dblp.org/pid/50/671-87,"University of South Florida, Department of Civil and Environmental Engineering, Tampa, FL, USA"
https://dblp.org/pid/51/3710-67,"University of South Florida, Department of Electrical Engineering, Tampa, FL, USA"
https://dblp.org/pid/52/105,"University of South Florida, Department of Computer Science and Engineering, Tampa, FL, USA"
https://dblp.org/pid/57/7710-3,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/59/6075,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/59/871-23,"University of South Florida, Florida Center for Cybersecurity, Tampa, FL, USA"
https://dblp.org/pid/60/2536-15,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/60/7736,"University of South Florida, USA"
https://dblp.org/pid/62/139,"University of South Florida St. Petersburg, St. Petersburg, FL, USA"
https://dblp.org/pid/62/3689-4,"University of South Florida, Department of Computer Science and Engineerin, Tampa, FL, USA"
https://dblp.org/pid/62/4337-10,"University of South Florida, Department of Civil and Environmental Engineering, Tampa, FL, USA"
https://dblp.org/pid/62/6846-8,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/64/424-7,"University of South Florida, Department of Computer Science and Engineering, Tampa, FL, USA"
https://dblp.org/pid/67/3309,"University of South Florida, College of Business Administration, Tampa, FL, USA"
https://dblp.org/pid/69/5902-23,"University of South Florida, Health Informatics Institute, Tampa, FL, USA"
https://dblp.org/pid/71/208-23,"University of South Florida, College of Marine Science, St. Petersburg, FL, USA"
https://dblp.org/pid/73/4897,"University of South Florida, Tampa, Department of Computer Science and Engineering"
https://dblp.org/pid/77/1513-3,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/82/1295,"University of South Florida, School of Accountancy, FL, USA"
https://dblp.org/pid/84/6889-27,"University of South Florida Tampa, Department of Civil & Environmental Engineering, FL, USA"
https://dblp.org/pid/85/5459,"University of South Florida, College of Marine Science, Institute for Marine Remote Sensing, South St. Petersburg, FL, USA"
https://dblp.org/pid/85/6254,"University of South Florida, Computer Science and Engineering, Tampa, FL, USA"
https://dblp.org/pid/85/7189-2,"University of South Florida, Department of Industrial and Management Systems Engineering, Tampa, FL, USA"
https://dblp.org/pid/90/6339-6,"University of South Florida, Department of Electrical Engineering, Tampa, FL, USA"
https://dblp.org/pid/90/6725,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/95/5185,"University of South Florida, School of Library and Information Science, USA"
https://dblp.org/pid/96/2402,"University of South Florida, Tampa, FL, USA"
https://dblp.org/pid/96/878,"University of South Florida, Department of Computer Science and Engineering, Tampa, USA"
