author,affiliation
https://dblp.org/pid/04/3557,"University of Southern Mississippi, Department of Mathematics, Hattiesburg, MS, USA"
https://dblp.org/pid/04/5854-1,"The University of Southern Mississippi, USA"
https://dblp.org/pid/193/9104,"University of Southern Mississippi, Hattiesburg, USA"
https://dblp.org/pid/23/4066,The University of Southern Mississippi
https://dblp.org/pid/301/7964,"University of Southern Mississippi, Hattiesburg, USA"
https://dblp.org/pid/330/9570,"University of Southern Mississippi, Hattiesburg, MS, USA"
https://dblp.org/pid/354/6301,"University of Southern Mississippi, Hattiesburg, MS, USA"
https://dblp.org/pid/37/4356-20,"University of Southern Mississippi, School of Ocean Science and Engineering, Stennis Space Center, MS, USA"
https://dblp.org/pid/37/4465-7,"University of Southern Mississippi, School of Computing, Hattiesburg, MS, USA"
https://dblp.org/pid/48/4979,"University of Southern Mississippi, School of Mathematics and Natural Sciences, Hattiesburg, MS, USA"
https://dblp.org/pid/50/3402-13,"University of Southern Mississippi, School of Computing, Long Beach, USA"
https://dblp.org/pid/61/619,"University of Southern Mississippi, Southern Station, MS, USA"
https://dblp.org/pid/66/6489,"University of Southern Mississippi, School of Computing, Hattiesburg, MS, USA"
https://dblp.org/pid/w/ZhengWang25,"University of Southern Mississippi, USA"
