author,affiliation
https://dblp.org/pid/00/6220-1,"University of Texas at Arlington, College of Nursing and Health Innovation, TX, USA"
https://dblp.org/pid/02/5505-9,"University of Texas at Arlington Research Institute, Fort Worth, TX, USA"
https://dblp.org/pid/02/736-10,"University of Texas at Arlington, TX, USA"
https://dblp.org/pid/04/4498-2,"University of Texas at Arlington, Department of Electrical Engineering, TX, USA"
https://dblp.org/pid/04/5024,"University of Texas at Arlington, TX, USA"
https://dblp.org/pid/05/4613-8,"University of Texas at Arlington, Fort Worth, TX, USA"
https://dblp.org/pid/07/1181,"University of Texas at Arlington, Department of Computer Science and Engineering, TX, USA"
https://dblp.org/pid/07/6728-7,University of Texas at Arlington
https://dblp.org/pid/08/237-1,"University of Texas at Arlington, TX, USA"
https://dblp.org/pid/09/3733-1,"University of Texas at Arlington, Department of Electrical Engineering, Fort Worth, TX, USA"
https://dblp.org/pid/10/212,"University of Texas at Arlington, USA"
https://dblp.org/pid/10/4661-60,"University of Texas at Arlington, TX, USA"
https://dblp.org/pid/10/4990-1,"University of Texas at Arlington, TX, USA"
https://dblp.org/pid/121/4151-1,"University of Texas at Arlington, Arlington, USA"
https://dblp.org/pid/13/5366-13,"University of Texas at Arlington, Department of Computer Science and Engineering, Arlington, TX, USA"
https://dblp.org/pid/13/8659-2,"University of Texas at Arlington, Department of Computer Science and Engineering"
https://dblp.org/pid/131/5236,University of Texas at Arlington
https://dblp.org/pid/137/7229,"University of Texas at Arlington, USA"
https://dblp.org/pid/14/3692,"University of Texas at Arlington, USA"
https://dblp.org/pid/144/5437,"University of Texas at Arlington, TX, USA"
https://dblp.org/pid/148/1296,"University of Texas at Arlington, TX, USA"
https://dblp.org/pid/148/1597-2,"University of Texas at Arlington, Arlington, TX, USA"
https://dblp.org/pid/16/3631-1,"University of Texas at Arlington, Department of Computer Science and Engineering, TX, USA"
https://dblp.org/pid/163/0083,University of Texas at Arlington
https://dblp.org/pid/18/4336,"University of Texas at Arlington, USA"
https://dblp.org/pid/18/6265-6,"University of Texas at Arlington, Department of Computer Science and Engineering, TX, USA"
https://dblp.org/pid/181/2303-2,"University of Texas at Arlington, Heracleia Human Centered Computing Laboratory, USA"
https://dblp.org/pid/19/360-7,University of Texas at Arlington
https://dblp.org/pid/19/6559,"The University of Texas at Arlington, Department of Linguistics, TX, USA"
https://dblp.org/pid/198/9962,"University of Texas at Arlington, USA"
https://dblp.org/pid/20/1654-1,"University of Texas at Arlington, TX, USA"
https://dblp.org/pid/20/3754,"University of Texas at Arlingtons, USA"
https://dblp.org/pid/200/9876-2,"University of Texas at Arlington, Department of Mat hematics, USA"
