author,affiliation
https://dblp.org/pid/00/4223,"University of Texas at Austin, Applied Research Laboratories, TX, USA"
https://dblp.org/pid/00/4859-8,"University of Texas at Austin, USA"
https://dblp.org/pid/00/6413,"University of Texas at Austin, Department of Mathematics, Austin, TX, USA"
https://dblp.org/pid/01/1844-15,"University of Texas at Austin, TX, USA"
https://dblp.org/pid/04/3348-5,"The University of Texas at Austin, School of Information, TX, USA"
https://dblp.org/pid/05/4110,"University of Texas at Austin, USA"
https://dblp.org/pid/05/9347-3,"University of Texas at Austin, Department of Computer Science, USA"
https://dblp.org/pid/06/4879,"University of Texas at Austin, Department of Mathematics, USA"
https://dblp.org/pid/06/7173,"University of Texas at Austin, TX, USA"
https://dblp.org/pid/06/891,"University of Texas at Austin, McCombs School of Business, USA"
https://dblp.org/pid/07/10563,"University of Texas at Austin, Department of Computer Science, TX, USA"
https://dblp.org/pid/07/4368,"University of Texas at Austin, TX, USA"
https://dblp.org/pid/07/7590,"University of Texas at Austin, USA"
https://dblp.org/pid/07/8396,"University of Texas at Austin, Department of Computer Science, TX, USA"
https://dblp.org/pid/08/1485,"The University of Texas at Austin, Texas Advanced Computing Center, TX, USA"
https://dblp.org/pid/08/2489-7,"University of Texas at Austin, Austin, TX, USA"
https://dblp.org/pid/09/241,"University of Texas at Austin, Department of Computer Sciences, TX, USA"
https://dblp.org/pid/09/4099,"University of Texas at Austin, TX, USA"
https://dblp.org/pid/09/5394-8,"University of Texas at Austin, ECE Department, Austin, TX, USA"
https://dblp.org/pid/09/6688,"University of Texas at Austin, TX, USA"
https://dblp.org/pid/10/247,"University of Texas at Austin, USA"
https://dblp.org/pid/10/3520-1,"University of Texas at Austin, Department of Electrical and Computer Engineering, TX, USA"
https://dblp.org/pid/11/2108,"The University of Texas at Austin, USA"
https://dblp.org/pid/119/3744-2,"University of Texas at Austin, TX, USA"
https://dblp.org/pid/119/4026,"University of Texas at Austin, Cockrell School of Engineering, TX, USA"
https://dblp.org/pid/119/5963-3,"University of Texas at Austin, USA"
https://dblp.org/pid/12/6659,"University of Texas at Austin, Department of Aerospace Engineering and Engineering Mechanics, TX, USA"
https://dblp.org/pid/122/4149,"University of Texas at Austin, Microelectronics Research Center, TX, USA"
https://dblp.org/pid/123/4090-1,"University of Texas at Austin, TX, USA"
https://dblp.org/pid/126/1706,"University of Texas at Austin, Division of Statistics & Scientific Computation"
https://dblp.org/pid/127/6893-2,"University of Texas at Austin, TX, USA"
https://dblp.org/pid/13/5236-11,University of Texas at Austin
https://dblp.org/pid/131/8939-3,"University of Texas at Austin, Department of Mechanical Engineering, TX, USA"
https://dblp.org/pid/133/6407-1,"University of Texas at Austin, TX, USA"
https://dblp.org/pid/134/4013,"University of Texas at Austin, Department of Computer Science"
https://dblp.org/pid/136/9351-2,"University of Texas at Austin, TX, USA"
https://dblp.org/pid/137/1412-1,"University of Texas at Austin, Austin, TX, USA"
https://dblp.org/pid/14/8174,"University of Texas at Austin, Department of Computer Science, TX, USA"
https://dblp.org/pid/14/9799,"University of Texas at Austin, USA"
https://dblp.org/pid/141/9456-3,"University of Texas at Austin, Austin, TX, USA"
