author,affiliation
https://dblp.org/pid/00/1079-4,"University of Texas at Dallas, Richardson, TX, USA"
https://dblp.org/pid/00/3312-2,"University of Texas at Dallas, Department of Computer Science, TX, USA"
https://dblp.org/pid/00/6381-9,"University of Texas at Dallas, Department of Information Systems and Operations Management, TX, USA"
https://dblp.org/pid/00/6716-1,"University of Texas at Dallas, Department of Computer Science, Richardson, TX, USA"
https://dblp.org/pid/01/2537-4,"University of Texas at Dallas, Department of Electrical Engineering, USA"
https://dblp.org/pid/01/7095,"University of Texas at Dallas, Department of Mechanical Engineering, USA"
https://dblp.org/pid/02/7054,"University of Texas at Dallas, USA"
https://dblp.org/pid/03/1094-13,"University of Texas at Dallas, TX, USA"
https://dblp.org/pid/03/3147,"University of Texas at Dallas, USA"
https://dblp.org/pid/04/2024-19,"University of Texas at Dallas, Center for Robust Speech Systems, Richardson, TX, USA"
https://dblp.org/pid/05/7139,"University of Texas at Dallas, Department of Mechanical Engineering, Richardson, TX, USA"
https://dblp.org/pid/07/6713-1,"University of Texas at Dallas, TX, USA"
https://dblp.org/pid/09/1236,"The University of Texas at Dallas, Naveen Jindal School of Management, USA"
https://dblp.org/pid/09/3666-57,"University of Texas at Dallas, Richardson, TX, USA"
https://dblp.org/pid/11/2062,"University of Texas at Dallas, Naveen Jindal School of Management, Dallas, TX, USA"
https://dblp.org/pid/11/5918,"University of Texas at Dallas, Department of Computer Science, Richardson, TX, USA"
https://dblp.org/pid/119/5433,"University of Texas at Dallas, USA"
https://dblp.org/pid/120/2368-1,"The University of Texas at Dallas, Richardson, TX, USA"
https://dblp.org/pid/120/3233,"University of Texas at Dallas, Department of Bioengineering, Richardson, TX, USA"
https://dblp.org/pid/122/5908,"University of Texas at Dallas, Human Language Technology Research Institute, Richardson, TX, USA"
https://dblp.org/pid/123/9368-2,"University of Texas at Dallas, TX, USA"
https://dblp.org/pid/125/8189-37,"University of Texas at Dallas, Department of Bioengineering, Richardson, TX, USA"
https://dblp.org/pid/126/8844,"University of Texas at Dallas, Human Language Technology Research Institute, Richardson, TX, USA"
https://dblp.org/pid/133/2005,"University of Texas at Dallas, Department of Computer Science, TX, USA"
https://dblp.org/pid/135/4949-2,"University of Texas at Dallas, TX, USA"
https://dblp.org/pid/136/9808-7,"University of Texas at Dallas, Richardson , TX, USA"
https://dblp.org/pid/14/4229,"University of Texas at Dallas, Department of Computer Science"
https://dblp.org/pid/142/0034,"University of Texas at Dallas, Richardson, TX, USA"
https://dblp.org/pid/15/4400,"University of Texas at Dallas, USA"
https://dblp.org/pid/158/5683,"University of Texas at Dallas, Mechanical Engineering Department, Richardson, TX, USA"
https://dblp.org/pid/16/3283-30,"University of Texas at Dallas, Center for Vital Longevity, School of Behavioral and Brain Sciences, TX, USA"
https://dblp.org/pid/16/7025-1,"University of Texas at Dallas, Department of Computer Science, TX, USA"
https://dblp.org/pid/164/4170,"University of Texas at Dallas, Richardson, TX, USA"
https://dblp.org/pid/164/5974,University of Texas at Dallas
https://dblp.org/pid/164/6618,"University of Texas at Dallas, Department of Electrical Engineering, Richardson, TX, USA"
https://dblp.org/pid/166/6751,"University of Texas at Dallas, TX, USA"
https://dblp.org/pid/17/5765-2,"University of Texas at Dallas, Department of Computer Science, Richardson, TX, USA"
https://dblp.org/pid/176/6315,"University of Texas at Dallas, Richardson, TX, USA"
https://dblp.org/pid/177/1833,"University of Texas at Dallas, Human Language Technology Research Institute"
https://dblp.org/pid/180/7185,"University of Texas at Dallas, School of Economic, Political & Policy Sciences, Richardson, TX, USA"
https://dblp.org/pid/181/2734-7,"University of Texas at Dallas, Jindal School of Management, Richardson, TX, USA"
https://dblp.org/pid/188/7759-88,"University of Texas at Dallas, Department of Computer Science, Richardson, TX, USA"
https://dblp.org/pid/19/1038,"University of Texas at Dallas, Center for Machine Learning, TX, USA"
https://dblp.org/pid/19/6110-6,"University of Texas at Dallas, Department of Computer Science, Dallas, TX, USA"
https://dblp.org/pid/190/2859,"University of Texas at Dallas, Department of Mechanical Engineering, Richardson, TX, USA"
https://dblp.org/pid/196/4580,"The University of Texas at Dallas, School of Behavioral and Brain Sciences, Richardson, TX, USA"
https://dblp.org/pid/198/9424,"University of Texas at Dallas, Department of Computer Science, TX, USA"
https://dblp.org/pid/203/2020-2,"University of Texas at Dallas, School of Engineering and Computer Science, Richardson, TX, USA"
