author,affiliation
https://dblp.org/pid/03/1997,"University of Texas at El Paso, USA"
https://dblp.org/pid/03/6552,"University of Texas at El Paso, USA"
https://dblp.org/pid/05/6291-1,"University of Texas at El Paso, College of Engineering, TX, USA"
https://dblp.org/pid/07/3870,"The University of Texas at El Paso, TX, USA"
https://dblp.org/pid/118/0732,"University of Texas at El Paso, TX, USA"
https://dblp.org/pid/118/7021,"University of Texas at El Paso, Department of Computer Science, TX, USA"
https://dblp.org/pid/130/0042,"University of Texas at El Paso, USA"
https://dblp.org/pid/140/2262,"University of Texas at El Paso, USA"
https://dblp.org/pid/141/7825,"University of Texas at El Paso, TX, USA"
https://dblp.org/pid/173/1281,"University of Texas at El Paso, USA"
https://dblp.org/pid/176/6961,"University of Texas at El Paso, USA"
https://dblp.org/pid/183/3686-2,"University of Texas at El Paso, Department of Computer Science, College of Engineering, TX, USA"
https://dblp.org/pid/194/5766,"University of Texas at El Paso, TX, USA"
https://dblp.org/pid/195/1492,"University of Texas at El Paso, TX, USA"
https://dblp.org/pid/223/7463,"University of Texas at El Paso, USA"
https://dblp.org/pid/24/11232,"University of Texas at El Paso, USA"
https://dblp.org/pid/24/3380,"University of Texas at El Paso, USA"
https://dblp.org/pid/26/4740,"University of Texas at El Paso, USA"
https://dblp.org/pid/26/6904-15,"University of Texas at El Paso, Department of Mechanical Engineering, El Paso, TX, USA"
https://dblp.org/pid/30/1225,"University of Texas at El Paso, USA"
https://dblp.org/pid/30/6020,"University of Texas at El Paso, USA"
https://dblp.org/pid/36/4590-2,"University of Texas at El Paso, TX, USA"
https://dblp.org/pid/38/1038,"University of Texas at El Paso, USA"
https://dblp.org/pid/43/517,"University of Texas at El Paso, USA"
https://dblp.org/pid/47/3367-3,"University of Texas at El Paso, TX, USA"
https://dblp.org/pid/55/1778,"University of Texas at El Paso, TX, USA"
https://dblp.org/pid/57/4384-2,"University of Texas at El Paso, TX, USA"
https://dblp.org/pid/57/8471,"University of Texas at El Paso, USA"
https://dblp.org/pid/57/9531,"University of Texas at El Paso, USA"
https://dblp.org/pid/72/1015,"University of Texas at El Paso, USA"
https://dblp.org/pid/72/4364,"University of Texas at El Paso, USA"
https://dblp.org/pid/72/6886,"University of Texas at El Paso, USA"
https://dblp.org/pid/78/3481,"University of Texas at El Paso, USA"
https://dblp.org/pid/78/5573,"University of Texas at El Paso, USA"
https://dblp.org/pid/89/1195,"University of Texas at El Paso, USA"
https://dblp.org/pid/90/4033,"University of Texas at El Paso, USA"
https://dblp.org/pid/90/6111,"University of Texas at El Paso, USA"
https://dblp.org/pid/91/9236,"University of Texas at El Paso, Department of Computer Science, TX, USA"
https://dblp.org/pid/95/1694,"University of Texas at El Paso, USA"
https://dblp.org/pid/97/1885-1,"University of Texas at El Paso, Department of Mathematical Sciences, TX, USA"
https://dblp.org/pid/99/2886,"University of Texas at El Paso, USA"
https://dblp.org/pid/g/AnnQGates,"University of Texas at El Paso, USA"
https://dblp.org/pid/k/VladikKreinovich,"University of Texas at El Paso, Department of Computer Science, TX, USA"
https://dblp.org/pid/l/LLongpre,"University of Texas at El Paso, USA"
