author,affiliation
https://dblp.org/pid/01/5331,"The University of Tulsa, OK, USA"
https://dblp.org/pid/13/1997-4,"University of Tulsa, Department of Geosciences, OK, USA"
https://dblp.org/pid/178/3847,"University of Tulsa, Department of Mathematics, USA"
https://dblp.org/pid/18/4891-2,"University of Tulsa, Tulsa, OK, USA"
https://dblp.org/pid/19/1004,"University of Tulsa, OK, USA"
https://dblp.org/pid/213/1707,"University of Tulsa, OK, USA"
https://dblp.org/pid/26/154,"University of Tulsa, OK, USA"
https://dblp.org/pid/260/4200-1,"University of Tulsa, College of Engineering & Computer Science, OK, USA"
https://dblp.org/pid/332/6673,"University of Tulsa, USA"
https://dblp.org/pid/55/3157,"University of Tulsa, OK, USA"
https://dblp.org/pid/61/1250,"University of Tulsa, Department of Mathematical and Computer Sciences, USA"
https://dblp.org/pid/65/1135,"University of Tulsa, Oklahoma, USA"
https://dblp.org/pid/75/9427-3,"University of Tulsa, OK, USA"
https://dblp.org/pid/83/1953,"University of Tulsa, Department of Mathematics, OK, USA"
https://dblp.org/pid/92/4404-3,"University of Tulsa, OK, USA"
https://dblp.org/pid/m/AMeehan2,"University of Tulsa, Oklahoma, USA"
