author,affiliation
https://dblp.org/pid/00/6716-4,"University of Utah, Electrical and Computer Engineering Department, Salt Lake City, UT, USA"
https://dblp.org/pid/01/1901-17,"University of Utah, Department of Electrical and Computer Engineering, Salt Lake City, UT, USA"
https://dblp.org/pid/01/5265-12,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/02/1650,"University of Utah, UT, USA"
https://dblp.org/pid/02/9552-4,"University of Utah, UT, USA"
https://dblp.org/pid/03/6204,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/03/8928,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/04/2036,"University of Utah, Department of Psychology, Salt Lake City, UT, USA"
https://dblp.org/pid/07/4182-2,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/08/6391-1,"University of Utah, Scientific Computing and Imaging Institute, Salt Lake City, UT, USA"
https://dblp.org/pid/09/2085-3,"The University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/10/2219,"University of Utah, UT, USA"
https://dblp.org/pid/11/11226,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/120/5258,"University of Utah, USA"
https://dblp.org/pid/122/5100-7,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/13/2913-5,"University of Utah, USA"
https://dblp.org/pid/13/3261-1,"University of Utah, School of Computing, Salt Lake City, UT, USA"
https://dblp.org/pid/137/4031,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/137/4246,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/14/4520,"University of Utah, USA"
https://dblp.org/pid/145/1014,"University of Utah, Salt Lake City UT, USA"
https://dblp.org/pid/147/0382,"University of Utah, Health Huntsman Cancer Institute, Salt Lake City, UT, USA"
https://dblp.org/pid/148/3540,"University of Utah, Department of Biomedical Informatics"
https://dblp.org/pid/148/3620,"University of Utah, Department of Pediatrics, Salt Lake City, UT, USA"
https://dblp.org/pid/15/2650,"University of Utah, Salt Lake City, Utah, USA"
https://dblp.org/pid/15/425-7,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/16/2237,"University of Utah, Salt Lake City, USA"
https://dblp.org/pid/16/4505-13,"University of Utah, USA"
https://dblp.org/pid/161/7604,"University of Utah, Department of Civil & Environmental Engineering, Salt Lake City, UT, USA"
https://dblp.org/pid/167/9231,"University of Utah, USA"
https://dblp.org/pid/168/9038,"University of Utah, Salt Lake City, USA"
https://dblp.org/pid/17/1236,"University of Utah, Department of Mathematics, Salt Lake City, USA"
https://dblp.org/pid/17/3933,"University of Utah, School of Computing"
https://dblp.org/pid/173/3862,"University of Utah, UT, USA"
https://dblp.org/pid/175/6095-1,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/175/9805,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/179/9509,"University of Utah, SCI Institute, Salt Lake City, UT, USA"
https://dblp.org/pid/181/2834-42,"University of Utah, School of Computing, Salt Lake City, UT, USA"
https://dblp.org/pid/185/8080,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/196/3714,"University of Utah, Salt Lake City, UT, USA"
https://dblp.org/pid/20/1362-2,"University of Utah, USA"
https://dblp.org/pid/20/5432-3,"University of Utah, Department of Electrical and Computer Engineering / Department of Bioengineering, Salt Lake City, UT, USA"
https://dblp.org/pid/20/546,"University of Utah, Scientific Computing and Imaging Institute, Salt Lake, USA"
