author,affiliation
https://dblp.org/pid/124/1997-2,"University of Vermont, USA"
https://dblp.org/pid/201/1600,"University of Vermont, Burlington, USA"
https://dblp.org/pid/232/4183,"University of Vermont, Computational Story Lab, Burlington, VT, USA"
https://dblp.org/pid/244/7868,"University of Vermont, Burlington, VT, USA"
https://dblp.org/pid/25/7953,"University of Vermont, Burlington, VT, USA"
https://dblp.org/pid/252/3936,"University of Vermont, Department of Computer Science, Burlington, VT, USA"
https://dblp.org/pid/28/7564,"University of Vermont, Burlington, VT, USA"
https://dblp.org/pid/315/0808-2,"University of Vermont, Medical School, Burlington, VT, USA"
https://dblp.org/pid/39/5361,"University of Vermont, Burlington, VT, USA"
https://dblp.org/pid/50/900,"University of Vermont, Department of Mathematics and Statistics, Burlington, VT, USA"
https://dblp.org/pid/90/4765-5,"University of Vermont, Burlington, VT, USA"
https://dblp.org/pid/b/JoshuaCliffordBongard,"University of Vermont, USA"
https://dblp.org/pid/c/LeiChen0018,"University of Vermont, Burlington, VT, USA"
https://dblp.org/pid/l/ByungSukLee,"University of Vermont, Department of Computer Science, Burlington, VT, USA"
