author,affiliation
https://dblp.org/pid/01/5235-1,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/01/5403,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/01/9032,"University of Virginia, VA, USA"
https://dblp.org/pid/03/4551,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/04/3348-28,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/06/6439,"University of Virginia, VA, USA"
https://dblp.org/pid/09/3493-21,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/10/4661-44,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/11/1886,University of Virginia
https://dblp.org/pid/11/3196-1,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/116/1011-101,"University of Virginia, Department of Anesthesiology, Charlottesville, VA, USA"
https://dblp.org/pid/116/8002,"University of Virginia, Department of Radiology, Charlottesville, VA, USA"
https://dblp.org/pid/118/3003,"University of Virginia, Department of Medicine, Charlottesville, VA, USA"
https://dblp.org/pid/119/6404,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/12/7545,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/12/9260,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/120/1620-1,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/121/9967-2,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/13/1520-4,"University of Virginia, Department of Environmental Sciences, Charlottesville, VA, USA"
https://dblp.org/pid/13/2526-2,"University of Virginia, VA, USA"
https://dblp.org/pid/13/2692-9,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/13/8799,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/132/4966-6,"University of Virginia, Charlottesville, Virginia, USA"
https://dblp.org/pid/139/7034,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/14/4834-25,"University of Virginia, Department of Aerospace and Mechanical Engineering, Charlottesville, VA, USA"
https://dblp.org/pid/14/5057-2,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/14/6777-1,"University of Virginia, Library Scholars' Lab, Charlottesville, VA, USA"
https://dblp.org/pid/141/9539,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/144/7997,"University of Virginia, Department of Electrical and Computer Engineering, Charlottesville, VA, USA"
https://dblp.org/pid/145/3288-1,"University of Virginia, VA, USA"
https://dblp.org/pid/15/5501,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/169/6780,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/17/2703-3,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/172/0638-2,"University of Virginia, Charlottesvill, VA, USA"
https://dblp.org/pid/176/9924,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/179/2061,"University of Virginia, Charlottesville"
https://dblp.org/pid/18/1022-1,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/18/733-2,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/181/2477-9,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/181/2613-11,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/191/0249-3,"University of Virginia, VA, USA"
https://dblp.org/pid/193/4228,"University of Virginia, Department of Electrical and Computer Engineering, Charlottesville, VA, USA"
https://dblp.org/pid/195/6150,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/198/8661-2,"University of Virginia, Department of Surgery, Charlottesville, USA"
https://dblp.org/pid/20/777-1,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/201/5080,"University of Virginia, Department of Systems and Information Engineering, Charlottesville, VA, USA"
https://dblp.org/pid/203/0774,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/21/10522,"University of Virginia, USA"
https://dblp.org/pid/229/5143-4,"University of Virginia, VA, USA"
https://dblp.org/pid/23/10917,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/23/3439-1,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/239/6477,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/249/2472-1,"University of Virginia, Department of Engineering, Systems & Environment, Charlottesville, USA"
https://dblp.org/pid/25/4764-13,"University of Virginia, Department of Chemistry, Charlottesville, VA, USA"
https://dblp.org/pid/25/5832-2,University of Virginia
https://dblp.org/pid/252/8400,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/26/11511,University of Virginia
https://dblp.org/pid/263/8038-1,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/29/10935,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/29/5259-61,"University of Virginia, Department of Electrical and Computer Engineering, Charlottesville, VA, USA"
https://dblp.org/pid/29/8131,"University of Virginia, Department of Electrical and Computer Engineering, Charlottesville, VA, USA"
https://dblp.org/pid/290/5926,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/291/5457,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/30/3299-2,"University of Virginia, UVA, Computer Science and Electrical Computer Engineering, Charlottesville, USA"
https://dblp.org/pid/30/4233-1,"University of Virginia, VA, USA"
https://dblp.org/pid/315/0861-2,"University of Virginia, Darden School of Business, Charlottesville, VA, USA"
https://dblp.org/pid/33/4379-2,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/337/9247,"University of Virginia, Center for Diabetes Technology, Charlottesville, VA, USA"
https://dblp.org/pid/344/5073,"University of Virginia, School of Data Science, USA"
https://dblp.org/pid/36/10674-4,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/36/6789-1,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/378/3026,"University of Virginia, Department of Anesthesiology, Charlottesville, VA, USA"
https://dblp.org/pid/38/4289-2,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/380/1264,"University of Virginia, Biocomplexity Institute and Initiative, Charlottesville, VA, USA"
https://dblp.org/pid/39/449-75,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/40/1815-1,"University of Virginia, Division of Cardiovascular Medicine, Charlottesville, VA, USA"
https://dblp.org/pid/43/5128-6,"University of Virginia, Department of Music, Charlottesville, VA, USA"
https://dblp.org/pid/44/8352-5,"University of Virginia, USA"
https://dblp.org/pid/47/7745,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/48/4233-1,"University of Virginia, School of Engineering and Applied Science, Charlottesville, VA, USA"
https://dblp.org/pid/48/6248-1,"University of Virginia, Biocomplexity Institute & Initiative, Charlottesville, VA, USA"
https://dblp.org/pid/48/7696-2,"University of Virginia, Charlottesville , VA, USA"
https://dblp.org/pid/49/4478-16,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/49/595-8,"University of Virginia, Department of Electrical Engineering, Charlottesville, VA, USA"
https://dblp.org/pid/49/6156-31,"University of Virginia, ECE Department, Charlottesville, VA, USA"
https://dblp.org/pid/50/6405-2,"Department of Media Studies, University of Virginia, USA"
https://dblp.org/pid/50/8499-3,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/54/4169-2,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/56/1715,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/56/4499-55,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/56/8328,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/58/4775-13,"University of Virginia, UVA, Charles L. Brown Department of Electrical and Computer Engineering, Charlottesville, VA, USA"
https://dblp.org/pid/58/6307,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/62/5839-3,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/63/1371,"University of Virginia, Department of Mathematics, USA"
https://dblp.org/pid/63/1523-3,"University of Virginia Health Sciences Center, Department of Radiology, Charlottesville, VA, USA"
https://dblp.org/pid/63/1587-11,"University of Virginia, Charles L. Brown Department of Electrical and Computer Engineering, Charlottesville, VA, USA"
https://dblp.org/pid/64/11467,"University of Virginia, VA, USA"
https://dblp.org/pid/65/4423-22,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/65/6656,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/67/4028,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/70/2618,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/70/3604-7,"University of Virginia, Department of Engineering Systems and Environment, Charlottesville, VA, USA"
https://dblp.org/pid/70/5668,"University of Virginia, McIntire School of Commerce, Charlottesville, VA, USA"
https://dblp.org/pid/71/10042-2,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/71/7028-4,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/72/872-25,"University of Virginia, UVA Center for Wireless Health, Charlottesville, VA, USA"
https://dblp.org/pid/73/2849,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/73/6848,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/75/3011,University of Virginia
https://dblp.org/pid/75/3158-25,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/75/3334,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/77/2062-4,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/79/6027-1,"University of Virginia, Charles L. Brown Department of Electrical and Computer Engineering, Charlottesville, VA, USA"
https://dblp.org/pid/80/1961-11,"University of Virginia, Center for Applied Biomechanics, Charlottesville, VA, USA"
https://dblp.org/pid/83/2666,"University of Virginia, VA, USA"
https://dblp.org/pid/83/4151,"University of Virginia, Department of Biomedical Engineering, Charlottesville, VI, USA"
https://dblp.org/pid/85/10973,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/86/259-6,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/88/4850-2,"University of Virginia, VA, USA"
https://dblp.org/pid/88/5011,"University of Virginia, VA, USA"
https://dblp.org/pid/88/7890,"University of Virginia, VA, USA"
https://dblp.org/pid/92/6723-4,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/95/2477-4,"University of Virginia, USA"
https://dblp.org/pid/95/4442-105,"University of Virginia, Department of Computer Science, Charlottesville, VA, USA"
https://dblp.org/pid/96/6129-2,"University of Virginia, VA, USA"
https://dblp.org/pid/96/8612-5,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/96/887-1,"University of Virginia, Department of Mechanical and Aerospace Engineering, VA, USA"
https://dblp.org/pid/97/2966-12,"University of Virginia, School of Engineering and Applied Science, Charlottesville, VA, USA"
https://dblp.org/pid/b/DavidCBrogan,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/b/MarkWBailey,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/c/JoanneMcGrathCohoon,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/d/JWDavidson,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/d/MatthewBDwyer,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/e/DavidEvans,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/e/SebastianGElbaum,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/f/JamesCFrench,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/g/AndrewSGrimshaw,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/h/MartyHumphrey,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/l/DanLin5,"University of Virginia, Charlottesville, VA, USA"
https://dblp.org/pid/p/ALPowell,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/p/JohnLPfaltz,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/s/JohnAStankovic,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/s/KevinJSullivan,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/s/KevinSkadron,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/s/MaryLouSoffa,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/s/MirceaRStan,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/v/CharlesLViles,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/w/WilliamAWulf,"University of Virginia, Charlottesville, USA"
https://dblp.org/pid/z/AidongZhang,"University of Virginia, Charlottesville, VA, USA"
