author,affiliation
https://dblp.org/pid/01/1840,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/01/689-2,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/01/7068,"University of Washington, USA"
https://dblp.org/pid/02/1063,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/03/2134-6,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/04/1088,"University of Washington, Information School, Seattle, WA, USA"
https://dblp.org/pid/04/2024-40,"University of Washington, Institute for Health Metrics and Evaluation, Seattle, WA, USA"
https://dblp.org/pid/04/2090-10,"University of Washington, Department of Electrical Engineering, Seattle, WA, USA"
https://dblp.org/pid/04/4652,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/04/8395-6,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/05/11421,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/06/2484-2,"University of Washington, Department of Electrical Engineering, Seattle, WA, USA"
https://dblp.org/pid/06/4924-3,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/06/5908-2,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/07/4227-19,"University of Washington, Department of Electrical Engineering, Seattle, WA, USA"
https://dblp.org/pid/08/5760-5,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/08/8050,"University of Washington, Department of Mathematics, Seattle, WA, USA"
https://dblp.org/pid/08/978,"University of Washington, Seattle, USA"
https://dblp.org/pid/09/3568,"University of Washington, Paul Allen School of Computer Science and Engineering, Seattle, WA, USA"
https://dblp.org/pid/09/4177,"University of Washington, Seattle, USA"
https://dblp.org/pid/09/4846,"Institute for Nuclear Theory, University of Washington, Seattle, WA, USA"
https://dblp.org/pid/09/5152-1,University of Washington
https://dblp.org/pid/10/1896,"University of Washington, Seattle, Department of Mathematics"
https://dblp.org/pid/10/2031-5,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/10/3047-3,"University of Washington, Department of Physics, Seattle, WA, USA"
https://dblp.org/pid/10/3105,"University of Washington, Tacoma, WA, USA"
https://dblp.org/pid/10/3520-8,"University of Washington, WA, USA"
https://dblp.org/pid/10/5630-113,"University of Washington, Department of Electrical and Computer Engineering, Seattle, WA, USA"
https://dblp.org/pid/10/5935,"University of Washington, Department of Mathematics, Seattle, USA"
https://dblp.org/pid/10/6171,"University of Washington, Department of Mathematics, Seattle, WA, USA"
https://dblp.org/pid/11/1492-5,"University of Washington, Department of Electrical and Computer Engineering, Seattle, WA, USA"
https://dblp.org/pid/11/5166-6,"University of Washington, Paul G. Allen School of Computer Science, Seattle, WA, USA"
https://dblp.org/pid/11/7031,"University of Washington Seattle, College of Education, Information School, WA, USA"
https://dblp.org/pid/115/9314,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/122/6219,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/126/0507-1,"University of Washington, School of Computer Science and Engineering, Seattle, WA, USA"
https://dblp.org/pid/127/6893-4,"University of Washington, DC, USA"
https://dblp.org/pid/13/5236-9,"University of Washington, Seattle, USA"
https://dblp.org/pid/13/6441-4,"University of Washington, Department of Computer Science and Engineering, Seattle, WA, USA"
https://dblp.org/pid/131/5093,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/131/5234,University of Washington
https://dblp.org/pid/132/3907,"University of Washington, Seattle, USA"
https://dblp.org/pid/133/8390,"University of Washington, Allen School of Computer Science and Engineering, Seattle, WA, USA"
https://dblp.org/pid/136/2564,"University of Washington, Department of Neurological Surgery, Seattle, WA, USA"
https://dblp.org/pid/136/4171,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/14/1613-1,"University of Washington, USA"
https://dblp.org/pid/14/5992,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/144/1238-4,"University of Washington Bothell, WA, USA"
https://dblp.org/pid/146/9730-1,"University of Washington, School of Computer Science and Engineering, Seattle, WA, USA"
https://dblp.org/pid/146/9730-2,"University of Washington, Department of Applied Mathematics, Seattle, WA, USA"
https://dblp.org/pid/147/7416,"University of Washington, Department of Mathematics, Seattle, WA, USA"
https://dblp.org/pid/151/0244,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/151/7872,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/152/1498,"University of Washington, Department of Radiology, Seattle, WA, USA"
https://dblp.org/pid/153/5835,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/155/1883,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/155/8913,"University of Washington Computer, WA, USA"
https://dblp.org/pid/159/1513-2,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/16/1229,"University of Washington, Department of Radiology, Seattle, WA, USA"
https://dblp.org/pid/16/5283-2,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/16/6266-1,"University of Washington, Department of Electrical Engineering, Seattle, WA"
https://dblp.org/pid/16/6289,"University of Washington, Department of Biology, Seattle, WA, USA"
https://dblp.org/pid/160/3732,"Biobehavioral Nursing and Health Systems, University of Washington, Seattle, WA, USA"
https://dblp.org/pid/160/8207,"University of Washington, Paul G. Allen School of Computer Science & Engineering, Seattle, WA, USA"
https://dblp.org/pid/160/9478,"University of Washington Seattle, Information School, Washington, WA, USA"
https://dblp.org/pid/161/4087,"University of Washington, Paul G. Allen School of Computer Science & Engineering, Seattle, USA"
https://dblp.org/pid/165/9117-1,"University of Washington, WA, USA"
https://dblp.org/pid/168/0303,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/169/6065,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/17/221-67,"University of Washington, Department of Radiology, Seattle, WA, USA"
https://dblp.org/pid/170/4683-1,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/172/1280-1,"University of Washington, USA"
https://dblp.org/pid/173/5185,"University of Washington, WA, USA"
https://dblp.org/pid/176/5602,"University of Washington, USA"
https://dblp.org/pid/176/6129,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/178/2825-11,"University of Washington, Paul G. Allen School of Computer Science, Seattle, WA, USA"
https://dblp.org/pid/179/4839,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/18/2354,"University of Washington, Seattle, Washington, USA"
https://dblp.org/pid/18/2701,"University of Washington, Information School, Seattle, WA, USA"
https://dblp.org/pid/18/2771-32,"University of Washington, Information School, Seattle, WA, USA"
https://dblp.org/pid/18/6404-4,"University of Washington, Department of Computer Science, Seattle, WA, USA"
https://dblp.org/pid/180/5761,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/181/2345,"University of Washington, Information School, Seattle, WA, USA"
https://dblp.org/pid/181/2477-5,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/181/2826-3,"University of Washington, USA"
https://dblp.org/pid/181/5823,"University of Washington, WA, USA"
https://dblp.org/pid/183/6661,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/183/7224-2,"University of Washington, School of Computer Science and Engineering, Seattle, WA, USA"
https://dblp.org/pid/184/7077-4,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/185/8584,"University of Washington, Department of Medicine, Seattle, WA, USA"
https://dblp.org/pid/186/8372,"University of Washington, Seattle, USA"
https://dblp.org/pid/19/11001,"University of Washington, Department of Chemistry, Seattle, WA, USA"
https://dblp.org/pid/190/8351,"University of Washington, Mechanical Engineering Department, Paul G. Allen School of Computer Science and Engineering, Seattle, WA, USA"
https://dblp.org/pid/191/4186,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/191/9426-4,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/193/8001-4,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/195/1036,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/195/5525,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/195/6806,"University of Washington, USA"
https://dblp.org/pid/196/2108,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/196/2198,"University of Washington, Information School, Seattle, WA, USA"
https://dblp.org/pid/196/5340,"University of Washington School of Medicine, Department of Genome Sciences, Seattle, WA, USA"
https://dblp.org/pid/20/1858,"University of Washington, Seattle, USA"
https://dblp.org/pid/20/5936,"University of Washington, Seattle, WA, USA"
