author,affiliation
https://dblp.org/pid/06/4250-1,"University of Wisconsin-Milwaukee, Department of Electrical Engineering and Computer Science, WI, USA"
https://dblp.org/pid/08/2156-2,"University of Wisconsin-Milwaukee, Department of Electrical Engineering and Computer Science and Center for Industrial Mathematics, WI, USA"
https://dblp.org/pid/146/1184,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/199/4704-4,"University of Wisconsin-Milwaukee, Department of Civil and Environmental Engineering, WI, USA"
https://dblp.org/pid/23/8570-1,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/24/4105-38,"University of Wisconsin-Milwaukee, Department of Mathematical Sciences, WI, USA"
https://dblp.org/pid/28/1215,University of Wisconsin-Milwaukee
https://dblp.org/pid/30/879,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/36/10465,"University of Wisconsin-Milwaukee, Department of Geosciences, WI, USA"
https://dblp.org/pid/388/6266,"University of Wisconsin-Milwaukee, WI, USA"
https://dblp.org/pid/43/3362-17,"University of Wisconsin-Milwaukee, Department of Computer Science, Milwaukee, WI, USA"
https://dblp.org/pid/62/6037,"University of Wisconsin-Milwaukee, School of Business Administration, WI, USA"
https://dblp.org/pid/69/3712,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/72/5203,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/76/445-1,"University of Wisconsin-Milwaukee, Department of Mathematical Sciences, Milwaukee, WI, USA"
https://dblp.org/pid/81/8943,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/87/2412-2,"University of Wisconsin-Milwaukee, Department of Health Informatics and Administration, WI, USA"
https://dblp.org/pid/88/2543,"University of Wisconsin-Milwaukee, WI, USA"
https://dblp.org/pid/88/7815-4,"University of Wisconsin-Milwaukee, WI, USA"
https://dblp.org/pid/91/6896-3,"University of Wisconsin-Milwaukee, Milwaukee, WI, USA"
https://dblp.org/pid/97/8704-123,"University of Wisconsin-Milwaukee, School of Information Studies, WI, USA"
https://dblp.org/pid/b/JohnTangBoyland,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/d/GIDavida,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/h/THaigh,"University of Wisconsin-Milwaukee, WI, USA"
https://dblp.org/pid/m/ADMali,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/m/EthanVMunson,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/m/SusanMcRoy,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/r/AliMReza,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/v/KVairavan,"University of Wisconsin-Milwaukee, USA"
https://dblp.org/pid/z/JunZhang6,"University of Wisconsin-Milwaukee, Department of Electrical Engineering and Computer Science, WI, USA"
