author,affiliation
https://dblp.org/pid/03/5827-2,"University of Wyoming, Department of Botany, Laramie, WY, USA"
https://dblp.org/pid/06/760,"Department of Mathematics, University of Wyoming, USA"
https://dblp.org/pid/134/5123,"University of Wyoming, Geographic Information Science Center, Laramie, WY, USA"
https://dblp.org/pid/167/6307,"University of Wyoming, Department of Electrical Engineering, Laramie, WY, USA"
https://dblp.org/pid/213/7951,"University of Wyoming, USA"
https://dblp.org/pid/30/4857,"University of Wyoming, Laramie, USA"
https://dblp.org/pid/34/324,"University of Wyoming, Laramie, WY, USA"
https://dblp.org/pid/36/3354-2,"University of Wyoming, Mechanical Engineering Department, Laramie, WY, USA"
https://dblp.org/pid/38/2068-1,"University of Wyoming, Laramie, WY, USA"
https://dblp.org/pid/42/7865,"University of Wyoming, WY, USA"
https://dblp.org/pid/49/2799,University of Wyoming
https://dblp.org/pid/57/747,"University of Wyoming, USA"
https://dblp.org/pid/59/6572,"University of Wyoming, Laramie, USA"
https://dblp.org/pid/64/11483,"University of Wyoming, Department of Civil and Architectural Engineering, Laramie, WY, USA"
https://dblp.org/pid/73/1685-4,"University of Wyoming, Laramie, WY, USA"
https://dblp.org/pid/91/4353-16,"University of Wyoming, Department of Mechanical Engineering, Laramie, WY, USA"
