author,affiliation
https://dblp.org/pid/01/3595-2,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/06/1909-5,"Virginia Polytechnic Institute and State University, Department of Computer Science, Falls Church, VA, USA"
https://dblp.org/pid/08/6318-2,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/115/7095-4,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/12/6523-1,"Virginia Polytechnic Institute and State University, Department of Aerospace and Ocean Engineering, Blacksburg, VA, USA"
https://dblp.org/pid/123/2456,"Virginia Polytechnic Institute and State University, Department of Biomedical Engineering and Mechanics, Blacksburg, VA, USA"
https://dblp.org/pid/128/2499-1,"Virginia Tech, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/128/5035,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/13/1898-64,"Virginia Polytechnic Institute and State University, VA, USA"
https://dblp.org/pid/13/7007-30,"Virginia Polytechnic Institute and State University, Department of Electrical and Computer Engineering, Blacksburg, VA, USA"
https://dblp.org/pid/133/6407-3,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/149/2582,"Virginia Polytechnic Institute and State University, VA, USA"
https://dblp.org/pid/158/6029-1,"Georgia Tech, Virginia Polytechnic Institute and State University, Department of Aerospace and Ocean Engineering, Blacksburg, VA, USA"
https://dblp.org/pid/162/0619,"Virginia Polytechnic Institute and State University, Blacksburg, VA, US"
https://dblp.org/pid/165/4461,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/17/616-6,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/18/5977-6,"Virginia Polytechnic Institute and State University, Virginia Tech, Department of Computer Science, Blacksburg, VA, USA"
https://dblp.org/pid/181/2689-62,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/19/5299-2,"Virginia Polytechnic Institute and State University, Department of Biological Sciences, Blacksburg, VA, USA"
https://dblp.org/pid/20/5152-1,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/24/2508-1,"Virginia Polytechnic Institute and State University, Pamplin College of Business, Blacksburg, VA, USA"
https://dblp.org/pid/27/4364-29,"Virginia Polytechnic Institute and State University College of Science, Blacksburg, VA, USA"
https://dblp.org/pid/30/4548,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/302/9400,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/38/2429-3,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/40/1615,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/41/3201,"Department of Computer Science, Virginia Polytechnic Institute and State University Blacksburg, VA, USA"
https://dblp.org/pid/46/2005-22,"Virginia Polytechnic Institute and State University, VA, USA"
https://dblp.org/pid/49/4294-2,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/49/6281,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/49/67-0031,"Virginia Polytechnic Institute and State University, Department of Electrical and Computer Engineering, Arlington, VA, USA"
https://dblp.org/pid/50/4043-2,"Virginia Polytechnic Institute and State University, Sterling, VA, USA"
https://dblp.org/pid/64/10624-3,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/64/7212,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/67/2924,Virginia Polytechnic Institute and State University
https://dblp.org/pid/70/7037-2,"Virginia Polytechnic Institute and State University, Department of Mathematics, VA, USA"
https://dblp.org/pid/72/2833-5,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/72/872-27,"Virginia Polytechnic Institute and State University, Center for Power Electronics Systems, Blacksburg, VA, USA"
https://dblp.org/pid/74/7139,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/75/6434-25,"Virginia Polytechnic Institute and State University, Department of Electrical and Computer Engineering, Blacksburg, VA, USA"
https://dblp.org/pid/81/9399,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/83/5969,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
https://dblp.org/pid/86/899,"Virginia Polytechnic Institute and State University, Department of Chemical Engineering, Blacksburg, VA, USA"
https://dblp.org/pid/92/1942-4,"Virginia Polytechnic Institute and State University, Department of Computer Science, VA, USA"
https://dblp.org/pid/93/5103-1,"Virginia Polytechnic Institute and State University, Bradley Department of Electrical and Computer Engineering, Blacksburg, USA"
https://dblp.org/pid/95/9662,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"
