author,affiliation
https://dblp.org/pid/01/2537-2,"Washington State University, School of Mechanical and Materials Engineering, Pullman, WA, USA"
https://dblp.org/pid/06/721-7,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/117/7062,"Washington State University, USA"
https://dblp.org/pid/12/1509-3,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/122/9959,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/128/8347,"Washington State University, School of Engineering and Computer Science, Manufacturing Engineering Program, Vancouver, WA, USA"
https://dblp.org/pid/13/3953-6,"Washington State University, School of EECS, Pullman, WA, USA"
https://dblp.org/pid/136/5279-1,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/151/5914,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/16/4528,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/161/8965-2,"Washington State University, Department of Computer Science, Pullman, WA, USA"
https://dblp.org/pid/163/3705-1,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/17/271,"Washington State University, Vancouver, WA, USA"
https://dblp.org/pid/17/7010,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/170/2594,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/18/2008-2,"Washington State University, Department of Biological Systems Engineering, Pullman, WA, USA"
https://dblp.org/pid/192/9028,"Washington State University, Department of Mathematics and Statistics, Pullman, WA, USA"
https://dblp.org/pid/236/5113,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/24/2771-4,"Washington State University, School of Electrical Engineering and Computer Science, Pullman, WA, USA"
https://dblp.org/pid/246/7411,"Washington State University, School of Electrical Engineering and Computer Science, Pullman, WA, USA"
https://dblp.org/pid/25/3341-2,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/26/2436-3,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/27/7070,"Washington State University, School of Molecular Biosciences and Center for Reproductive Biology, Pullman, WA, USA"
https://dblp.org/pid/29/5037-12,"Washington State University Tri-Cities, School of Electrical Engineering and Computer Science, Richland, WA, USA"
https://dblp.org/pid/297/4411,"Washington State University, School of Electrical Engineering and Computer Science, Pullman, WA, USA"
https://dblp.org/pid/31/7978-5,"Washington State University, School of Electrical Engineering and Computer Science, Richland, WA, USA"
https://dblp.org/pid/326/2457,"Washington State University, USA"
https://dblp.org/pid/33/8355,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/36/5088,"Washington State University, Department of Horticulture, Pullman, WA, USA"
https://dblp.org/pid/38/1459,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/38/174,"Washington State University, Department of Mathematics and Statistics"
https://dblp.org/pid/384/2645,"Washington State University Vancouver, WA, USA"
https://dblp.org/pid/39/10498-3,"Washington State University, USA"
https://dblp.org/pid/39/2751-4,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/42/1895,"Washington State University, Pullman, USA"
https://dblp.org/pid/42/6466-2,"Washington State University, Department of Horticulture, Pullman, WA, USA"
https://dblp.org/pid/45/47-12,"Washington State University, Department of Biological Systems Engineering, Center for Precision and Automated Agricultural Systems, Prosser, WA, USA"
https://dblp.org/pid/47/1346-1,"Washington State University Pullman, USA"
https://dblp.org/pid/47/722-26,"Washington State University, School of Electrical Engineering and Computer Science, Pullman, WA, USA"
https://dblp.org/pid/51/7435-1,"Washington State University, Vancouver, WA, USA"
https://dblp.org/pid/55/8364,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/57/1798,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/59/6329,"Washington State University, College of Education, Pullman, WA, USA"
https://dblp.org/pid/60/3109-1,"Washington State University, Vancouver, WA, USA"
https://dblp.org/pid/62/6023-1,"Washington State University, School of Electrical Engineering and Computer Science, Pullman, WA, USA"
https://dblp.org/pid/65/6094-1,"Washington State University, USA"
https://dblp.org/pid/67/7603,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/69/5103-2,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/72/5422-1,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/74/4569-3,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/75/2200-5,"Washington State University, Shelton, WA, USA"
https://dblp.org/pid/76/1584-85,"Washington State University, Department of Biological Systems Engineering, Pullman, WA, USA"
https://dblp.org/pid/78/1973,"Washington State University, School of Electrical Eng. and Computer Science, Pullman, WA, USA"
https://dblp.org/pid/78/3146-2,"Washington State University Vancouver, School of Engineering and Computer Science, WA, USA"
https://dblp.org/pid/78/4587-1,"Washington State University, Department of Crop and Soil Sciences, Pullman, WA, USA"
https://dblp.org/pid/78/5836-6,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/85/5149-4,"Washington State University (WSU), School of Electrical Engineering and Computer Science, Pullman, WA, USA"
https://dblp.org/pid/86/3457-20,"Washington State University, USA"
https://dblp.org/pid/87/5045,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/88/4302-4,"Washington State University Vancouver, WA, USA"
https://dblp.org/pid/96/289,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/98/10756,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/99/2747-8,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/99/6996,"Washington State University, EECS Dept, Pullman, WA, USA"
https://dblp.org/pid/c/DianeJCook,"Washington State University, Pullman, WA, USA"
https://dblp.org/pid/h/LawrenceBHolder,"Washington State University, School of Electrical Engineering and Computer Science, Pullman, WA, USA"
https://dblp.org/pid/w/XuWang5,"Washington State University, School of Electrical Engineering and Computer Science, Pullman, WA, USA"
