author,affiliation
https://dblp.org/pid/02/1003-20,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/02/6088-2,"Wayne State University, Department of Biomedical Engineering, Detroit, MI, USA"
https://dblp.org/pid/03/6827-5,"Wayne State University, Karmanos Cancer Institute, Detroit, MI, USA"
https://dblp.org/pid/04/2024-50,"Wayne State University, Department of Mathematics, Detroit, MI, USA"
https://dblp.org/pid/04/5810,"Wayne State University, Department of Electrical and Computer Engineering, Detroit, MI, USA"
https://dblp.org/pid/06/2243-1,"Wayne State University, Detroit, USA"
https://dblp.org/pid/07/10352-1,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/09/1365-81,"Wayne State University, Computer Science Department, Detroit, MI, USA"
https://dblp.org/pid/124/8807,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/125/5090,"Wayne State University, Department of Biomedical Engineering, Detroit, MI, USA"
https://dblp.org/pid/128/6440,"Wayne State University, Detroit, USA"
https://dblp.org/pid/15/6233,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/151/3960,"Wayne State University, School of Library and Information Science, Detroit, MI, USA"
https://dblp.org/pid/17/2247-5,"Wayne State University, Department of Industrial and Systems Engineering, Detroit, MI, USA"
https://dblp.org/pid/174/9665-2,"Wayne State University, Industrial Engineering Department, Detroit, MI, USA"
https://dblp.org/pid/177/2006,Wayne State University
https://dblp.org/pid/18/3298-1,"Wayne State University, Department of Computer Science"
https://dblp.org/pid/181/2689-7,"Wayne State University, Department of Electrical and Computer Engineering, Detroit, MI, USA"
https://dblp.org/pid/19/3058-2,"Wayne State University, Department of Mathematics, Detroit, MI, USA"
https://dblp.org/pid/191/2698-5,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/20/4152-2,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/22/1848,"Wayne State University, Department of Mathematics, Detroit, MI, USA"
https://dblp.org/pid/22/2379-1,"Wayne State University, Department of Computer Science, Detroit, MI, USA"
https://dblp.org/pid/26/267,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/27/1207-2,"Wayne State University, Department of Computer Science, Detroit, MI, USA"
https://dblp.org/pid/36/1209,"Wayne State University, Department of Computer Science, Detroit, MI, USA"
https://dblp.org/pid/36/2259-21,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/36/3669,"Wayne State University, Detroit, USA"
https://dblp.org/pid/36/6699-7,"Wayne State University, Division of Engineering Technology, Detroit, MI, USA"
https://dblp.org/pid/47/6959-5,"Wayne State University, MI, USA"
https://dblp.org/pid/47/8024,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/54/2062-10,"Wayne State University, Department of Sociology, Detroit, MI, USA"
https://dblp.org/pid/56/3566-4,"Wayne State University, Department of Computer Science, USA"
https://dblp.org/pid/56/8805-10,"Wayne State University, Department of Computer Science, Detroit, MI, USA"
https://dblp.org/pid/58/2759,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/59/2227-10,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/62/3689-13,"Department of Mathematics, Wayne State University"
https://dblp.org/pid/64/1518-1,"Wayne State University, Department of Electrical and Computer Engineering, Detroit, MI, USA"
https://dblp.org/pid/65/3277-2,"Wayne State University, Department of Industrial and Systems Engineering, Detroit, MI, USA"
https://dblp.org/pid/67/1328-15,"Wayne State University, Department of Computer Science, Detroit, MI, USA"
https://dblp.org/pid/67/950-1,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/68/1974-14,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/68/6577-1,"Wayne State University, Center for Molecular Medicine and Genetics, Detroit, MI, USA"
https://dblp.org/pid/75/2611-1,"Wayne State University, Department of Electrical and Computer Engineering, Detroit, MI, USA"
https://dblp.org/pid/75/2868-19,"Wayne State University, Department of Eletronics and Computer Engineering, Detroit, MI, USA"
https://dblp.org/pid/80/278,"Wayne State University, Department of Mathematics, Detroit, MI, USA"
https://dblp.org/pid/80/98-2,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/87/1254-11,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/89/3692,"Wayne State University, USA"
https://dblp.org/pid/89/945-1,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/93/10385,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/94/3104-60,"Wayne State University, Department of Radiology, Detroit, MI, USA"
https://dblp.org/pid/98/4156-2,"Wayne State University, Department of Computer Science, Detroit, MI, USA"
https://dblp.org/pid/f/FarshadFotouhi,"Wayne State University, Detroit, USA"
https://dblp.org/pid/g/DanielGrosu,"Wayne State University, Detroit, USA"
https://dblp.org/pid/l/HanpingLufei,"Wayne State University, Detroit, USA"
https://dblp.org/pid/l/ShiyongLu,"Wayne State University, USA"
https://dblp.org/pid/r/VaclavRajlich,"Wayne State University, Detroit, MI, USA"
https://dblp.org/pid/s/PepeSiy,"Wayne State University, Detroit, USA"
