author,affiliation
https://dblp.org/pid/01/2920,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/02/9956,"West Virginia University, Department of Mechanical and Aerospace Engineering, Morgantown, WV, USA"
https://dblp.org/pid/04/5470,"West Virginia University, Untited States"
https://dblp.org/pid/08/2840,"West Virginia University, Morgantown, Lane Department of Computer Science and Electrical Engineering"
https://dblp.org/pid/116/0645-2,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/12/10463,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/123/3147,"West Virginia University, Mathematics, USA"
https://dblp.org/pid/123/3598-3,"West Virginia University, Department of Computer Science, Morgantown, WV, USA"
https://dblp.org/pid/124/5354,"West Virginia University, USA"
https://dblp.org/pid/136/6031,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/145/9593,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/15/4208-8,"West Virginia University, Department of Mechanical and Aerospace Engineering, Morgantown, WV, USA"
https://dblp.org/pid/157/3067,"West Virginia University, USA"
https://dblp.org/pid/159/0794,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/168/7905,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/170/7596,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/186/6109,"West Virginia University, Department of Health Information Management, Morgantown, WV, USA"
https://dblp.org/pid/22/4613-16,"West Virginia University, Industrial and Management Systems Engineering, Morgantown, WV, USA"
https://dblp.org/pid/245/5138,"West Virginia University, School of Medicine, Morgantown, WV, USA"
https://dblp.org/pid/264/5778,"West Virginia University, Department of Mathematics, Morgantown, WV, USA"
https://dblp.org/pid/341/7875,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/35/837-45,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/35/994-3,"West Virginia University, Lane Department of Computer Science and Electrical Engineering, Morgantown, WV, USA"
https://dblp.org/pid/372/7099,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/378/0954,"West Virginia University, USADepartment of Art History, School of Art and Design, WV, USA"
https://dblp.org/pid/39/228-3,"West Virginia University, USA"
https://dblp.org/pid/42/1719-2,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/49/10354,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/55/3281,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/56/1428-7,"West Virginia University, Department of Mathematics, Morgantown, WV, USA"
https://dblp.org/pid/61/3857,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/62/2145-3,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/70/5470-2,"West Virginia University, Morgantown WV, USA"
https://dblp.org/pid/71/819,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/72/3809,West Virginia University
https://dblp.org/pid/72/5143-5,"West Virginia University, Lane Department of Computer Science and Electrical Engineering, Morgantown, WV, USA"
https://dblp.org/pid/86/4870-1,"West Virginia University, Division of Cardiology, School of Medicine, Morgantown, WV, USA"
https://dblp.org/pid/90/1227,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/90/4195,"West Virginia University, Department of Mathematics, Morgantown, WV, USA"
https://dblp.org/pid/96/1994-4,"West Virginia University, Morgantown, WV, USA"
https://dblp.org/pid/96/4389-4,"West Virginia University, Department of Computer Science and Electrical Engineering, Morgantown, WV, USA"
https://dblp.org/pid/97/1885-2,"West Virginia University, LDCSEE, Morgantown, WV, USA"
https://dblp.org/pid/99/3898,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/a/HanyHAmmar,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/c/WenbinChen1,"West Virginia University, Morgantown, Department of Computer Science and Electrical Engineering"
https://dblp.org/pid/g/KaterinaGosevaPopstojanova,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/m/JamesDMooney,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/m/MichaelEMays,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/p/YaserPourmohammadi,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/r/ArunRoss,"West Virginia University, Morgantown, USA"
https://dblp.org/pid/s/KSubramani,"West Virginia University, Morgantown, USA"
