author,affiliation
https://dblp.org/pid/00/8087-3,"Western Michigan University, Kalamazoo, MI, USA"
https://dblp.org/pid/09/3925-8,"Western Michigan University, Department of Computer Science, Kalamazoo, MI, USA"
https://dblp.org/pid/120/4122,"Western Michigan University, Kalamazoo, MI, USA"
https://dblp.org/pid/14/6158,"Western Michigan University, Department of Mathematics and Statistics, Kalamazoo, MI, USA"
https://dblp.org/pid/14/9645,"Western Michigan University, Kalamazoo, MI, USA"
https://dblp.org/pid/169/2419,"Western Michigan University, Kalamazoo, MI, USA"
https://dblp.org/pid/22/2131,"Western Michigan University, MI, USA"
https://dblp.org/pid/238/6461,"Western Michigan University, Kalamazoo, MI, USA"
https://dblp.org/pid/300/5729,"Western Michigan University, Haworth College of Business, Kalamazoo, MI, USA"
https://dblp.org/pid/40/5284,"Western Michigan University, USA"
https://dblp.org/pid/48/450-18,"Western Michigan University, Department of Mechanical and Aerospace Engineering, Kalamazoo, MI, USA"
https://dblp.org/pid/48/5950,"Western Michigan University, Department of Mathematics, Kalamazoo, MI, USA"
https://dblp.org/pid/52/3951,"Western Michigan University, Kalamazoo, MI, USA"
https://dblp.org/pid/64/4408,"Western Michigan University, Department of Computer Science, Kalamazoo, MI, USA"
https://dblp.org/pid/77/2428-4,"Western Michigan University, Kalamazoo, MI, USA"
https://dblp.org/pid/98/1440,"Western Michigan University, Kalamazoo, MI, USA"
https://dblp.org/pid/98/5968-1,"Western Michigan University, Kalamazoo, MI, USA"
https://dblp.org/pid/g/AjayKGupta,"Western Michigan University, Kalamazoo, MI, USA"
